index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
0,65874,-17,-11,0,0,1,0
1,65878,-17,-11,0,1000,1,0
2,65902,-17,-10,0,1000,1,0
3,65922,-17,-10,0,1000,1,0
4,65942,-17,-10,0,1000,1,0
5,65962,-17,-10,0,1000,1,0
6,65982,-17,-10,0,1000,1,0
7,66002,-17,-10,0,1000,1,0
8,66022,-17,-10,0,1000,1,0
9,66042,-17,-10,0,1000,1,0
10,66062,-17,-10,0,1000,1,0
11,66082,-17,-10,0,1000,1,0
12,66102,-17,-10,0,1000,1,0
13,66122,-17,-10,0,1000,1,0
14,66142,-17,-10,0,1000,1,0
15,66162,-17,-10,0,1000,1,0
16,66182,-17,-10,0,1000,1,0
17,66202,-17,-10,0,1000,1,0
18,66222,-17,-10,0,1000,1,0
19,66242,-17,-10,0,1000,1,0
20,66261,-17,-10,0,1000,1,0
21,66281,-17,-10,0,1000,1,0
22,66301,-17,-10,0,1000,1,0
23,66322,-17,-10,0,1000,1,0
24,66342,-17,-10,0,1000,1,0
25,66361,-17,-10,0,1000,1,0
26,66381,-17,-10,0,1000,1,0
27,66402,-17,-10,0,1000,1,0
28,66421,-17,-10,0,1000,1,0
29,66441,-17,-10,0,1000,1,0
30,66461,-17,-10,0,1000,1,0
31,66481,-17,-10,0,1000,1,0
32,66501,-17,-10,0,1000,1,0
33,66521,-17,-10,0,1000,1,0
34,66541,-17,-10,0,1000,1,0
35,66561,-17,-10,0,1000,1,0
36,66581,-17,-10,0,1000,1,0
37,66601,-17,-10,0,1000,1,0
38,66621,-17,-10,0,1000,1,0
39,66641,-17,-10,0,1000,1,0
40,66661,-17,-10,0,1000,1,0
41,66681,-17,-10,0,1000,1,0
42,66701,-17,-10,0,1000,1,0
43,66721,-17,-10,0,1000,1,0
44,66742,-17,-10,0,1000,1,0
45,66762,-17,-10,0,1000,1,0
46,66782,-17,-10,0,1000,1,0
47,66801,-17,-10,0,1000,1,0
48,66821,-17,-10,0,1000,1,0
49,66842,-17,-10,0,1000,1,0
50,66862,-17,-10,0,1000,1,0
51,66883,-17,-10,14,1000,1,0
52,66903,-17,-10,28,1000,1,0
53,66922,-17,-10,42,1000,1,0
54,66944,-17,-10,56,1000,1,0
55,66964,-17,-10,70,1000,1,0
56,66984,-17,-10,83,1000,1,0
57,67003,-17,-10,96,1000,1,0
58,67023,-17,-10,109,1000,1,0
59,67043,-17,-10,121,1000,1,0
60,67064,-17,-10,134,1000,1,0
61,67084,-17,-10,146,1000,1,0
62,67104,-17,-10,159,1000,1,0
63,67124,-17,-10,171,1000,1,0
64,67144,-17,-10,184,1000,1,0
65,67164,-17,-10,197,1000,1,0
66,67184,-17,-10,210,1000,1,0
67,67204,-17,-10,224,1000,1,0
68,67224,-17,-10,237,1000,1,0
69,67244,-17,-10,251,1000,1,0
70,67264,-17,-10,265,1000,1,0
71,67284,-17,-10,279,1000,1,0
72,67304,-16,-10,293,1000,1,0
73,67324,-16,-10,307,1000,1,0
74,67344,-15,-10,322,1000,1,0
75,67364,-15,-10,337,1000,1,0
76,67384,-15,-10,351,1000,1,0
77,67404,-15,-10,366,1000,1,0
78,67424,-15,-9,381,1000,1,0
79,67444,-16,-9,396,1000,1,0
80,67464,-17,-8,411,1000,1,0
81,67484,-16,-7,426,1000,1,0
82,67504,-16,-7,440,1000,1,0
83,67524,-18,-6,455,1000,1,0
84,67543,-19,-5,470,1000,1,0
85,67564,-20,-6,485,1000,1,0
86,67584,-23,-8,500,1000,1,0
87,67602,-21,-7,514,1000,1,0
88,67622,-19,-5,529,1000,1,0
89,67643,-23,-5,544,1000,1,0
90,67663,-28,-8,559,1000,1,0
91,67683,-27,-6,574,1000,1,0
92,67703,-28,-5,589,1000,1,0
93,67723,-30,-5,603,1000,1,0
94,67743,-31,-4,618,1000,1,0
95,67763,-32,-3,633,1000,1,0
96,67783,-33,-3,648,1000,1,0
97,67803,-33,-3,663,1000,1,0
98,67823,-33,-2,677,1000,1,0
99,67843,-34,-2,692,1000,1,0
100,67863,-36,0,707,1000,1,0
101,67883,-40,3,722,1000,1,0
102,67903,-47,5,737,1000,1,0
103,67924,-51,7,751,1000,1,0
104,67944,-50,9,766,1000,1,0
105,67964,-47,7,781,1000,1,0
106,67984,-42,5,796,1000,1,0
107,68004,-38,4,811,1000,1,0
108,68024,-38,3,826,1000,1,0
109,68043,-36,2,840,1000,1,0
110,68063,-37,2,855,1000,1,0
111,68084,-38,2,870,1000,1,0
112,68104,-38,2,885,1000,1,0
113,68124,-36,2,900,1000,1,0
114,68144,-36,1,914,1000,1,0
115,68164,-36,1,929,1000,1,0
116,68184,-38,1,944,1000,1,0
117,68204,-37,2,959,1000,1,0
118,68224,-37,3,974,1000,1,0
119,68244,-37,4,989,1000,1,0
120,68264,-37,4,3,1000,1,0
121,68283,-39,6,18,1000,1,0
122,68303,-41,7,33,1000,1,0
123,68324,-43,9,48,1000,1,0
124,68344,-38,8,63,1000,1,0
125,68364,-35,6,77,1000,1,0
126,68384,-30,4,92,1000,1,0
127,68404,-27,2,107,1000,1,0
128,68424,-23,1,122,1000,1,0
129,68444,-21,1,137,1000,1,0
130,68464,-18,1,151,1000,1,0
131,68484,-15,0,166,1000,1,0
132,68504,-10,-1,181,1000,1,0
133,68524,-8,-1,196,1000,1,0
134,68544,-5,-2,211,1000,1,0
135,68565,-2,-2,226,1000,1,0
136,68583,3,-1,240,1000,1,0
137,68604,9,2,255,1000,1,0
138,68624,14,5,270,1000,1,0
139,68644,17,6,285,1000,1,0
140,68663,17,7,300,1000,1,0
141,68683,14,5,314,1000,1,0
142,68703,11,4,329,1000,1,0
143,68723,8,2,344,1000,1,0
144,68743,7,2,359,1000,1,0
145,68763,7,2,374,1000,1,0
146,68783,7,2,389,1000,1,0
147,68803,4,2,403,1000,1,0
148,68823,2,3,418,1000,1,0
149,68843,1,3,433,1000,1,0
150,68863,1,2,448,1000,1,0
151,68883,1,3,463,1000,1,0
152,68903,1,4,477,1000,1,0
153,68923,1,5,492,1000,1,0
154,68943,3,6,507,1000,1,0
155,68962,4,7,522,1000,1,0
156,68983,3,8,537,1000,1,0
157,69004,-1,6,551,1000,1,0
158,69024,-4,4,566,1000,1,0
159,69044,-8,2,581,1000,1,0
160,69063,-11,1,596,1000,1,0
161,69083,-13,0,611,1000,1,0
162,69104,-17,0,626,1000,1,0
163,69124,-19,0,640,1000,1,0
164,69144,-22,-2,655,1000,1,0
165,69164,-24,-3,670,1000,1,0
166,69184,-27,-4,685,1000,1,0
167,69204,-27,-4,700,1000,1,0
168,69224,-28,-5,714,1000,1,0
169,69244,-28,-7,729,1000,1,0
170,69264,-27,-8,744,1000,1,0
171,69285,-25,-9,759,1000,1,0
172,69304,-25,-9,774,1000,1,0
173,69324,-25,-9,789,1000,1,0
174,69344,-25,-9,803,1000,1,0
175,69364,-25,-9,818,1000,1,0
176,69384,-24,-9,833,1000,1,0
177,69404,-23,-9,848,1000,1,0
178,69424,-21,-8,863,1000,1,0
179,69444,-19,-9,877,1000,1,0
180,69464,-18,-9,892,1000,1,0
181,69484,-17,-9,907,1000,1,0
182,69504,-18,-8,922,1000,1,0
183,69524,-18,-7,937,1000,1,0
184,69543,-18,-7,951,1000,1,0
185,69564,-17,-6,966,1000,1,0
186,69584,-16,-6,981,1000,1,0
187,69603,-15,-5,996,1000,1,0
188,69623,-15,-5,11,1000,1,0
189,69642,-14,-5,26,1000,1,0
190,69664,-16,-4,40,1000,1,0
191,69684,-17,-2,55,1000,1,0
192,69703,-19,0,70,1000,1,0
193,69723,-21,1,85,1000,1,0
194,69743,-20,0,100,1000,1,0
195,69763,-20,-2,114,1000,1,0
196,69783,-20,-2,129,1000,1,0
197,69803,-18,-3,144,1000,1,0
198,69823,-16,-4,159,1000,1,0
199,69843,-13,-4,174,1000,1,0
200,69863,-13,-4,189,1000,1,0
201,69883,-14,-6,203,1000,1,0
202,69903,-16,-7,218,1000,1,0
203,69923,-13,-7,233,1000,1,0
204,69943,-8,-5,248,1000,1,0
205,69963,-4,-4,263,1000,1,0
206,69983,-3,-3,277,1000,1,0
207,70003,-1,-2,292,1000,1,0
208,70023,3,-1,307,1000,1,0
209,70044,5,1,322,1000,1,0
210,70064,6,2,337,1000,1,0
211,70084,8,3,351,1000,1,0
212,70103,10,3,366,1000,1,0
213,70123,10,3,381,1000,1,0
214,70143,11,4,396,1000,1,0
215,70164,10,5,411,1000,1,0
216,70184,11,6,426,1000,1,0
217,70204,12,7,440,1000,1,0
218,70224,13,9,455,1000,1,0
219,70244,14,9,470,1000,1,0
220,70264,12,9,485,1000,1,0
221,70284,10,9,500,1000,1,0
222,70303,7,7,514,1000,1,0
223,70323,4,5,529,1000,1,0
224,70344,0,3,544,1000,1,0
225,70364,-5,1,559,1000,1,0
