send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
21,21,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
41,41,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
61,61,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
81,81,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
101,101,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
121,121,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
141,141,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
161,161,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0,0.0,45.0,90.0
181,181,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0
201,201,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0
221,221,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0
241,241,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0
261,261,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0,0.0,45.087890625,90.0
281,281,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0
301,301,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0
321,321,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0,0.0,45.17578125,90.0
341,341,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0
361,361,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0
381,381,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0,0.0,45.263671875,90.0
401,401,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0
421,421,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0
441,441,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0,0.0,45.439453125,90.0
461,461,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0
481,481,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0
501,501,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0,0.0,45.52734375,90.0
