profile,linear,front_lift_mm,period_s,FL_stance_mean_mm_s,FL_stance_peak_mm_s,FL_swing_peak_mm_s,peak_joint_velocity_deg_s,peak_joint_acceleration_deg_s2
attitudepd_v4,1.0,0,1.0499999523162842,135.2605743408203,136.11146545410156,398.0029296875,127.44140625,1757.8125
attitudepd_v5,1.0,0,0.807692289352417,175.83872985839844,176.94491577148438,517.40380859375,166.9921875,2856.4453125
attitudepd_v4,-1.0,0,1.0499999523162842,135.2605438232422,136.11146545410156,398.0384216308594,127.44140625,1757.8125
attitudepd_v5,-1.0,0,1.0499999523162842,135.2605438232422,136.11146545410156,398.0384216308594,127.44140625,1757.8125
attitudepd_v4,0.588,0,1.5446701049804688,61.32952880859375,61.594974517822266,179.46469116210938,79.1015625,1538.0859375
attitudepd_v5,0.588,0,1.1882078647613525,79.72837829589844,80.0734634399414,233.3040771484375,101.07421875,1977.5390625
attitudepd_v4,-0.588,0,1.5446701049804688,61.329505920410156,61.594974517822266,179.45022583007812,83.49609375,1538.0859375
attitudepd_v5,-0.588,0,1.5446701049804688,61.329505920410156,61.594974517822266,179.45022583007812,83.49609375,1538.0859375
attitudepd_v4,1.0,30,1.0499999523162842,135.2605743408203,136.11146545410156,398.01715087890625,215.33203125,2856.4453125
attitudepd_v5,1.0,30,0.807692289352417,175.83872985839844,176.94491577148438,517.4222412109375,281.25,5053.7109375
attitudepd_v4,-1.0,30,1.0499999523162842,135.2605438232422,136.11146545410156,398.0596923828125,215.33203125,3076.171875
attitudepd_v5,-1.0,30,1.0499999523162842,135.2605438232422,136.11146545410156,398.0596923828125,215.33203125,3076.171875
attitudepd_v4,0.588,30,1.5446701049804688,61.32952880859375,61.594974517822266,179.47433471679688,145.01953125,1977.5390625
attitudepd_v5,0.588,30,1.1882078647613525,79.72837829589844,80.0734634399414,233.31663513183594,188.96484375,3076.171875
attitudepd_v4,-0.588,30,1.5446701049804688,61.329505920410156,61.594974517822266,179.4695281982422,140.625,1977.5390625
attitudepd_v5,-0.588,30,1.5446701049804688,61.329505920410156,61.594974517822266,179.4695281982422,140.625,1977.5390625
