send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.0,90.0,0.0,45.087890625,90.087890625,0.0,45.0,89.912109375,0.0,45.0,90.0
21,21,0.0,45.0,89.912109375,0.0,45.087890625,90.17578125,0.0,44.912109375,89.82421875,0.0,45.0,90.087890625
41,41,0.0,45.0,89.912109375,0.0,45.087890625,90.17578125,0.0,44.912109375,89.82421875,0.0,45.087890625,90.087890625
61,61,0.0,45.0,89.912109375,0.0,45.17578125,90.263671875,0.0,44.912109375,89.736328125,0.0,45.087890625,90.087890625
81,81,0.0,45.087890625,89.912109375,0.0,45.263671875,90.263671875,0.0,45.0,89.736328125,0.0,45.17578125,90.087890625
101,101,0.0,45.087890625,89.912109375,0.0,45.263671875,90.263671875,0.0,45.0,89.736328125,0.0,45.17578125,90.087890625
121,121,0.0,45.17578125,89.912109375,0.0,45.439453125,90.439453125,0.0,45.087890625,89.736328125,0.0,45.263671875,90.087890625
141,141,0.0,45.263671875,89.912109375,0.0,45.615234375,90.439453125,0.0,45.17578125,89.736328125,0.0,45.439453125,90.17578125
161,161,0.0,45.52734375,89.912109375,0.0,45.703125,90.439453125,0.0,45.263671875,89.736328125,0.0,45.615234375,90.17578125
181,181,0.0,45.615234375,89.912109375,0.0,45.87890625,90.439453125,0.0,45.52734375,89.736328125,0.0,45.791015625,90.17578125
201,201,0.087890625,45.791015625,89.912109375,0.087890625,46.142578125,90.439453125,0.087890625,45.703125,89.736328125,0.087890625,45.966796875,90.17578125
221,221,0.087890625,45.966796875,89.912109375,0.087890625,46.318359375,90.439453125,0.087890625,45.87890625,89.736328125,0.087890625,46.23046875,90.17578125
241,241,0.087890625,46.318359375,89.912109375,0.087890625,46.58203125,90.52734375,0.087890625,46.23046875,89.736328125,0.087890625,46.40625,90.17578125
261,261,0.087890625,46.58203125,90.0,0.087890625,46.7578125,90.52734375,0.087890625,46.40625,89.736328125,0.087890625,46.669921875,90.17578125
281,281,0.087890625,46.93359375,90.0,0.087890625,47.197265625,90.52734375,0.087890625,46.669921875,89.736328125,0.087890625,47.021484375,90.17578125
301,301,0.087890625,47.197265625,90.0,0.087890625,47.4609375,90.52734375,0.087890625,47.109375,89.736328125,0.087890625,47.28515625,90.17578125
321,321,0.17578125,47.63671875,90.087890625,0.17578125,47.900390625,90.615234375,0.17578125,47.373046875,89.736328125,0.17578125,47.724609375,90.17578125
341,341,0.17578125,47.98828125,90.087890625,0.17578125,48.1640625,90.615234375,0.17578125,47.8125,89.736328125,0.17578125,47.98828125,90.17578125
361,361,0.17578125,48.33984375,90.087890625,0.17578125,48.603515625,90.615234375,0.17578125,48.076171875,89.736328125,0.17578125,48.427734375,90.17578125
381,381,0.17578125,48.779296875,90.087890625,0.17578125,49.04296875,90.703125,0.17578125,48.515625,89.736328125,0.17578125,48.779296875,90.17578125
401,401,0.263671875,49.21875,90.17578125,0.263671875,49.482421875,90.703125,0.263671875,49.04296875,89.736328125,0.263671875,49.21875,90.263671875
421,421,0.263671875,49.5703125,90.17578125,0.263671875,49.921875,90.703125,0.263671875,49.39453125,89.82421875,0.263671875,49.658203125,90.263671875
441,441,0.263671875,50.009765625,90.17578125,0.263671875,50.2734375,90.703125,0.263671875,49.833984375,89.82421875,0.263671875,50.09765625,90.263671875
461,461,0.263671875,50.537109375,90.17578125,0.263671875,50.80078125,90.791015625,0.263671875,50.2734375,89.82421875,0.263671875,50.625,90.263671875
481,481,0.439453125,50.888671875,90.263671875,0.439453125,51.240234375,90.791015625,0.439453125,50.712890625,89.82421875,0.439453125,50.9765625,90.439453125
501,501,0.439453125,51.416015625,90.263671875,0.439453125,51.6796875,90.791015625,0.439453125,51.064453125,89.82421875,0.439453125,51.416015625,90.439453125
521,521,0.439453125,51.767578125,90.263671875,0.439453125,52.119140625,90.791015625,0.439453125,51.591796875,89.912109375,0.439453125,51.943359375,90.439453125
541,541,0.52734375,52.294921875,90.263671875,0.52734375,52.55859375,90.87890625,0.52734375,52.03125,89.912109375,0.52734375,52.294921875,90.439453125
561,561,0.52734375,52.734375,90.263671875,0.52734375,52.998046875,90.87890625,0.52734375,52.3828125,89.912109375,0.52734375,52.822265625,90.52734375
581,581,0.52734375,53.0859375,90.263671875,0.52734375,53.4375,90.87890625,0.52734375,52.91015625,89.912109375,0.52734375,53.173828125,90.52734375
601,601,0.52734375,53.525390625,90.439453125,0.52734375,53.876953125,90.966796875,0.52734375,53.26171875,89.912109375,0.52734375,53.61328125,90.52734375
621,621,0.615234375,53.876953125,90.439453125,0.615234375,54.228515625,90.966796875,0.615234375,53.61328125,89.912109375,0.615234375,53.96484375,90.52734375
641,641,0.615234375,54.31640625,90.439453125,0.615234375,54.580078125,90.966796875,0.615234375,53.96484375,89.912109375,0.615234375,54.404296875,90.615234375
661,661,0.615234375,54.580078125,90.439453125,0.615234375,55.01953125,90.966796875,0.615234375,54.404296875,90.0,0.615234375,54.66796875,90.615234375
681,681,0.615234375,54.931640625,90.439453125,0.615234375,55.283203125,90.966796875,0.615234375,54.66796875,90.0,0.615234375,55.01953125,90.615234375
701,701,0.615234375,55.1953125,90.439453125,0.615234375,55.634765625,91.142578125,0.615234375,55.01953125,90.0,0.615234375,55.283203125,90.615234375
721,721,0.703125,55.458984375,90.52734375,0.703125,55.8984375,91.142578125,0.703125,55.283203125,90.0,0.703125,55.634765625,90.615234375
741,741,0.703125,55.810546875,90.52734375,0.703125,56.07421875,91.142578125,0.703125,55.458984375,90.0,0.703125,55.8984375,90.703125
761,761,0.703125,55.986328125,90.52734375,0.703125,56.42578125,91.142578125,0.703125,55.72265625,90.0,0.703125,56.07421875,90.703125
781,781,0.703125,56.162109375,90.52734375,0.703125,56.6015625,91.142578125,0.703125,55.8984375,90.087890625,0.703125,56.337890625,90.703125
801,801,0.703125,56.337890625,90.52734375,0.703125,56.689453125,91.142578125,0.703125,56.07421875,90.087890625,0.703125,56.513671875,90.703125
821,821,0.703125,56.513671875,90.52734375,0.703125,56.865234375,91.142578125,0.703125,56.337890625,90.087890625,0.703125,56.6015625,90.703125
841,841,0.703125,56.6015625,90.439453125,0.703125,57.041015625,91.142578125,0.703125,56.42578125,90.087890625,0.703125,56.77734375,90.791015625
861,861,0.703125,56.689453125,90.439453125,0.703125,57.12890625,91.142578125,0.703125,56.513671875,90.087890625,0.703125,56.865234375,90.791015625
881,881,0.703125,56.689453125,90.439453125,0.703125,57.12890625,91.142578125,0.703125,56.513671875,90.087890625,0.703125,57.041015625,90.791015625
901,901,0.703125,56.77734375,90.439453125,0.703125,57.216796875,91.142578125,0.703125,56.6015625,90.087890625,0.703125,57.041015625,90.791015625
921,921,0.703125,56.77734375,90.439453125,0.703125,57.216796875,91.142578125,0.703125,56.6015625,90.087890625,0.703125,57.041015625,90.791015625
941,941,0.703125,56.77734375,90.439453125,0.703125,57.216796875,91.142578125,0.703125,56.6015625,90.087890625,0.703125,57.12890625,90.791015625
961,961,0.703125,56.77734375,90.439453125,0.703125,57.216796875,91.142578125,0.703125,56.6015625,90.087890625,0.703125,57.12890625,90.791015625
981,981,0.791015625,56.77734375,90.439453125,0.791015625,57.216796875,91.142578125,0.791015625,56.6015625,90.087890625,0.791015625,57.12890625,90.791015625
1001,1002,0.791015625,56.77734375,90.439453125,0.791015625,57.216796875,91.142578125,0.791015625,56.689453125,90.087890625,0.791015625,57.12890625,90.87890625
1021,1022,0.791015625,56.77734375,90.439453125,0.791015625,57.216796875,91.142578125,0.791015625,56.689453125,90.087890625,0.791015625,57.12890625,90.87890625
