begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,7,0,1440,0,80,11,11300,33,0,8,RL-J2,2.0,45.0,44.12109375,-0.87890625
21,23,1,8,0,2994,0,76,2,11300,44,0,9,RL-J3,22.0,89.82421875,90.52734375,0.703125
41,43,2,9,0,1958,0,64,2,11300,34,0,10,RR-J1,42.0,0.0,0.615234375,0.615234375
61,63,3,10,0,2764,0,-32,1,11200,33,0,11,RR-J2,62.0,45.087890625,44.736328125,-0.3515625
81,83,4,11,0,996,0,-208,13,11200,38,0,12,RR-J3,82.0,90.087890625,92.28515625,2.197265625
101,103,5,0,0,1928,0,0,0,11200,31,0,1,FL-J1,102.0,0.0,0.087890625,0.087890625
121,123,6,1,0,1566,0,28,1,11300,30,0,2,FL-J2,122.0,45.17578125,44.912109375,-0.263671875
141,143,7,2,0,3000,0,104,10,11400,34,0,3,FL-J3,142.0,89.912109375,90.966796875,1.0546875
161,163,8,3,0,2089,0,0,0,11300,32,0,4,FR-J1,162.0,0.0,0.0,0.0
181,183,9,4,0,2439,100,-24,0,11300,30,0,5,FR-J2,182.0,45.87890625,45.439453125,-0.439453125
201,203,10,5,0,1034,0,-152,8,11400,34,0,6,FR-J3,202.0,90.439453125,92.021484375,1.58203125
221,223,11,6,0,2098,0,-44,1,11300,34,0,7,RL-J1,222.0,0.087890625,0.52734375,0.439453125
241,243,12,7,0,1433,-100,104,14,11300,33,0,8,RL-J2,242.0,46.23046875,44.736328125,-1.494140625
261,263,13,8,0,2994,0,80,3,11200,44,0,9,RL-J3,262.0,89.736328125,90.52734375,0.791015625
281,283,14,9,0,1958,0,56,1,11300,34,0,10,RR-J1,282.0,0.087890625,0.615234375,0.52734375
301,303,15,10,0,2781,150,-76,4,11200,33,0,11,RR-J2,302.0,47.28515625,46.23046875,-1.0546875
321,323,16,11,0,996,0,-200,13,11100,38,0,12,RR-J3,322.0,90.17578125,92.28515625,2.109375
341,343,17,0,0,1928,0,0,0,11200,31,0,1,FL-J1,342.0,0.17578125,0.087890625,-0.087890625
361,363,18,1,0,1538,-200,56,3,11300,31,0,2,FL-J2,362.0,48.33984375,47.373046875,-0.966796875
381,383,19,2,0,3000,0,88,6,11400,34,0,3,FL-J3,382.0,90.087890625,90.966796875,0.87890625
401,403,20,3,0,2089,0,-24,0,11400,32,0,4,FR-J1,402.0,0.263671875,0.0,-0.263671875
421,423,21,4,0,2479,250,-44,3,11300,30,0,5,FR-J2,422.0,49.921875,48.955078125,-0.966796875
441,443,22,5,0,1034,0,-128,5,11400,34,0,6,FR-J3,442.0,90.703125,92.021484375,1.318359375
461,463,23,6,0,2098,0,-32,1,11300,33,0,7,RL-J1,462.0,0.263671875,0.52734375,0.263671875
481,483,24,7,0,1383,-250,116,9,11300,33,0,8,RL-J2,482.0,50.712890625,49.130859375,-1.58203125
501,503,25,8,0,2994,0,72,3,11300,44,0,9,RL-J3,502.0,89.82421875,90.52734375,0.703125
521,523,26,9,0,1958,0,20,0,11300,34,0,10,RR-J1,522.0,0.439453125,0.615234375,0.17578125
541,543,27,10,0,2838,250,-60,1,11200,33,0,11,RR-J2,542.0,52.294921875,51.240234375,-1.0546875
561,563,28,11,0,997,0,-160,9,11200,38,0,12,RR-J3,562.0,90.52734375,92.197265625,1.669921875
581,583,29,0,0,1928,0,48,1,11200,31,0,1,FL-J1,582.0,0.52734375,0.087890625,-0.439453125
601,603,30,1,0,1477,-300,44,0,11300,31,0,2,FL-J2,602.0,53.525390625,52.734375,-0.791015625
621,623,31,2,0,3000,0,64,3,11400,34,0,3,FL-J3,622.0,90.439453125,90.966796875,0.52734375
641,643,32,3,0,2090,0,-56,1,11300,32,0,4,FR-J1,642.0,0.615234375,0.087890625,-0.52734375
661,663,33,4,0,2540,250,-24,0,11300,30,0,5,FR-J2,662.0,55.01953125,54.31640625,-0.703125
681,683,34,5,0,1034,0,-104,4,11400,34,0,6,FR-J3,682.0,90.966796875,92.021484375,1.0546875
701,703,35,6,0,2098,0,0,0,11300,33,0,7,RL-J1,702.0,0.615234375,0.52734375,-0.087890625
721,723,36,7,0,1322,-300,60,2,11300,33,0,8,RL-J2,722.0,55.283203125,54.4921875,-0.791015625
741,743,37,8,0,2993,0,48,1,11300,44,0,9,RL-J3,742.0,90.0,90.439453125,0.439453125
761,763,38,9,0,1958,0,0,0,11300,34,0,10,RR-J1,762.0,0.703125,0.615234375,-0.087890625
