begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,sim_actual_deg,sim_minus_hardware_deg
101,103,5,0,0,1928,0,0,0,11200,31,0,1,FL-J1,102.0,0.0,0.087890625,0.087890625,0.11841748245187554,0.03052685745187554
341,343,17,0,0,1928,0,0,0,11200,31,0,1,FL-J1,342.0,0.17578125,0.087890625,-0.087890625,0.3465585337331135,0.2586679087331135
581,583,29,0,0,1928,0,48,1,11200,31,0,1,FL-J1,582.0,0.52734375,0.087890625,-0.439453125,0.6129514649201879,0.5250608399201879
821,823,41,0,0,1928,0,64,2,11200,31,0,1,FL-J1,822.0,0.703125,0.087890625,-0.615234375,0.9966691763738573,0.9087785513738573
1062,1064,53,0,0,1928,0,72,2,11200,31,0,1,FL-J1,1063.0,0.791015625,0.087890625,-0.703125,1.2529981827184926,1.1651075577184926
1302,1304,65,0,0,1928,0,72,2,11200,31,0,1,FL-J1,1303.0,0.791015625,0.087890625,-0.703125,1.4388516605381874,1.3509610355381874
1542,1544,77,0,0,1928,0,72,2,11200,31,0,1,FL-J1,1543.0,0.791015625,0.087890625,-0.703125,1.7596737247114924,1.6717830997114924
1782,1784,89,0,0,1919,-100,-20,0,11100,31,0,1,FL-J1,1783.0,0.791015625,0.87890625,0.087890625,1.423492578648895,0.544586328648895
2022,2024,101,0,0,1925,0,48,0,10900,31,0,1,FL-J1,2023.0,0.791015625,0.3515625,-0.439453125,0.654615336540079,0.303052836540079
2262,2264,113,0,0,1920,100,24,0,11000,31,0,1,FL-J1,2263.0,0.791015625,0.791015625,0.0,1.8484478702334104,1.0574322452334104
2516,2518,125,0,0,1925,0,48,1,11100,31,0,1,FL-J1,2517.0,0.791015625,0.3515625,-0.439453125,2.531847357290611,2.180284857290611
2757,2759,137,0,0,1926,0,56,2,11000,31,0,1,FL-J1,2758.0,0.791015625,0.263671875,-0.52734375,2.5226311195903026,2.2589592445903026
2997,2999,149,0,0,1925,0,52,1,11000,31,0,1,FL-J1,2998.0,0.791015625,0.3515625,-0.439453125,0.7126125718100892,0.3610500718100892
3237,3239,161,0,0,1918,-100,-24,1,11000,31,0,1,FL-J1,3238.0,0.791015625,0.966796875,0.17578125,0.5418802346463996,-0.42491664035360044
3477,3479,173,0,0,1924,0,40,0,11100,31,0,1,FL-J1,3478.0,0.791015625,0.439453125,-0.3515625,2.6663076163555517,2.2268544913555517
3717,3719,185,0,0,1926,0,56,2,11100,31,0,1,FL-J1,3718.0,0.791015625,0.263671875,-0.52734375,2.139225674407039,1.8755537994070388
3957,3959,197,0,0,1924,0,40,0,11200,31,0,1,FL-J1,3958.0,0.791015625,0.439453125,-0.3515625,1.1445883647581785,0.7051352397581785
4196,4198,209,0,0,1925,0,40,0,11200,31,0,1,FL-J1,4197.0,0.703125,0.3515625,-0.3515625,1.0509717550994315,0.6994092550994315
4436,4438,221,0,0,1925,0,20,0,11200,31,0,1,FL-J1,4437.0,0.52734375,0.3515625,-0.17578125,1.3143811680370112,0.9628186680370112
4676,4678,233,0,0,1925,0,-24,0,11200,31,0,1,FL-J1,4677.0,0.17578125,0.3515625,0.17578125,1.3067620597722993,0.9551995597722993
4916,4918,245,0,0,1928,50,0,0,11200,31,0,1,FL-J1,4917.0,0.0,0.087890625,0.087890625,1.079553403036013,0.991662778036013
121,123,6,1,0,1566,0,28,1,11300,30,0,2,FL-J2,122.0,45.17578125,44.912109375,-0.263671875,44.295599570830724,-0.6165098041692758
361,363,18,1,0,1538,-200,56,3,11300,31,0,2,FL-J2,362.0,48.33984375,47.373046875,-0.966796875,46.539107140179894,-0.8339397348201061
601,603,30,1,0,1477,-300,44,0,11300,31,0,2,FL-J2,602.0,53.525390625,52.734375,-0.791015625,51.86671410869942,-0.8676608913005808
841,843,42,1,0,1433,-100,4,1,11300,31,0,2,FL-J2,842.0,56.6015625,56.6015625,0.0,56.46407552398857,-0.13748697601143078
1082,1084,54,1,0,1428,0,-24,2,11300,30,0,2,FL-J2,1083.0,56.77734375,57.041015625,0.263671875,57.29959963692595,0.25858401192594727
1322,1324,66,1,0,1428,0,-48,4,11300,31,0,2,FL-J2,1323.0,56.513671875,57.041015625,0.52734375,57.29521226356216,0.25419663856216346
1562,1564,78,1,0,1410,-150,72,5,11200,31,0,2,FL-J2,1563.0,59.765625,58.623046875,-1.142578125,56.38938756437341,-2.2336593106265923
1802,1804,90,1,0,1348,-250,112,11,11100,31,0,2,FL-J2,1803.0,65.56640625,64.072265625,-1.494140625,61.096697639065475,-2.975567985934525
2042,2044,102,1,0,1441,1050,-576,209,10900,31,0,2,FL-J2,2043.0,46.58203125,55.8984375,9.31640625,58.996137826410624,3.0977003264106244
2282,2284,114,1,0,1497,-200,108,6,11200,31,0,2,FL-J2,2283.0,52.734375,50.9765625,-1.7578125,42.83993831257421,-8.136624187425788
2537,2539,126,1,0,1411,-100,0,0,11100,31,0,2,FL-J2,2538.0,59.326171875,58.53515625,-0.791015625,58.73983736011547,0.20468111011547307
2777,2779,138,1,0,1361,-550,120,8,11100,31,0,2,FL-J2,2778.0,64.51171875,62.9296875,-1.58203125,61.642320954848984,-1.2873665451510163
3017,3019,150,1,0,1362,750,-436,132,11000,31,0,2,FL-J2,3018.0,53.4375,62.841796875,9.404296875,62.458902124330216,-0.3828947506697844
3257,3259,162,1,0,1535,-600,108,3,11100,31,0,2,FL-J2,3258.0,49.482421875,47.63671875,-1.845703125,41.96555994403655,-5.671158805963451
3497,3499,174,1,0,1435,-350,16,0,11200,31,0,2,FL-J2,3498.0,57.12890625,56.42578125,-0.703125,54.490859563396256,-1.9349216866037438
3737,3739,186,1,0,1398,0,76,8,11200,31,0,2,FL-J2,3738.0,60.46875,59.677734375,-0.791015625,60.53725103873157,0.8595166637315685
3977,3979,198,1,0,1391,0,-176,52,11300,31,0,2,FL-J2,3978.0,57.919921875,60.29296875,2.373046875,62.520389159262706,2.227420409262706
4216,4218,210,1,0,1425,150,-88,8,11300,31,0,2,FL-J2,4217.0,56.162109375,57.3046875,1.142578125,59.74265956417561,2.437972064175611
4456,4458,222,1,0,1451,200,-196,41,11100,31,0,2,FL-J2,4457.0,52.470703125,55.01953125,2.548828125,56.38325458668442,1.3637233366844228
4696,4698,234,1,0,1520,300,-104,8,11300,31,0,2,FL-J2,4697.0,47.373046875,48.955078125,1.58203125,49.879918110754446,0.9248399857544456
4936,4938,246,1,0,1554,50,-88,13,11300,31,0,2,FL-J2,4937.0,45.0,45.966796875,0.966796875,45.652204764430614,-0.31459211056938585
141,143,7,2,0,3000,0,104,10,11400,34,0,3,FL-J3,142.0,89.912109375,90.966796875,1.0546875,91.5507888306626,0.5839919556625972
381,383,19,2,0,3000,0,88,6,11400,34,0,3,FL-J3,382.0,90.087890625,90.966796875,0.87890625,91.53431575975672,0.5675188847567227
621,623,31,2,0,3000,0,64,3,11400,34,0,3,FL-J3,622.0,90.439453125,90.966796875,0.52734375,91.69520351933714,0.7284066443371415
861,863,43,2,0,3000,0,60,3,11400,34,0,3,FL-J3,862.0,90.439453125,90.966796875,0.52734375,91.85407722273244,0.8872803477324425
1102,1104,55,2,0,3000,0,56,3,11400,34,0,3,FL-J3,1103.0,90.439453125,90.966796875,0.52734375,91.76995595795456,0.803159082954565
1342,1344,67,2,0,3000,0,56,3,11400,34,0,3,FL-J3,1343.0,90.439453125,90.966796875,0.52734375,91.67663658760344,0.7098397126034399
1582,1584,79,2,0,3001,0,224,24,11300,34,0,3,FL-J3,1583.0,88.330078125,91.0546875,2.724609375,92.45996299801782,1.405275498017815
1822,1824,91,2,0,2946,-200,136,9,11300,34,0,3,FL-J3,1823.0,88.857421875,86.220703125,-2.63671875,87.1851901161118,0.9644869911117979
2062,2064,103,2,0,3024,600,-280,14,10900,34,0,3,FL-J3,2063.0,92.373046875,93.076171875,0.703125,100.63378333171869,7.557611456718689
2302,2304,115,2,0,3032,-100,180,7,11300,34,0,3,FL-J3,2303.0,91.669921875,93.779296875,2.109375,93.55987964248314,-0.21941723251686085
2557,2559,127,2,0,3002,-50,196,36,11100,34,0,3,FL-J3,2558.0,88.59375,91.142578125,2.548828125,91.96262479590348,0.8200466709034799
2797,2799,139,2,0,2950,-450,224,13,11200,34,0,3,FL-J3,2798.0,83.671875,86.572265625,2.900390625,87.157591628379,0.5853260033789951
3037,3039,151,2,0,2982,650,-336,40,11100,34,0,3,FL-J3,3038.0,95.888671875,89.384765625,-6.50390625,95.86898306751154,6.484217442511536
3277,3279,163,2,0,3053,-400,156,8,11200,34,0,3,FL-J3,3278.0,91.93359375,95.625,3.69140625,91.17625928158783,-4.448740718412168
3517,3519,175,2,0,3015,-50,196,29,11300,34,0,3,FL-J3,3518.0,90.0,92.28515625,2.28515625,94.784853489101,2.499697239100996
3757,3759,187,2,0,2992,0,220,35,11200,34,0,3,FL-J3,3758.0,87.978515625,90.263671875,2.28515625,91.60020561875577,1.3365337437557656
