begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,9,0,1963,0,104,4,11300,35,0,10,RR-J1,2.0,0.0,1.0546875,1.0546875
21,23,1,10,0,2761,0,-48,3,11200,33,0,11,RR-J2,22.0,45.0,44.47265625,-0.52734375
41,43,2,11,0,1018,0,-40,1,11300,41,0,12,RR-J3,42.0,90.0,90.3515625,0.3515625
61,63,3,0,0,1930,0,0,0,11200,31,0,1,FL-J1,62.0,0.0,-0.087890625,-0.087890625
81,83,4,1,0,1563,0,-16,1,11300,31,0,2,FL-J2,82.0,45.087890625,45.17578125,0.087890625
101,103,5,2,0,2999,0,96,5,11400,34,0,3,FL-J3,102.0,89.912109375,90.87890625,0.966796875
121,123,6,3,0,2093,0,40,1,11300,33,0,4,FR-J1,122.0,0.0,0.3515625,0.3515625
141,143,7,4,0,2439,50,-8,0,11300,30,0,5,FR-J2,142.0,45.703125,45.439453125,-0.263671875
161,163,8,5,0,1039,0,-92,3,11400,34,0,6,FR-J3,162.0,90.615234375,91.58203125,0.966796875
181,183,9,6,0,2093,0,-96,3,11200,34,0,7,RL-J1,182.0,0.0,0.966796875,0.966796875
201,203,10,7,0,1440,-50,132,23,11300,33,0,8,RL-J2,202.0,45.615234375,44.12109375,-1.494140625
221,223,11,8,0,3002,0,168,9,11300,54,0,9,RL-J3,222.0,89.47265625,91.23046875,1.7578125
241,243,12,9,0,1963,0,92,4,11300,35,0,10,RR-J1,242.0,0.087890625,1.0546875,0.966796875
261,263,13,10,0,2772,150,-88,8,11200,33,0,11,RR-J2,262.0,46.669921875,45.439453125,-1.23046875
281,283,14,11,0,1017,0,-32,1,11300,41,0,12,RR-J3,282.0,90.17578125,90.439453125,0.263671875
301,303,15,0,0,1930,0,24,0,11200,31,0,1,FL-J1,302.0,0.087890625,-0.087890625,-0.17578125
321,323,16,1,0,1542,-150,24,1,11300,31,0,2,FL-J2,322.0,47.63671875,47.021484375,-0.615234375
341,343,17,2,0,2998,0,68,3,11400,34,0,3,FL-J3,342.0,90.087890625,90.791015625,0.703125
