begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,sim_actual_deg,sim_minus_hardware_deg
61,63,3,0,0,1930,0,0,0,11200,31,0,1,FL-J1,62.0,0.0,-0.087890625,-0.087890625,0.07088479502317468,0.15877542002317468
301,303,15,0,0,1930,0,24,0,11200,31,0,1,FL-J1,302.0,0.087890625,-0.087890625,-0.17578125,0.31817850846122564,0.40606913346122564
541,543,27,0,0,1929,-50,44,0,11200,31,0,1,FL-J1,542.0,0.52734375,0.0,-0.52734375,0.5557875512467363,0.5557875512467363
781,783,39,0,0,1927,0,56,1,11200,31,0,1,FL-J1,782.0,0.703125,0.17578125,-0.52734375,0.9427713514643182,0.7669901014643182
1022,1024,51,0,0,1926,0,56,1,11200,31,0,1,FL-J1,1023.0,0.791015625,0.263671875,-0.52734375,1.209742460656812,0.9460705856568119
1262,1264,63,0,0,1925,0,96,3,11200,31,0,1,FL-J1,1263.0,1.23046875,0.3515625,-0.87890625,1.3719873244479712,1.0204248244479712
1502,1504,75,0,0,1926,50,-60,0,11100,38,0,1,FL-J1,1503.0,-0.791015625,0.263671875,1.0546875,2.395959449000354,2.132287574000354
1742,1744,87,0,0,1966,300,-240,14,11100,31,0,1,FL-J1,1743.0,-7.119140625,-3.251953125,3.8671875,1.0153458256786438,4.267298950678644
1982,1984,99,0,0,2015,-100,160,3,11200,31,0,1,FL-J1,1983.0,-1.40625,-7.55859375,-6.15234375,-5.88525302261852,1.67334072738148
2222,2224,111,0,0,1873,-600,392,38,11100,31,0,1,FL-J1,2223.0,10.37109375,4.921875,-5.44921875,8.355246444040318,3.4333714440403185
2462,2464,123,0,0,1854,350,-40,0,11200,31,0,1,FL-J1,2463.0,4.658203125,6.591796875,1.93359375,7.764391298497416,1.172594423497416
2702,2704,135,0,0,1915,250,-136,2,11000,31,0,1,FL-J1,2703.0,-1.23046875,1.23046875,2.4609375,4.9564885069113345,3.7260197569113345
2942,2944,147,0,0,1979,350,-156,3,11100,31,0,1,FL-J1,2943.0,-7.119140625,-4.39453125,2.724609375,1.8217385967892201,6.216269846789221
3182,3184,159,0,0,2024,0,128,2,11200,31,0,1,FL-J1,3183.0,-4.39453125,-8.349609375,-3.955078125,-6.154093404336612,2.195515970663388
3422,3424,171,0,0,1893,-600,416,41,11000,31,0,1,FL-J1,3423.0,10.810546875,3.1640625,-7.646484375,8.759171942199107,5.5951094421991066
3662,3664,183,0,0,1841,100,-112,0,11200,31,0,1,FL-J1,3663.0,3.33984375,7.734375,4.39453125,8.306404143918343,0.5720291439183427
3901,3903,195,0,0,1907,100,-112,4,11200,31,0,1,FL-J1,3902.0,0.703125,1.93359375,1.23046875,6.416562238396615,4.482968488396615
4141,4143,207,0,0,1907,0,-128,7,11200,31,0,1,FL-J1,4142.0,0.615234375,1.93359375,1.318359375,4.815198614529195,2.881604864529195
4381,4383,219,0,0,1911,0,-124,6,11200,31,0,1,FL-J1,4382.0,0.263671875,1.58203125,1.318359375,3.1907675033236815,1.6087362533236815
4621,4623,231,0,0,1916,0,-112,5,11100,31,0,1,FL-J1,4622.0,0.0,1.142578125,1.142578125,2.083895474581235,0.9413173495812348
81,83,4,1,0,1563,0,-16,1,11300,31,0,2,FL-J2,82.0,45.087890625,45.17578125,0.087890625,44.7977929475043,-0.3779883024957016
321,323,16,1,0,1542,-150,24,1,11300,31,0,2,FL-J2,322.0,47.63671875,47.021484375,-0.615234375,45.94986434056421,-1.0716200344357887
561,563,28,1,0,1487,-250,40,2,11300,31,0,2,FL-J2,562.0,52.734375,51.85546875,-0.87890625,50.90209453862975,-0.953374211370253
801,803,40,1,0,1437,-150,-8,0,11300,31,0,2,FL-J2,802.0,56.337890625,56.25,-0.087890625,55.923756854754885,-0.32624314524511533
1042,1044,52,1,0,1428,0,-24,1,11300,31,0,2,FL-J2,1043.0,56.77734375,57.041015625,0.263671875,57.306442679409436,0.2654270544094359
1282,1284,64,1,0,1425,-50,-24,0,11300,31,0,2,FL-J2,1283.0,57.041015625,57.3046875,0.263671875,57.23171472161984,-0.07297277838016214
1522,1524,76,1,0,1429,100,-88,11,11200,31,0,2,FL-J2,1523.0,55.810546875,56.953125,1.142578125,57.72513222961395,0.7720072296139477
1762,1764,88,1,0,1463,100,-128,20,11200,31,0,2,FL-J2,1763.0,52.294921875,53.96484375,1.669921875,55.88795541986372,1.9231116698637223
2002,2004,100,1,0,1423,-700,140,12,11300,31,0,2,FL-J2,2003.0,60.46875,57.48046875,-2.98828125,55.850177310647965,-1.6302914393520354
2242,2244,112,1,0,1381,200,-16,1,11100,31,0,2,FL-J2,2243.0,60.8203125,61.171875,0.3515625,61.53653351306494,0.36465851306493846
2482,2484,124,1,0,1400,50,-64,5,11300,37,0,2,FL-J2,2483.0,58.623046875,59.501953125,0.87890625,60.67440646230583,1.1724533373058321
2722,2724,136,1,0,1415,0,-212,62,11000,31,0,2,FL-J2,2723.0,55.458984375,58.18359375,2.724609375,57.68125634359734,-0.5023374064026598
2962,2964,148,1,0,1473,150,-32,2,11200,31,0,2,FL-J2,2963.0,52.3828125,53.0859375,0.703125,54.52363703893096,1.437699538930957
3202,3204,160,1,0,1443,-500,112,5,11300,31,0,2,FL-J2,3203.0,58.623046875,55.72265625,-2.900390625,53.791188452094346,-1.931467797905654
3442,3444,172,1,0,1375,200,-16,0,11100,31,0,2,FL-J2,3443.0,61.171875,61.69921875,0.52734375,62.57176657789489,0.8725478278948913
