begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,4,0,2435,0,8,0,11300,30,0,5,FR-J2,2.0,45.087890625,45.087890625,0.0
21,23,1,5,0,1038,0,-148,8,11400,34,0,6,FR-J3,22.0,90.17578125,91.669921875,1.494140625
41,43,2,6,0,2075,0,-240,24,11200,34,0,7,RL-J1,42.0,0.0,2.548828125,2.548828125
61,63,3,7,0,1433,0,16,0,11200,33,0,8,RL-J2,62.0,44.912109375,44.736328125,-0.17578125
81,83,4,8,0,2995,0,108,16,11300,57,0,9,RL-J3,82.0,89.560546875,90.615234375,1.0546875
101,103,5,9,0,1971,0,168,11,11300,35,0,10,RR-J1,102.0,0.0,1.7578125,1.7578125
121,123,6,10,0,2753,0,-120,24,11200,33,0,11,RR-J2,122.0,45.17578125,43.76953125,-1.40625
141,143,7,11,0,1010,0,-104,3,11200,42,0,12,RR-J3,142.0,90.0,91.0546875,1.0546875
161,163,8,0,0,1925,0,-40,1,11200,31,0,1,FL-J1,162.0,0.0,0.3515625,0.3515625
181,183,9,1,0,1561,-50,36,1,11300,31,0,2,FL-J2,182.0,45.703125,45.3515625,-0.3515625
201,203,10,2,0,3000,0,88,6,11300,34,0,3,FL-J3,202.0,90.087890625,90.966796875,0.87890625
221,223,11,3,0,2091,0,-20,0,11300,33,0,4,FR-J1,222.0,0.087890625,0.17578125,0.087890625
241,243,12,4,0,2447,100,-24,0,11200,30,0,5,FR-J2,242.0,46.58203125,46.142578125,-0.439453125
261,263,13,5,0,1039,0,-96,4,11400,34,0,6,FR-J3,262.0,90.615234375,91.58203125,0.966796875
281,283,14,6,0,2075,0,-232,26,11300,34,0,7,RL-J1,282.0,0.087890625,2.548828125,2.4609375
301,303,15,7,0,1418,-150,68,3,11200,33,0,8,RL-J2,302.0,47.021484375,46.0546875,-0.966796875
321,323,16,8,0,2995,0,112,22,11300,56,0,9,RL-J3,322.0,89.560546875,90.615234375,1.0546875
341,343,17,9,0,1971,0,152,10,11300,35,0,10,RR-J1,342.0,0.17578125,1.7578125,1.58203125
361,363,18,10,0,2781,150,-148,30,11200,33,0,11,RR-J2,362.0,48.33984375,46.23046875,-2.109375
381,383,19,11,0,1010,0,-92,4,11200,42,0,12,RR-J3,382.0,90.087890625,91.0546875,0.966796875
401,403,20,0,0,1925,0,0,0,11200,31,0,1,FL-J1,402.0,0.263671875,0.3515625,0.087890625
421,423,21,1,0,1520,-250,44,1,11300,31,0,2,FL-J2,422.0,49.658203125,48.955078125,-0.703125
441,443,22,2,0,3000,0,48,2,11300,34,0,3,FL-J3,442.0,90.439453125,90.966796875,0.52734375
461,463,23,3,0,2091,0,0,0,11300,33,0,4,FR-J1,462.0,0.263671875,0.17578125,-0.087890625
481,483,24,4,0,2495,250,-40,1,11300,30,0,5,FR-J2,482.0,51.328125,50.361328125,-0.966796875
501,503,25,5,0,1039,0,-64,2,11400,34,0,6,FR-J3,502.0,90.966796875,91.58203125,0.615234375
521,523,26,6,0,2075,0,-200,17,11300,34,0,7,RL-J1,522.0,0.439453125,2.548828125,2.109375
541,543,27,7,0,1361,-250,40,1,11300,33,0,8,RL-J2,542.0,51.943359375,51.064453125,-0.87890625
561,563,28,8,0,2995,0,96,17,11300,56,0,9,RL-J3,562.0,89.736328125,90.615234375,0.87890625
581,583,29,9,0,1971,0,116,5,11300,35,0,10,RR-J1,582.0,0.52734375,1.7578125,1.23046875
601,603,30,10,0,2844,250,-116,16,11200,33,0,11,RR-J2,602.0,53.525390625,51.767578125,-1.7578125
621,623,31,11,0,1010,0,-56,1,11300,42,0,12,RR-J3,622.0,90.439453125,91.0546875,0.615234375
641,643,32,0,0,1925,0,36,0,11200,31,0,1,FL-J1,642.0,0.615234375,0.3515625,-0.263671875
661,663,33,1,0,1461,-200,16,0,11300,31,0,2,FL-J2,662.0,54.66796875,54.140625,-0.52734375
681,683,34,2,0,3001,0,56,3,11400,34,0,3,FL-J3,682.0,90.52734375,91.0546875,0.52734375
701,703,35,3,0,2092,0,-40,1,11300,33,0,4,FR-J1,702.0,0.615234375,0.263671875,-0.3515625
721,723,36,4,0,2553,200,-16,0,11300,30,0,5,FR-J2,722.0,55.986328125,55.458984375,-0.52734375
741,743,37,5,0,1039,0,-32,0,11400,34,0,6,FR-J3,742.0,91.318359375,91.58203125,0.263671875
761,763,38,6,0,2076,0,-168,10,11200,35,0,7,RL-J1,762.0,0.703125,2.4609375,1.7578125
781,783,39,7,0,1309,-100,8,0,11300,33,0,8,RL-J2,782.0,55.810546875,55.634765625,-0.17578125
801,803,40,8,0,2993,0,64,7,11300,56,0,9,RL-J3,802.0,89.912109375,90.439453125,0.52734375
821,823,41,9,0,1971,0,104,5,11300,35,0,10,RR-J1,822.0,0.703125,1.7578125,1.0546875
841,843,42,10,0,2892,150,-52,4,11300,33,0,11,RR-J2,842.0,56.689453125,55.986328125,-0.703125
861,863,43,11,0,1007,0,-60,1,11300,42,0,12,RR-J3,862.0,90.703125,91.318359375,0.615234375
881,883,44,0,0,1925,0,40,0,11200,31,0,1,FL-J1,882.0,0.703125,0.3515625,-0.3515625
901,903,45,1,0,1428,-50,-24,2,11300,31,0,2,FL-J2,902.0,56.77734375,57.041015625,0.263671875
921,923,46,2,0,3001,0,56,3,11400,34,0,3,FL-J3,922.0,90.52734375,91.0546875,0.52734375
941,943,47,3,0,2094,0,-32,1,11300,33,0,4,FR-J1,942.0,0.703125,0.439453125,-0.263671875
961,963,48,4,0,2577,50,16,0,11300,30,0,5,FR-J2,962.0,57.392578125,57.568359375,0.17578125
981,983,49,5,0,1039,0,-32,0,11400,34,0,6,FR-J3,982.0,91.318359375,91.58203125,0.263671875
1002,1004,50,6,0,2076,0,-160,9,11300,35,0,7,RL-J1,1003.0,0.703125,2.4609375,1.7578125
1022,1024,51,7,0,1296,0,-24,0,11300,33,0,8,RL-J2,1023.0,56.513671875,56.77734375,0.263671875
1042,1044,52,8,0,2992,0,48,4,11300,57,0,9,RL-J3,1043.0,89.912109375,90.3515625,0.439453125
1062,1064,53,9,0,1971,0,104,5,11300,35,0,10,RR-J1,1063.0,0.703125,1.7578125,1.0546875
1082,1084,54,10,0,2898,0,-48,3,11300,33,0,11,RR-J2,1083.0,57.041015625,56.513671875,-0.52734375
1102,1104,55,11,0,1006,0,-72,2,11300,42,0,12,RR-J3,1103.0,90.703125,91.40625,0.703125
1122,1124,56,0,0,1923,0,24,0,11200,31,0,1,FL-J1,1123.0,0.703125,0.52734375,-0.17578125
1142,1144,57,1,0,1427,0,-32,2,11300,31,0,2,FL-J2,1143.0,56.77734375,57.12890625,0.3515625
1162,1164,58,2,0,3001,0,56,3,11400,34,0,3,FL-J3,1163.0,90.52734375,91.0546875,0.52734375
1182,1184,59,3,0,2094,0,20,0,11300,33,0,4,FR-J1,1183.0,0.263671875,0.439453125,0.17578125
1202,1204,60,4,0,2577,0,40,2,11300,30,0,5,FR-J2,1203.0,57.12890625,57.568359375,0.439453125
1222,1224,61,5,0,1039,0,20,0,11400,34,0,6,FR-J3,1223.0,91.58203125,91.58203125,0.0
1242,1244,62,6,0,2076,0,-240,21,11200,35,0,7,RL-J1,1243.0,-0.439453125,2.4609375,2.900390625
1262,1264,63,7,0,1291,-100,4,0,11300,33,0,8,RL-J2,1263.0,57.3046875,57.216796875,-0.087890625
1282,1284,64,8,0,2992,0,36,3,11300,57,0,9,RL-J3,1283.0,90.17578125,90.3515625,0.17578125
1302,1304,65,9,0,1971,0,144,10,11300,35,0,10,RR-J1,1303.0,0.263671875,1.7578125,1.494140625
1322,1324,66,10,0,2899,0,-56,4,11200,33,0,11,RR-J2,1323.0,57.216796875,56.6015625,-0.615234375
1342,1344,67,11,0,1006,0,-72,2,11300,42,0,12,RR-J3,1343.0,90.703125,91.40625,0.703125
1362,1364,68,0,0,1923,0,20,0,11200,31,0,1,FL-J1,1363.0,0.615234375,0.52734375,-0.087890625
1382,1384,69,1,0,1426,0,-40,3,11300,31,0,2,FL-J2,1383.0,56.77734375,57.216796875,0.439453125
1402,1404,70,2,0,3001,0,56,3,11400,34,0,3,FL-J3,1403.0,90.52734375,91.0546875,0.52734375
1422,1424,71,3,0,2089,50,-88,2,11300,33,0,4,FR-J1,1423.0,2.021484375,0.0,-2.021484375
1442,1444,72,4,0,2593,200,-40,1,11300,30,0,5,FR-J2,1443.0,59.94140625,58.974609375,-0.966796875
1462,1464,73,5,0,1016,-50,-32,0,11400,34,0,6,FR-J3,1463.0,92.900390625,93.603515625,0.703125
1482,1484,74,6,0,2079,-100,60,0,11300,35,0,7,RL-J1,1483.0,4.5703125,2.197265625,-2.373046875
1502,1504,75,7,0,1292,250,-124,10,11300,33,0,8,RL-J2,1503.0,55.1953125,57.12890625,1.93359375
1522,1524,76,8,0,3009,0,-52,1,11300,57,0,9,RL-J3,1523.0,92.109375,91.845703125,-0.263671875
1542,1544,77,9,0,1974,50,-48,1,11300,35,0,10,RR-J1,1543.0,3.076171875,2.021484375,-1.0546875
1562,1564,78,10,0,2890,-100,8,0,11200,33,0,11,RR-J2,1563.0,55.634765625,55.810546875,0.17578125
1582,1584,79,11,0,1003,-100,-24,0,11200,42,0,12,RR-J3,1583.0,91.40625,91.669921875,0.263671875
1602,1604,80,0,0,1909,-150,192,9,11100,31,0,1,FL-J1,1603.0,4.482421875,1.7578125,-2.724609375
1622,1624,81,1,0,1411,-100,16,0,11300,31,0,2,FL-J2,1623.0,58.88671875,58.53515625,-0.3515625
1642,1644,82,2,0,3002,0,176,23,11400,34,0,3,FL-J3,1643.0,89.296875,91.142578125,1.845703125
1662,1664,83,3,0,2156,200,-172,10,11300,33,0,4,FR-J1,1663.0,7.470703125,5.888671875,-1.58203125
1682,1684,84,4,0,2612,0,8,0,11300,30,0,5,FR-J2,1683.0,60.556640625,60.64453125,0.087890625
1702,1704,85,5,0,1041,50,-132,7,11400,34,0,6,FR-J3,1703.0,89.912109375,91.40625,1.494140625
1722,1724,86,6,0,2021,0,-20,0,11200,35,0,7,RL-J1,1723.0,6.943359375,7.294921875,0.3515625
1742,1744,87,7,0,1334,0,-16,0,11300,33,0,8,RL-J2,1743.0,53.26171875,53.4375,0.17578125
1762,1764,88,8,0,3007,0,108,5,11300,57,0,9,RL-J3,1763.0,90.615234375,91.669921875,1.0546875
1782,1784,89,9,0,2026,350,-180,6,11300,35,0,10,RR-J1,1783.0,9.84375,6.591796875,-3.251953125
1802,1804,90,10,0,2853,-150,44,1,11200,33,0,11,RR-J2,1803.0,52.03125,52.55859375,0.52734375
1822,1824,91,11,0,995,0,20,1,11300,42,0,12,RR-J3,1823.0,92.724609375,92.373046875,-0.3515625
1842,1844,92,0,0,1851,-350,296,22,11100,31,0,1,FL-J1,1843.0,10.458984375,6.85546875,-3.603515625
1862,1864,93,1,0,1381,-200,84,5,11300,31,0,2,FL-J2,1863.0,62.40234375,61.171875,-1.23046875
1882,1884,94,2,0,2989,0,72,4,11400,34,0,3,FL-J3,1883.0,90.87890625,90.0,-0.87890625
1902,1904,95,3,0,2136,-200,0,0,11300,33,0,4,FR-J1,1903.0,3.33984375,4.130859375,0.791015625
1922,1924,96,4,0,2596,-100,60,2,11300,30,0,5,FR-J2,1923.0,58.53515625,59.23828125,0.703125
1942,1944,97,5,0,1040,0,-36,0,11400,34,0,6,FR-J3,1943.0,91.23046875,91.494140625,0.263671875
1962,1964,98,6,0,2061,150,-104,2,11300,34,0,7,RL-J1,1963.0,1.7578125,3.779296875,2.021484375
1982,1984,99,7,0,1306,-150,4,0,11300,33,0,8,RL-J2,1983.0,56.07421875,55.8984375,-0.17578125
2002,2004,100,8,0,3010,50,204,17,11300,57,0,9,RL-J3,2003.0,89.82421875,91.93359375,2.109375
