begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,sim_actual_deg,sim_minus_hardware_deg
161,163,8,0,0,1925,0,-40,1,11200,31,0,1,FL-J1,162.0,0.0,0.3515625,0.3515625,0.18147469862199786,-0.17008780137800214
401,403,20,0,0,1925,0,0,0,11200,31,0,1,FL-J1,402.0,0.263671875,0.3515625,0.087890625,0.4000737835812253,0.048511283581225306
641,643,32,0,0,1925,0,36,0,11200,31,0,1,FL-J1,642.0,0.615234375,0.3515625,-0.263671875,0.7246584256270518,0.37309592562705185
881,883,44,0,0,1925,0,40,0,11200,31,0,1,FL-J1,882.0,0.703125,0.3515625,-0.3515625,1.0839729753512368,0.7324104753512368
1122,1124,56,0,0,1923,0,24,0,11200,31,0,1,FL-J1,1123.0,0.703125,0.52734375,-0.17578125,1.2939380802362388,0.7665943302362388
1362,1364,68,0,0,1923,0,20,0,11200,31,0,1,FL-J1,1363.0,0.615234375,0.52734375,-0.087890625,1.669177722467573,1.141833972467573
1602,1604,80,0,0,1909,-150,192,9,11100,31,0,1,FL-J1,1603.0,4.482421875,1.7578125,-2.724609375,1.123860768121986,-0.6339517318780139
1842,1844,92,0,0,1851,-350,296,22,11100,31,0,1,FL-J1,1843.0,10.458984375,6.85546875,-3.603515625,8.133177179675284,1.2777084296752843
2082,2084,104,0,0,1878,600,-316,9,11100,31,0,1,FL-J1,2083.0,-5.888671875,4.482421875,10.37109375,3.0575904414666697,-1.4248314335333303
2322,2324,116,0,0,2015,250,-140,5,11100,31,0,1,FL-J1,2323.0,-6.591796875,-7.55859375,-0.966796875,-2.9881525783521683,4.570441171647832
2562,2564,128,0,0,1966,-200,160,4,11200,31,0,1,FL-J1,2563.0,-0.703125,-3.251953125,-2.548828125,0.5203705123585627,3.7723236373585625
2802,2804,140,0,0,1931,-150,420,65,11000,31,0,1,FL-J1,2803.0,5.185546875,-0.17578125,-5.361328125,4.278763013624205,4.454544263624205
3042,3044,152,0,0,1854,-350,320,24,11100,31,0,1,FL-J1,3043.0,10.72265625,6.591796875,-4.130859375,9.727471791122833,3.1356749161228326
3282,3284,164,0,0,1857,500,-300,7,11100,31,0,1,FL-J1,3283.0,-3.33984375,6.328125,9.66796875,5.297441408340913,-1.0306835916590869
3522,3524,176,0,0,2010,350,-188,8,11000,31,0,1,FL-J1,3523.0,-7.3828125,-7.119140625,0.263671875,-2.5712891796689905,4.547851445331009
3762,3764,188,0,0,1968,-400,232,8,11200,31,0,1,FL-J1,3763.0,0.439453125,-3.427734375,-3.8671875,-0.4512435445605303,2.9764908304394697
4001,4003,200,0,0,1946,0,208,22,11200,31,0,1,FL-J1,4002.0,0.703125,-1.494140625,-2.197265625,-0.44908629969815805,1.0450543253018418
4241,4243,212,0,0,1946,0,192,13,11100,31,0,1,FL-J1,4242.0,0.52734375,-1.494140625,-2.021484375,0.4348701140498282,1.9290107390498283
4481,4483,224,0,0,1946,0,160,9,11100,31,0,1,FL-J1,4482.0,0.087890625,-1.494140625,-1.58203125,0.67461588811174,2.16875651311174
4721,4723,236,0,0,1946,0,144,9,11200,31,0,1,FL-J1,4722.0,0.0,-1.494140625,-1.494140625,0.6647308539829198,2.1588714789829195
181,183,9,1,0,1561,-50,36,1,11300,31,0,2,FL-J2,182.0,45.703125,45.3515625,-0.3515625,44.32450625932798,-1.0270562406720174
421,423,21,1,0,1520,-250,44,1,11300,31,0,2,FL-J2,422.0,49.658203125,48.955078125,-0.703125,47.795989654499444,-1.1590884705005564
661,663,33,1,0,1461,-200,16,0,11300,31,0,2,FL-J2,662.0,54.66796875,54.140625,-0.52734375,53.45345799538358,-0.6871670046164198
901,903,45,1,0,1428,-50,-24,2,11300,31,0,2,FL-J2,902.0,56.77734375,57.041015625,0.263671875,57.03834833997206,-0.00266728502793967
1142,1144,57,1,0,1427,0,-32,2,11300,31,0,2,FL-J2,1143.0,56.77734375,57.12890625,0.3515625,57.34796789216713,0.21906164216712654
1382,1384,69,1,0,1426,0,-40,3,11300,31,0,2,FL-J2,1383.0,56.77734375,57.216796875,0.439453125,57.396225841242924,0.1794289662429236
1622,1624,81,1,0,1411,-100,16,0,11300,31,0,2,FL-J2,1623.0,58.88671875,58.53515625,-0.3515625,58.93755334575745,0.40239709575745053
1862,1864,93,1,0,1381,-200,84,5,11300,31,0,2,FL-J2,1863.0,62.40234375,61.171875,-1.23046875,59.672448456605935,-1.4994265433940654
2102,2104,105,1,0,1409,650,-160,14,11200,31,0,2,FL-J2,2103.0,55.1953125,58.7109375,3.515625,61.64807726115613,2.937139761156132
2342,2344,117,1,0,1478,-100,32,2,11200,31,0,2,FL-J2,2343.0,53.0859375,52.646484375,-0.439453125,53.3622580211146,0.7157736461145987
2582,2584,129,1,0,1444,-150,44,1,11300,31,0,2,FL-J2,2583.0,56.337890625,55.634765625,-0.703125,55.189946784430866,-0.444818840569134
2822,2824,141,1,0,1407,-150,16,1,11200,31,0,2,FL-J2,2823.0,59.23828125,58.88671875,-0.3515625,60.34860471515023,1.4618859651502305
3062,3064,153,1,0,1387,-50,92,7,11200,31,0,2,FL-J2,3063.0,61.875,60.64453125,-1.23046875,60.57518849483352,-0.06934275516648114
3302,3304,165,1,0,1391,500,-132,6,11200,31,0,2,FL-J2,3303.0,57.3046875,60.29296875,2.98828125,62.77660983643651,2.4836410864365135
3542,3544,177,1,0,1481,-150,12,0,11100,31,0,2,FL-J2,3543.0,52.734375,52.3828125,-0.3515625,53.81444019926587,1.4316276992658672
3782,3784,189,1,0,1437,-50,32,2,11300,31,0,2,FL-J2,3783.0,56.6015625,56.25,-0.3515625,54.655234254311615,-1.5947657456883846
4021,4023,201,1,0,1439,50,0,0,11200,31,0,2,FL-J2,4022.0,55.8984375,56.07421875,0.17578125,56.05588586041476,-0.018332889585238377
4261,4263,213,1,0,1479,250,-32,0,11300,31,0,2,FL-J2,4262.0,51.6796875,52.55859375,0.87890625,52.99858477769866,0.4399910276986603
4501,4503,225,1,0,1540,250,-8,0,11300,31,0,2,FL-J2,4502.0,46.7578125,47.197265625,0.439453125,47.512104163664624,0.31483853866462397
4741,4743,237,1,0,1569,50,24,1,11200,31,0,2,FL-J2,4742.0,44.82421875,44.6484375,-0.17578125,44.286723013621625,-0.361714486378375
201,203,10,2,0,3000,0,88,6,11300,34,0,3,FL-J3,202.0,90.087890625,90.966796875,0.87890625,91.65894165939224,0.6921447843922408
441,443,22,2,0,3000,0,48,2,11300,34,0,3,FL-J3,442.0,90.439453125,90.966796875,0.52734375,91.76688980102598,0.8000929260259824
681,683,34,2,0,3001,0,56,3,11400,34,0,3,FL-J3,682.0,90.52734375,91.0546875,0.52734375,91.92560084395592,0.8709133439559196
921,923,46,2,0,3001,0,56,3,11400,34,0,3,FL-J3,922.0,90.52734375,91.0546875,0.52734375,91.85812603234618,0.8034385323461777
1162,1164,58,2,0,3001,0,56,3,11400,34,0,3,FL-J3,1163.0,90.52734375,91.0546875,0.52734375,91.85934132816658,0.8046538281665789
1402,1404,70,2,0,3001,0,56,3,11400,34,0,3,FL-J3,1403.0,90.52734375,91.0546875,0.52734375,91.85834286201518,0.8036553620151778
1642,1644,82,2,0,3002,0,176,23,11400,34,0,3,FL-J3,1643.0,89.296875,91.142578125,1.845703125,92.49009664559317,1.3475185205931695
1882,1884,94,2,0,2989,0,72,4,11400,34,0,3,FL-J3,1883.0,90.87890625,90.0,-0.87890625,89.79949381178064,-0.2005061882193644
2122,2124,106,2,0,3063,250,-52,1,11300,34,0,3,FL-J3,2123.0,95.09765625,96.50390625,1.40625,96.92577705642304,0.4218708064230441
2362,2364,118,2,0,3022,-150,148,8,11300,34,0,3,FL-J3,2363.0,91.23046875,92.900390625,1.669921875,93.0435897126684,0.14319908766840683
2602,2604,130,2,0,3019,50,212,27,11400,34,0,3,FL-J3,2603.0,90.439453125,92.63671875,2.197265625,92.85416192223529,0.21744317223529208
2842,2844,142,2,0,2998,-150,148,8,11300,34,0,3,FL-J3,2843.0,89.208984375,90.791015625,1.58203125,92.12825688855898,1.3372412635589797
3082,3084,154,2,0,2985,-100,132,19,11300,34,0,3,FL-J3,3083.0,89.208984375,89.6484375,0.439453125,88.7164172273987,-0.9320202726013065
3322,3324,166,2,0,3054,500,-116,1,11300,34,0,3,FL-J3,3323.0,96.416015625,95.712890625,-0.703125,96.70315823359581,0.9902676085958149
3562,3564,178,2,0,3034,-200,228,31,11200,34,0,3,FL-J3,3563.0,91.318359375,93.955078125,2.63671875,92.92601828625689,-1.029059838743109
3802,3804,190,2,0,3007,0,136,12,11400,34,0,3,FL-J3,3803.0,90.17578125,91.58203125,1.40625,92.59021711337195,1.0081858633719492
4041,4043,202,2,0,3006,0,120,7,11300,34,0,3,FL-J3,4042.0,90.263671875,91.494140625,1.23046875,92.37279054327087,0.8786499182708667
4281,4283,214,2,0,3006,0,144,11,11300,34,0,3,FL-J3,4282.0,90.0,91.494140625,1.494140625,91.87374405839883,0.3796034333988274
4521,4523,226,2,0,3005,0,164,16,11300,34,0,3,FL-J3,4522.0,89.736328125,91.40625,1.669921875,91.57775201260047,0.17150201260047027
4761,4763,238,2,0,3003,0,160,18,11300,34,0,3,FL-J3,4762.0,89.560546875,91.23046875,1.669921875,91.26546126206985,0.03499251206984866
221,223,11,3,0,2091,0,-20,0,11300,33,0,4,FR-J1,222.0,0.087890625,0.17578125,0.087890625,0.20307534020810655,0.027294090208106553
461,463,23,3,0,2091,0,0,0,11300,33,0,4,FR-J1,462.0,0.263671875,0.17578125,-0.087890625,0.45267230324625196,0.27689105324625196
701,703,35,3,0,2092,0,-40,1,11300,33,0,4,FR-J1,702.0,0.615234375,0.263671875,-0.3515625,0.7939063697754504,0.5302344947754504
941,943,47,3,0,2094,0,-32,1,11300,33,0,4,FR-J1,942.0,0.703125,0.439453125,-0.263671875,1.1334247071244425,0.6939715821244425
1182,1184,59,3,0,2094,0,20,0,11300,33,0,4,FR-J1,1183.0,0.263671875,0.439453125,0.17578125,1.310679362596719,0.871226237596719
1422,1424,71,3,0,2089,50,-88,2,11300,33,0,4,FR-J1,1423.0,2.021484375,0.0,-2.021484375,0.524996651900621,0.524996651900621
1662,1664,83,3,0,2156,200,-172,10,11300,33,0,4,FR-J1,1663.0,7.470703125,5.888671875,-1.58203125,6.974578135599099,1.0859062605990992
1902,1904,95,3,0,2136,-200,0,0,11300,33,0,4,FR-J1,1903.0,3.33984375,4.130859375,0.791015625,4.96369278939328,0.8328334143932796
2142,2144,107,3,0,2079,-250,84,1,11300,33,0,4,FR-J1,2143.0,-2.63671875,-0.87890625,1.7578125,5.090192782606858,5.969099032606858
2382,2384,119,3,0,2035,-200,268,22,11200,33,0,4,FR-J1,2383.0,-8.4375,-4.74609375,3.69140625,1.1074908077158507,5.853584557715851
2622,2624,131,3,0,2013,300,-216,4,11300,33,0,4,FR-J1,2623.0,0.791015625,-6.6796875,-7.470703125,-5.694553452310479,0.9851340476895212
2862,2864,143,3,0,2157,650,-352,32,11200,33,0,4,FR-J1,2863.0,9.931640625,5.9765625,-3.955078125,9.411938262397557,3.435375762397557
3102,3104,155,3,0,2157,-300,76,0,11300,33,0,4,FR-J1,3103.0,4.130859375,5.9765625,1.845703125,7.295418108148402,1.318855608148402
3342,3344,167,3,0,2097,-300,144,4,11200,33,0,4,FR-J1,3343.0,-1.7578125,0.703125,2.4609375,4.661441425551879,3.958316425551879
3582,3584,179,3,0,2033,-200,160,6,11300,33,0,4,FR-J1,3583.0,-6.328125,-4.921875,1.40625,1.4583273573929971,6.380202357392998
3821,3823,191,3,0,2060,350,-224,11,11300,33,0,4,FR-J1,3822.0,0.703125,-2.548828125,-3.251953125,-2.507401984258012,0.041426140741987805
4061,4063,203,3,0,2080,50,-140,7,11300,33,0,4,FR-J1,4062.0,0.703125,-0.791015625,-1.494140625,-0.1665270950164107,0.6244885299835893
4301,4303,215,3,0,2080,0,-120,6,11300,33,0,4,FR-J1,4302.0,0.439453125,-0.791015625,-1.23046875,0.4469661163530111,1.237981741353011
4541,4543,227,3,0,2081,0,-80,3,11300,33,0,4,FR-J1,4542.0,0.087890625,-0.703125,-0.791015625,0.6329042798852753,1.3360292798852753
4781,4783,239,3,0,2081,0,-72,3,11300,33,0,4,FR-J1,4782.0,0.0,-0.703125,-0.703125,0.6076557213578522,1.3107807213578522
1,3,0,4,0,2435,0,8,0,11300,30,0,5,FR-J2,2.0,45.087890625,45.087890625,0.0,45.09177967161371,0.003889046613707592
241,243,12,4,0,2447,100,-24,0,11200,30,0,5,FR-J2,242.0,46.58203125,46.142578125,-0.439453125,45.200136290317474,-0.9424418346825263
481,483,24,4,0,2495,250,-40,1,11300,30,0,5,FR-J2,482.0,51.328125,50.361328125,-0.966796875,49.35049216037625,-1.0108359646237517
721,723,36,4,0,2553,200,-16,0,11300,30,0,5,FR-J2,722.0,55.986328125,55.458984375,-0.52734375,55.09641843967094,-0.3625659353290587
961,963,48,4,0,2577,50,16,0,11300,30,0,5,FR-J2,962.0,57.392578125,57.568359375,0.17578125,57.81555208137457,0.24719270637456958
1202,1204,60,4,0,2577,0,40,2,11300,30,0,5,FR-J2,1203.0,57.12890625,57.568359375,0.439453125,57.83823665507685,0.2698772800768481
1442,1444,72,4,0,2593,200,-40,1,11300,30,0,5,FR-J2,1443.0,59.94140625,58.974609375,-0.966796875,58.397772975949614,-0.5768363990503858
1682,1684,84,4,0,2612,0,8,0,11300,30,0,5,FR-J2,1683.0,60.556640625,60.64453125,0.087890625,60.512293524391644,-0.13223772560835556
1922,1924,96,4,0,2596,-100,60,2,11300,30,0,5,FR-J2,1923.0,58.53515625,59.23828125,0.703125,61.22568548518583,1.9874042351858279
2162,2164,108,4,0,2573,-100,148,27,11200,30,0,5,FR-J2,2163.0,55.37109375,57.216796875,1.845703125,57.24499891416914,0.02820203916913755
2402,2404,120,4,0,2540,-100,176,43,11200,30,0,5,FR-J2,2403.0,52.20703125,54.31640625,2.109375,54.955859302041084,0.6394530520410839
2642,2644,132,4,0,2601,700,-124,3,11300,30,0,5,FR-J2,2643.0,62.2265625,59.677734375,-2.548828125,56.48807408297873,-3.189660292021273
2882,2884,144,4,0,2621,-150,0,0,11200,30,0,5,FR-J2,2883.0,61.259765625,61.435546875,0.17578125,61.89483562113107,0.4592887461310724
3122,3124,156,4,0,2600,-150,32,1,11200,30,0,5,FR-J2,3123.0,59.0625,59.58984375,0.52734375,61.450304182514834,1.8604604325148344
3362,3364,168,4,0,2588,-50,224,80,11200,30,0,5,FR-J2,3363.0,55.8984375,58.53515625,2.63671875,58.14998303270357,-0.3851732172964333
3602,3604,180,4,0,2537,-50,24,0,11200,30,0,5,FR-J2,3603.0,53.96484375,54.052734375,0.087890625,55.352494318204776,1.2997599432047764
3841,3843,192,4,0,2577,50,16,0,11200,30,0,5,FR-J2,3842.0,57.392578125,57.568359375,0.17578125,56.01505887910849,-1.5533004958915129
4081,4083,204,4,0,2566,-100,60,2,11300,30,0,5,FR-J2,4082.0,55.810546875,56.6015625,0.791015625,56.02166772526908,-0.5798947747309171
