begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,imu_gap_ms,imu_time_ms,roll_deg,pitch_deg
0,2,0,0,0,1929,0,0,0,11700,34,0,1,FL-J1,1.0,-0.0,-0.0,-0.0,4.0,5,-2.5,-0.4
2,4,0,1,0,1555,0,8,1,11800,32,0,2,FL-J2,3.0,45.966796875,45.87890625,-0.087890625,2.0,5,-2.5,-0.4
22,24,1,2,0,3002,0,112,11,11900,35,0,3,FL-J3,23.0,90.0,91.142578125,1.142578125,4.0,27,-2.5,-0.4
24,26,1,3,0,2082,0,-64,2,11900,35,0,4,FR-J1,25.0,-0.0,0.615234375,0.615234375,2.0,27,-2.5,-0.4
42,44,2,4,0,2441,0,-32,2,11900,32,0,5,FR-J2,43.0,46.142578125,45.615234375,-0.52734375,4.0,47,-2.5,-0.4
44,46,2,5,0,1037,0,-160,11,12000,34,0,6,FR-J3,45.0,90.17578125,91.7578125,1.58203125,2.0,47,-2.5,-0.4
62,64,3,6,0,2095,0,-80,3,11800,34,0,7,RL-J1,63.0,0.0,0.791015625,0.791015625,4.0,67,-2.5,-0.4
64,66,3,7,0,1421,0,40,2,11900,31,0,8,RL-J2,65.0,46.40625,45.791015625,-0.615234375,2.0,67,-2.5,-0.4
81,83,4,8,0,3003,0,88,4,11800,37,0,9,RL-J3,82.0,91.318359375,91.318359375,0.0,4.0,86,-2.5,-0.4
83,85,4,9,0,1954,0,32,0,11900,35,0,10,RR-J1,84.0,0.0,0.263671875,0.263671875,2.0,86,-2.5,-0.4
101,103,5,10,0,2773,0,-40,2,11700,33,0,11,RR-J2,102.0,45.966796875,45.52734375,-0.439453125,4.0,106,-2.5,-0.4
103,105,5,11,0,1000,0,-184,12,11800,35,0,12,RR-J3,104.0,90.0,91.93359375,1.93359375,2.0,106,-2.5,-0.4
