time_ms,roll_deg,pitch_deg,phase,rate,valid,fault
-9,-2.5,-0.4,0.5,0.0,1,0
5,-2.5,-0.4,0.508,1.0,1,0
27,-2.5,-0.4,0.517,1.0,1,0
47,-2.5,-0.4,0.525,1.0,1,0
67,-2.5,-0.4,0.534,1.0,1,0
86,-2.5,-0.4,0.542,1.0,1,0
106,-2.5,-0.4,0.551,1.0,1,0
127,-2.5,-0.4,0.56,1.0,1,0
147,-2.5,-0.4,0.569,1.0,1,0
167,-2.5,-0.4,0.578,1.0,1,0
187,-2.5,-0.4,0.587,1.0,1,0
207,-2.4,-0.4,0.596,1.0,1,0
226,-2.4,-0.4,0.605,1.0,1,0
246,-2.4,-0.4,0.614,1.0,1,0
266,-2.4,-0.4,0.623,1.0,1,0
287,-2.4,-0.4,0.632,1.0,1,0
307,-2.3,-0.4,0.641,1.0,1,0
327,-2.0,-0.4,0.651,1.0,1,0
347,-1.9,-0.3,0.66,1.0,1,0
367,-1.7,-0.3,0.669,1.0,1,0
387,-1.8,-0.4,0.678,1.0,1,0
407,-2.1,-0.4,0.687,1.0,1,0
427,-2.4,-0.5,0.696,1.0,1,0
447,-2.6,-0.7,0.706,1.0,1,0
467,-2.7,-0.7,0.715,1.0,1,0
487,-2.9,-0.8,0.724,1.0,1,0
507,-3.1,-0.9,0.733,1.0,1,0
527,-3.4,-1.1,0.743,1.0,1,0
547,-3.5,-1.2,0.752,1.0,1,0
567,-3.8,-1.3,0.761,1.0,1,0
587,-3.9,-1.4,0.771,1.0,1,0
607,-4.0,-1.4,0.78,1.0,1,0
627,-4.1,-1.4,0.789,1.0,1,0
647,-4.2,-1.4,0.799,1.0,1,0
667,-4.2,-1.4,0.808,1.0,1,0
687,-4.3,-1.4,0.817,1.0,1,0
707,-4.3,-1.3,0.827,1.0,1,0
727,-4.2,-1.2,0.836,1.0,1,0
747,-4.1,-1.1,0.845,1.0,1,0
767,-3.9,-1.0,0.855,1.0,1,0
787,-3.7,-0.9,0.864,1.0,1,0
806,-3.6,-0.9,0.873,1.0,1,0
826,-3.8,-0.9,0.883,1.0,1,0
846,-3.6,-0.8,0.892,1.0,1,0
866,-3.3,-0.5,0.901,1.0,1,0
886,-3.0,-0.4,0.911,1.0,1,0
906,-3.2,-0.4,0.92,1.0,1,0
926,-3.5,-0.6,0.929,1.0,1,0
947,-3.4,-0.5,0.939,1.0,1,0
967,-2.7,-0.3,0.948,1.0,1,0
987,-2.0,0.2,0.957,1.0,1,0
1007,-1.6,0.4,0.967,1.0,1,0
1026,-1.9,0.3,0.976,1.0,1,0
1046,-2.1,0.2,0.986,0.991,1,0
1066,-2.1,0.1,0.995,0.991,1,0
1086,-1.9,0.2,0.005,0.991,1,0
1106,-1.9,0.4,0.014,0.991,1,0
1126,-1.9,0.3,0.024,0.991,1,0
1146,-2.1,0.1,0.033,0.991,1,0
1167,-2.0,0.1,0.043,1.0,1,0
1187,-2.1,0.1,0.052,1.0,1,0
1207,-2.2,0.0,0.062,1.0,1,0
1227,-2.3,-0.1,0.071,1.0,1,0
1248,-2.4,-0.1,0.081,1.0,1,0
1268,-2.4,-0.1,0.09,1.0,1,0
1288,-2.5,-0.3,0.1,1.0,1,0
1308,-2.7,-0.3,0.11,1.0,1,0
1327,-2.8,-0.3,0.119,1.0,1,0
1347,-2.8,-0.3,0.129,1.0,1,0
1367,-2.7,-0.4,0.138,1.0,1,0
1387,-2.4,-0.4,0.148,1.0,1,0
1408,-1.9,-0.4,0.158,1.0,1,0
1428,-1.3,-0.5,0.167,1.0,1,0
1448,-0.5,-0.7,0.177,1.0,1,0
1468,0.1,-0.7,0.187,1.0,1,0
1488,0.9,-0.7,0.196,1.0,1,0
1508,1.6,-0.6,0.206,1.0,1,0
1528,2.3,-0.5,0.216,1.0,1,0
1547,2.9,-0.4,0.225,1.0,1,0
1567,3.6,-0.4,0.235,1.0,1,0
1587,4.1,-0.3,0.245,1.0,1,0
1607,4.6,-0.1,0.255,1.0,1,0
1626,4.8,0.0,0.264,1.0,1,0
1647,5.0,0.1,0.274,1.0,1,0
1666,5.0,0.1,0.284,1.0,1,0
1686,5.0,0.1,0.293,1.0,1,0
1706,5.0,0.1,0.303,1.0,1,0
1726,5.0,-0.1,0.313,1.0,1,0
1746,5.0,-0.1,0.323,1.0,1,0
1766,4.8,-0.2,0.332,1.0,1,0
1786,4.7,-0.3,0.342,1.0,1,0
1806,4.6,-0.4,0.352,1.0,1,0
1826,4.6,-0.4,0.362,1.0,1,0
1846,4.6,-0.4,0.371,1.0,1,0
1866,4.5,-0.5,0.381,1.0,1,0
1886,4.3,-0.5,0.391,1.0,1,0
1906,4.1,-0.5,0.4,1.0,1,0
1926,3.9,-0.5,0.41,1.0,1,0
1946,3.6,-0.5,0.42,1.0,1,0
1966,3.5,-0.4,0.429,1.0,1,0
1987,3.0,-0.4,0.439,1.0,1,0
2007,2.8,-0.4,0.449,1.0,1,0
2027,2.8,-0.5,0.458,1.0,1,0
2047,2.6,-0.5,0.468,1.0,1,0
2067,2.2,-0.4,0.477,1.0,1,0
2087,1.6,-0.2,0.487,1.0,1,0
2107,1.1,-0.1,0.497,1.0,1,0
2127,0.5,0.1,0.506,1.0,1,0
2147,-0.3,0.4,0.516,1.0,1,0
2167,-0.7,0.5,0.525,1.0,1,0
2187,-1.1,0.4,0.535,1.0,1,0
2236,-2.5,0.2,0.544,1.0,1,0
2250,-3.0,0.2,0.565,1.0,1,0
2272,-3.4,0.1,0.575,1.0,1,0
2292,-3.6,0.1,0.584,1.0,1,0
2312,-3.8,0.1,0.594,1.0,1,0
2332,-4.1,0.0,0.603,1.0,1,0
2352,-4.5,-0.1,0.613,1.0,1,0
2371,-4.6,-0.1,0.622,1.0,1,0
2391,-4.9,-0.1,0.632,1.0,1,0
2411,-5.0,-0.1,0.641,1.0,1,0
2432,-5.1,-0.3,0.651,1.0,1,0
2452,-5.1,-0.4,0.66,1.0,1,0
2472,-5.0,-0.4,0.669,1.0,1,0
2492,-4.9,-0.4,0.679,1.0,1,0
2512,-4.8,-0.4,0.688,1.0,1,0
2526,-4.6,-0.4,0.698,1.0,1,0
2545,-4.3,-0.4,0.707,1.0,1,0
2565,-4.1,-0.3,0.716,1.0,1,0
2585,-4.0,-0.3,0.724,1.0,1,0
2605,-3.9,-0.3,0.733,1.0,1,0
2625,-3.9,-0.3,0.741,1.0,1,0
2645,-3.9,-0.3,0.75,1.0,1,0
2665,-4.1,-0.4,0.758,1.0,1,0
2687,-4.2,-0.4,0.766,1.0,1,0
2706,-4.3,-0.4,0.774,1.0,1,0
