begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,sim_actual_deg,sim_minus_hardware_deg
0,2,0,0,0,1929,0,0,0,11700,34,0,1,FL-J1,1.0,-0.0,-0.0,-0.0,0.0001224422764884748,0.0001224422764884748
122,124,6,0,0,1929,0,0,0,11700,34,0,1,FL-J1,123.0,-0.0,-0.0,-0.0,0.1341616475048565,0.1341616475048565
241,243,12,0,0,1931,0,24,0,11700,34,0,1,FL-J1,242.0,-0.0,0.17578125,0.17578125,0.751935948641423,0.576154698641423
363,365,18,0,0,1933,0,40,0,11700,34,0,1,FL-J1,364.0,-0.0,0.3515625,0.3515625,1.0606254938047057,0.7090629938047057
483,485,24,0,0,1933,-50,36,0,11700,34,0,1,FL-J1,484.0,-0.0,0.3515625,0.3515625,1.1183372693514917,0.7667747693514917
603,605,30,0,0,1930,-50,-20,0,11700,34,0,1,FL-J1,604.0,-0.0,0.087890625,0.087890625,1.0711566905234737,0.9832660655234737
723,725,36,0,0,1930,0,0,0,11700,34,0,1,FL-J1,724.0,-0.0,0.087890625,0.087890625,0.6522791999588984,0.5643885749588984
843,845,42,0,0,1930,0,0,0,11700,34,0,1,FL-J1,844.0,-0.0,0.087890625,0.087890625,0.0786941023337129,-0.009196522666287094
964,966,48,0,0,1934,0,48,1,11700,34,0,1,FL-J1,965.0,-0.0,0.439453125,0.439453125,0.8838014460830137,0.4443483210830137
1083,1085,54,0,0,1935,0,56,1,11700,34,0,1,FL-J1,1084.0,-0.0,0.52734375,0.52734375,0.6873338074697375,0.1599900574697375
1204,1206,60,0,0,1934,0,52,1,11700,34,0,1,FL-J1,1205.0,-0.087890625,0.439453125,0.52734375,0.9737323089379274,0.5342791839379274
1323,1325,66,0,0,1926,-100,40,0,11700,34,0,1,FL-J1,1324.0,-0.703125,-0.263671875,0.439453125,-0.2598766891087292,0.0037951858912708136
1444,1446,72,0,0,1915,-100,48,1,11700,34,0,1,FL-J1,1445.0,-1.93359375,-1.23046875,0.703125,-1.113060799687644,0.11740795031235596
1563,1565,78,0,0,1898,-150,56,0,11700,34,0,1,FL-J1,1564.0,-3.69140625,-2.724609375,0.966796875,-2.549832032616565,0.17477734238343512
1683,1685,84,0,0,1875,-150,48,0,11700,34,0,1,FL-J1,1684.0,-5.625,-4.74609375,0.87890625,-4.337825566721392,0.4082681832786079
1803,1805,90,0,0,1855,-150,56,0,11700,34,0,1,FL-J1,1804.0,-7.294921875,-6.50390625,0.791015625,-6.192616296273771,0.31128995372622903
1923,1925,96,0,0,1838,-100,36,0,11600,34,0,1,FL-J1,1924.0,-8.525390625,-7.998046875,0.52734375,-7.830175018639753,0.1678718563602466
2044,2046,102,0,0,1829,-50,-20,0,11700,34,0,1,FL-J1,2045.0,-8.876953125,-8.7890625,0.087890625,-8.816253429742419,-0.0271909297424191
2163,2165,108,0,0,1829,0,24,0,11700,34,0,1,FL-J1,2164.0,-8.96484375,-8.7890625,0.17578125,-9.11571090749014,-0.3266484074901399
2309,2311,114,0,0,1826,-50,0,0,11700,34,0,1,FL-J1,2310.0,-8.96484375,-9.052734375,-0.087890625,-9.45304872303344,-0.4003143480334401
2428,2430,120,0,0,1835,50,80,2,11700,34,0,1,FL-J1,2429.0,-8.96484375,-8.26171875,0.703125,-8.63607997152254,-0.37436122152253937
2542,2544,126,0,0,1836,0,80,2,11700,34,0,1,FL-J1,2543.0,-8.96484375,-8.173828125,0.791015625,-8.48832550286784,-0.3144973778678395
2682,2684,133,0,0,1837,0,88,4,11700,34,0,1,FL-J1,2683.0,-8.96484375,-8.0859375,0.87890625,-9.14910965271012,-1.0631721527101199
2803,2805,139,0,0,1835,0,72,2,11700,34,0,1,FL-J1,2804.0,-8.96484375,-8.26171875,0.703125,-9.568707145781314,-1.306988395781314
2921,2923,145,0,0,1826,-50,0,0,11700,34,0,1,FL-J1,2922.0,-8.96484375,-9.052734375,-0.087890625,-10.03816303636549,-0.9854286613654892
3041,3043,151,0,0,1828,0,0,0,11700,34,0,1,FL-J1,3042.0,-8.96484375,-8.876953125,0.087890625,-8.872005985759817,0.004947139240183418
3160,3162,157,0,0,1828,-100,-24,0,11700,34,0,1,FL-J1,3161.0,-8.96484375,-8.876953125,0.087890625,-8.12256231893803,0.75439080606197
3280,3282,163,0,0,1826,0,0,0,11700,34,0,1,FL-J1,3281.0,-8.96484375,-9.052734375,-0.087890625,-8.698112840799975,0.3546215342000245
3403,3405,169,0,0,1825,-50,-28,1,11700,34,0,1,FL-J1,3404.0,-8.96484375,-9.140625,-0.17578125,-8.821700703979307,0.3189242960206933
3521,3523,175,0,0,1825,0,-64,1,11700,34,0,1,FL-J1,3522.0,-6.50390625,-9.140625,-2.63671875,-9.081532334505862,0.05909266549413772
3640,3642,181,0,0,1858,500,-256,9,11600,34,0,1,FL-J1,3641.0,-0.0,-6.240234375,-6.240234375,-6.974528107067056,-0.734293732067056
3763,3765,187,0,0,1917,300,-88,1,11700,34,0,1,FL-J1,3764.0,-0.0,-1.0546875,-1.0546875,-1.2560263849503097,-0.20133888495030972
3880,3882,193,0,0,1926,100,-20,1,11700,34,0,1,FL-J1,3881.0,-0.0,-0.263671875,-0.263671875,-0.2595856789194523,0.0040861960805477215
4000,4002,199,0,0,1929,0,0,0,11700,34,0,1,FL-J1,4001.0,-0.0,-0.0,-0.0,-0.176702243926489,-0.176702243926489
4120,4122,205,0,0,1926,0,-36,0,11800,33,0,1,FL-J1,4121.0,-0.0,-0.263671875,-0.263671875,0.16060660561423745,0.42427848061423745
