begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg,sim_actual_deg,sim_minus_hardware_deg
62,64,3,0,0,1931,0,24,0,11700,34,0,1,FL-J1,63.0,-0.0,0.17578125,0.17578125,-0.7540742453416087,-0.9298554953416087
182,184,9,0,0,1931,0,24,0,11700,34,0,1,FL-J1,183.0,-0.0,0.17578125,0.17578125,0.2024666584546826,0.02668540845468259
301,303,15,0,0,1934,0,48,1,11700,34,0,1,FL-J1,302.0,-0.0,0.439453125,0.439453125,0.8614687215956681,0.4220155965956681
421,423,21,0,0,1937,50,76,3,11700,34,0,1,FL-J1,422.0,-0.0,0.703125,0.703125,1.1171313477968987,0.4140063477968987
541,543,27,0,0,1937,-50,72,3,11700,34,0,1,FL-J1,542.0,-0.0,0.703125,0.703125,0.8796480010429845,0.17652300104298446
662,664,33,0,0,1932,-50,28,0,11600,34,0,1,FL-J1,663.0,-0.0,0.263671875,0.263671875,-0.12779857832426447,-0.39147045332426444
781,783,39,0,0,1929,0,0,0,11600,34,0,1,FL-J1,782.0,-0.0,-0.0,-0.0,0.5268746063807722,0.5268746063807722
901,903,45,0,0,1935,0,60,1,11700,34,0,1,FL-J1,902.0,-0.0,0.52734375,0.52734375,1.0563510509824465,0.5290073009824465
1021,1023,51,0,0,1938,0,80,3,11700,34,0,1,FL-J1,1022.0,-0.0,0.791015625,0.791015625,0.8813891527707328,0.09037352777073282
1141,1143,57,0,0,1938,0,80,3,11700,34,0,1,FL-J1,1142.0,-0.0,0.791015625,0.791015625,1.2808461391800905,0.4898305141800905
1262,1264,63,0,0,1934,-100,84,2,11700,34,0,1,FL-J1,1263.0,-0.439453125,0.439453125,0.87890625,0.5571341063240973,0.11768098132409732
1382,1384,69,0,0,1920,0,44,0,11700,34,0,1,FL-J1,1383.0,-1.40625,-0.791015625,0.615234375,-0.7554522210220431,0.035563403977956876
1502,1504,75,0,0,1905,-150,48,0,11700,34,0,1,FL-J1,1503.0,-2.98828125,-2.109375,0.87890625,-1.9031348222603606,0.20624017773963943
1621,1623,81,0,0,1885,-150,52,0,11600,34,0,1,FL-J1,1622.0,-4.921875,-3.8671875,1.0546875,-3.591249768131748,0.2759377318682521
1741,1743,87,0,0,1862,-150,52,0,11600,34,0,1,FL-J1,1742.0,-6.767578125,-5.888671875,0.87890625,-5.473202065177991,0.4154698098220093
1861,1863,93,0,0,1844,-150,48,0,11600,34,0,1,FL-J1,1862.0,-8.0859375,-7.470703125,0.615234375,-7.260436546863754,0.21026657813624627
1982,1984,99,0,0,1831,-50,20,0,11600,34,0,1,FL-J1,1983.0,-8.7890625,-8.61328125,0.17578125,-8.544801653277618,0.06847959672238169
