# t,bfl,bfr,brl,brr,wfl,wfr,wrl,wrr,roll,pitch
5.000000000000000000e+00,8.019713258931548960e-02,7.950800628628296174e-02,7.946152885393936716e-02,8.018445245500128993e-02,-2.014868841451085413e-03,-1.890965819311470758e-03,-2.436150540115998575e-03,-9.135582620533010123e-04,-2.494595090617181821e-01,4.579707102410595504e-02
5.020000000000000462e+00,7.959115437547491234e-02,7.942227156764629370e-02,7.927398460608195419e-02,7.994109553892658759e-02,-1.917015322661166227e-03,-1.813728616950640443e-03,-2.133383927852984530e-03,-1.191881446597015115e-03,-8.575564607128489947e-02,1.540146001463531082e-02
5.040000000000000036e+00,7.908337799116910150e-02,7.937076931637034038e-02,7.915592225964841744e-02,7.978086286472517441e-02,-1.805796057048603825e-03,-1.758336287630439532e-03,-1.897613045137316878e-03,-1.488284292563670647e-03,6.873357155550026409e-02,-2.146411362559123501e-02
5.060000000000000497e+00,7.870074539403976166e-02,7.934490926541865052e-02,7.907572315115846129e-02,7.964046859821896640e-02,-1.711914650050484071e-03,-1.719400253147401747e-03,-1.725665991192115722e-03,-1.766583030036229102e-03,1.924773584369560975e-01,-5.233113034523628054e-02
5.080000000000000071e+00,7.842928146110644816e-02,7.930733521025434829e-02,7.903744282200189653e-02,7.950138923607594221e-02,-1.648572860886845376e-03,-1.686127087542579894e-03,-1.604605073777652657e-03,-1.994898507841597057e-03,2.717373931752183891e-01,-7.646477191263095774e-02
5.100000000000000533e+00,7.826323538705695637e-02,7.924952287902761738e-02,7.904222551229511673e-02,7.944749686664792643e-02,-1.598472341704341992e-03,-1.660162334730302253e-03,-1.559454132424375333e-03,-2.128096681172763488e-03,3.108487441168220067e-01,-1.008423658862403760e-01
5.120000000000000107e+00,7.820344328984450699e-02,7.919415350079217486e-02,7.904910220300663537e-02,7.941835129208810184e-02,-1.573804708757647886e-03,-1.643205277913659113e-03,-1.568341482831706046e-03,-2.177223876316462803e-03,3.137607555476130128e-01,-1.147802646232802815e-01
5.139999999999999680e+00,7.821859872423841953e-02,7.917758441551064896e-02,7.909465510283704426e-02,7.939698248282868465e-02,-1.588915080370435773e-03,-1.612452980993345913e-03,-1.586354848491434988e-03,-2.178804067766257346e-03,2.892242771617618002e-01,-1.191688354920633075e-01
5.160000000000000142e+00,7.832088400023398678e-02,7.929058997091541217e-02,7.924552136745982578e-02,7.940507182428507837e-02,-1.658592139308075891e-03,-1.540893247449385411e-03,-1.568282131101866178e-03,-2.174330991105651034e-03,2.492987006685681017e-01,-1.137344837729232921e-01
5.179999999999999716e+00,7.848058123397864960e-02,7.948486242915395183e-02,7.944518374364839541e-02,7.943182519063007874e-02,-1.760803737722044932e-03,-1.459493867671957795e-03,-1.539799578064465768e-03,-2.174812093412002018e-03,2.040578297746969416e-01,-1.010563547946890239e-01
5.200000000000000178e+00,7.869035564223333945e-02,7.982848633121833459e-02,7.978732113573833162e-02,7.953121306074141528e-02,-1.909013841207365253e-03,-1.340863568319698024e-03,-1.451983737182568901e-03,-2.203991978624832843e-03,1.638994564966618495e-01,-8.651705439801067599e-02
5.219999999999999751e+00,7.892328755901767412e-02,8.026424535910098301e-02,8.021766492754137112e-02,7.969100405518587948e-02,-2.077471743022037132e-03,-1.197728444252893487e-03,-1.351996111324502842e-03,-2.271435361819191395e-03,1.309360893784259627e-01,-7.687298824574663458e-02
5.240000000000000213e+00,7.920466212456629684e-02,8.082316552006371668e-02,8.075010408783422911e-02,7.993119809965505695e-02,-2.256640946072689669e-03,-1.029267624778670148e-03,-1.228516970601951919e-03,-2.373091566690414128e-03,1.101449868740171784e-01,-6.924708951423738656e-02
5.259999999999999787e+00,7.948447720529559779e-02,8.144771445161354262e-02,8.140300161843073978e-02,8.025985272988880870e-02,-2.441966159053902269e-03,-8.491657069681704528e-04,-1.079492480426293838e-03,-2.523146780549503920e-03,1.027773793171578437e-01,-7.467546619167887700e-02
5.280000000000000249e+00,7.977325479422604781e-02,8.215276200938129159e-02,8.205588284732252824e-02,8.059869197200696112e-02,-2.626214999304231357e-03,-6.341483214479179398e-04,-9.327899788256141522e-04,-2.703943248613692452e-03,1.081031443355367494e-01,-7.878438239608891169e-02
