# time,phase,fl_z_mm,fr_z_mm,rl_z_mm,rr_z_mm,roll,pitch,x
0.000000000000000000e+00,0.000000000000000000e+00,-6.782857459344676654e-01,-6.783093206858964441e-01,-6.714986593946287163e-01,-6.715260336991081269e-01,1.110637415322897586e-04,5.824402132987083376e-03,-5.602611355560506591e-05
2.000000000000000042e-02,0.000000000000000000e+00,-2.016084145937561800e+00,-2.016802956989513618e+00,-1.821701095339502086e+00,-1.822529417500086346e+00,1.078317056369489449e-03,6.820581800323480270e-02,-1.033114720486947788e-03
4.000000000000000083e-02,0.000000000000000000e+00,-2.332974781835930767e+00,-2.334783349577387757e+00,-2.073282458032409625e+00,-2.075193659554382730e+00,1.743723081784019852e-03,6.475301733457410058e-02,-2.122257171443214883e-03
5.999999999999999778e-02,0.000000000000000000e+00,-2.188763120275539542e+00,-2.191704965629093227e+00,-2.084781779152299119e+00,-2.087597335731134152e+00,2.223945534319757018e-03,1.567121635033532148e-02,-2.909425514122071510e-03
8.000000000000000167e-02,0.000000000000000000e+00,-1.939940636057430057e+00,-1.943838255191933317e+00,-2.051456797756222361e+00,-2.054986153145324401e+00,2.595178413731019131e-03,-3.850216813134238469e-02,-3.373963240112430595e-03
1.000000000000000056e-01,0.000000000000000000e+00,-1.745166653654005362e+00,-1.749750140356023165e+00,-2.020130674576937846e+00,-2.024168516132615725e+00,2.870029681812325852e-03,-7.655131525296914041e-02,-3.576985296213238373e-03
1.199999999999999956e-01,0.000000000000000000e+00,-1.642363059027471373e+00,-1.647332318575223109e+00,-1.987386839526553040e+00,-1.991748936470985498e+00,3.042682519429271409e-03,-9.142232915151801698e-02,-3.620018685978412549e-03
1.400000000000000133e-01,0.000000000000000000e+00,-1.609979623824302264e+00,-1.615083763329062894e+00,-1.947673972358988870e+00,-1.952199862214256454e+00,3.111860443029560667e-03,-8.804597902322772174e-02,-3.576130439481464522e-03
1.600000000000000033e-01,0.000000000000000000e+00,-1.615675363458326297e+00,-1.620714533605870145e+00,-1.906544308531241905e+00,-1.911096849533121977e+00,3.098742987244851657e-03,-7.564365075539787597e-02,-3.471727786516646489e-03
1.799999999999999933e-01,0.000000000000000000e+00,-1.637639955034360328e+00,-1.642484005711364992e+00,-1.868463218772785428e+00,-1.872931089038170516e+00,3.030748777923709166e-03,-6.081754380321204023e-02,-3.337156626935263663e-03
2.000000000000000111e-01,0.000000000000000000e+00,-1.662941450422224854e+00,-1.667527102768986191e+00,-1.835656521961017473e+00,-1.839970411614915591e+00,2.933808866763752340e-03,-4.680636292505176155e-02,-3.207541206397256876e-03
2.200000000000000011e-01,0.000000000000000000e+00,-1.684675103655681294e+00,-1.688994101978331219e+00,-1.809936183771235996e+00,-1.814066293903321414e+00,2.831889304384916338e-03,-3.562583002717971403e-02,-3.105356266626538644e-03
2.399999999999999911e-01,0.000000000000000000e+00,-1.699491262275733217e+00,-1.703568179180034559e+00,-1.792892336445434776e+00,-1.796845608636153724e+00,2.743045157302279654e-03,-2.865494789207513951e-02,-3.035254746735596351e-03
2.600000000000000089e-01,0.000000000000000000e+00,-1.706482605927046814e+00,-1.710369209039414029e+00,-1.785311238084945407e+00,-1.789127422103534037e+00,2.676114854460231139e-03,-2.565987826089746043e-02,-2.992129444760022270e-03
2.800000000000000266e-01,0.000000000000000000e+00,-1.707838724233839311e+00,-1.711606921572995876e+00,-1.785074583042965735e+00,-1.788795793838792614e+00,2.632785527451666878e-03,-2.552890225535446242e-02,-2.969474328662848831e-03
2.999999999999999889e-01,0.000000000000000000e+00,-1.706005818409812136e+00,-1.709720773967270180e+00,-1.788948742846345530e+00,-1.792620122752927703e+00,2.614422260415518937e-03,-2.704872675830113579e-02,-2.961449163066689604e-03
3.200000000000000067e-01,0.000000000000000000e+00,-1.702808850597221202e+00,-1.706520159791682811e+00,-1.794310996631256927e+00,-1.797975076141624440e+00,2.617980449287240444e-03,-2.924307360140767156e-02,-2.962766722318904266e-03
3.400000000000000244e-01,0.000000000000000000e+00,-1.699428162896803096e+00,-1.703167757084619094e+00,-1.799500547921328852e+00,-1.803187070494940869e+00,2.636020242608199792e-03,-3.146454669232906509e-02,-2.969052042425243676e-03
3.599999999999999867e-01,0.000000000000000000e+00,-1.696514452036293363e+00,-1.700298617666889278e+00,-1.803682682806229121e+00,-1.807407805603584272e+00,2.661425778809547050e-03,-3.335766740000702113e-02,-2.977099409848918236e-03
3.800000000000000044e-01,0.000000000000000000e+00,-1.694335676663924595e+00,-1.698168414088679912e+00,-1.806600515301917564e+00,-1.810369198104635924e+00,2.688474057290937778e-03,-3.478401882108002330e-02,-2.984861952422515098e-03
4.000000000000000222e-01,0.000000000000000000e+00,-1.692913488023684687e+00,-1.696790276812503606e+00,-1.808340616027991121e+00,-1.812149893510237142e+00,2.713162906639005056e-03,-3.574487964585805477e-02,-2.991260706166708368e-03
4.199999999999999845e-01,0.000000000000000000e+00,-1.692134458483509407e+00,-1.696045838015112439e+00,-1.809152560010754307e+00,-1.812994771054968091e+00,2.733174720315980580e-03,-3.631644239008387925e-02,-2.995921025714273940e-03
4.400000000000000022e-01,0.000000000000000000e+00,-1.691879932141905574e+00,-1.695713635786001650e+00,-1.809453180937465433e+00,-1.813109341946863351e+00,2.666897347456142955e-03,-3.660005228185279902e-02,-2.998943942391394096e-03
4.600000000000000200e-01,0.000000000000000000e+00,-1.692376584600762568e+00,-1.695160198359180859e+00,-1.810132455261754370e+00,-1.812242860032998282e+00,2.028120455765532962e-03,-3.666695094976227948e-02,-3.000959083040727164e-03
4.799999999999999822e-01,0.000000000000000000e+00,-1.692770052049551888e+00,-1.694927866754566192e+00,-1.810189888495752797e+00,-1.811668497020826107e+00,1.743833178152671840e-03,-3.660756623253804548e-02,-3.002242037041108914e-03
5.000000000000000000e-01,0.000000000000000000e+00,-1.692966915417492446e+00,-1.694990961438554100e+00,-1.809876713993102681e+00,-1.811359081477219357e+00,1.709547129022322837e-03,-3.650001618642550322e-02,-3.002869116099663761e-03
