send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
24,24,0.0,45.966796875,90.0,0.0,47.021484375,91.93359375,0.0,47.021484375,91.93359375,0.0,45.966796875,90.0
42,43,0.0,45.966796875,90.0,0.0,47.8125,93.33984375,0.0,47.8125,93.33984375,0.0,45.966796875,90.0
64,64,0.0,45.966796875,90.0,0.0,48.515625,94.39453125,0.0,48.515625,94.39453125,0.0,45.966796875,90.0
81,81,0.0,45.966796875,90.0,0.0,48.69140625,94.833984375,0.0,48.69140625,94.833984375,0.0,45.966796875,90.0
101,101,0.0,45.966796875,90.0,0.087890625,48.8671875,95.09765625,0.0,48.8671875,95.009765625,0.0,45.966796875,90.0
121,121,0.0,45.966796875,90.0,0.087890625,49.130859375,95.2734375,0.0,49.130859375,95.185546875,0.0,45.966796875,90.0
141,141,0.0,45.966796875,90.0,0.17578125,49.39453125,95.537109375,0.0,49.306640625,95.361328125,0.0,45.966796875,90.0
161,161,0.0,45.87890625,90.0,0.263671875,49.658203125,95.80078125,0.0,49.5703125,95.625,0.0,45.87890625,90.0
181,181,0.0,45.87890625,90.0,0.439453125,50.009765625,95.9765625,0.0,49.921875,95.80078125,0.0,45.87890625,90.0
201,201,0.0,45.87890625,90.0,0.52734375,50.361328125,96.240234375,0.0,50.185546875,95.888671875,0.0,45.87890625,90.0
221,221,0.0,45.791015625,90.0,0.703125,50.80078125,96.416015625,0.0,50.625,95.9765625,0.0,45.791015625,90.0
241,241,0.0,45.791015625,90.0,0.87890625,51.328125,96.591796875,0.0,50.9765625,96.064453125,0.0,45.791015625,90.0
261,261,0.0,45.703125,90.0,1.23046875,51.943359375,96.767578125,0.0,51.50390625,96.240234375,0.0,45.703125,90.0
281,281,0.0,45.703125,90.0,1.40625,52.3828125,97.03125,0.0,52.03125,96.328125,0.0,45.703125,90.0
301,301,0.0,45.615234375,90.0,1.669921875,52.998046875,97.20703125,0.0,52.470703125,96.328125,0.0,45.615234375,90.0
321,321,0.0,45.615234375,90.0,2.109375,53.61328125,97.294921875,0.0,52.998046875,96.328125,0.0,45.615234375,90.0
341,341,0.0,45.615234375,90.0,2.4609375,54.228515625,97.470703125,0.0,53.525390625,96.328125,0.0,45.615234375,90.0
361,361,0.0,45.52734375,90.0,2.900390625,54.84375,97.734375,0.0,53.876953125,96.328125,0.0,45.52734375,90.0
381,381,0.0,45.52734375,90.0,3.33984375,55.283203125,97.91015625,0.0,54.31640625,96.328125,0.0,45.52734375,90.0
401,401,0.0,45.615234375,90.0,3.779296875,55.72265625,98.0859375,0.0,54.580078125,96.328125,0.0,45.615234375,90.0
421,421,0.0,45.703125,90.0,4.306640625,56.07421875,98.26171875,0.0,54.931640625,96.328125,0.0,45.703125,90.0
441,441,0.0,45.791015625,90.0,4.921875,56.337890625,98.525390625,0.0,55.01953125,96.328125,0.0,45.791015625,90.0
461,461,0.0,46.142578125,90.0,5.537109375,56.513671875,98.7890625,0.0,55.01953125,96.416015625,0.0,46.142578125,90.0
481,481,0.0,46.40625,90.0,6.064453125,56.513671875,98.96484375,0.0,55.01953125,96.416015625,0.0,46.40625,90.0
501,501,0.0,46.7578125,90.0,6.6796875,56.337890625,99.31640625,0.0,54.580078125,96.50390625,0.0,46.7578125,90.0
522,523,0.0,47.28515625,90.0,7.3828125,55.986328125,99.580078125,0.0,54.228515625,96.591796875,0.0,47.28515625,90.0
542,543,0.0,47.98828125,89.912109375,8.0859375,55.72265625,99.931640625,0.0,53.7890625,96.6796875,0.0,47.98828125,89.912109375
562,563,0.0,48.69140625,89.82421875,8.701171875,55.1953125,100.107421875,0.0,53.173828125,96.767578125,0.0,48.69140625,89.82421875
582,583,0.0,49.482421875,89.736328125,9.404296875,54.84375,100.37109375,0.0,52.734375,96.943359375,0.0,49.482421875,89.736328125
602,603,0.0,50.361328125,89.47265625,10.107421875,54.31640625,100.634765625,0.0,52.119140625,97.03125,0.0,50.361328125,89.47265625
622,623,0.0,51.50390625,89.296875,10.72265625,53.701171875,100.72265625,0.0,51.50390625,97.03125,0.0,51.50390625,89.296875
642,643,0.0,52.470703125,88.857421875,11.42578125,53.173828125,100.810546875,0.0,50.888671875,97.03125,0.0,52.470703125,88.857421875
662,663,0.0,53.701171875,88.41796875,12.041015625,52.55859375,100.8984375,0.0,50.361328125,97.03125,0.0,53.701171875,88.41796875
682,683,0.0,54.931640625,87.802734375,12.65625,52.03125,100.8984375,0.0,49.833984375,97.03125,0.0,54.931640625,87.802734375
704,704,0.0,56.07421875,87.099609375,13.271484375,51.50390625,100.8984375,0.0,49.21875,96.943359375,0.0,56.07421875,87.099609375
722,723,0.0,57.216796875,86.1328125,13.798828125,50.888671875,100.8984375,0.0,48.603515625,96.943359375,0.0,57.216796875,86.1328125
744,744,0.0,58.271484375,85.078125,14.4140625,50.2734375,100.8984375,0.0,48.076171875,96.767578125,0.0,58.271484375,85.078125
764,764,0.0,59.4140625,83.935546875,14.94140625,49.833984375,100.810546875,0.0,47.4609375,96.6796875,0.0,59.4140625,83.935546875
782,782,0.0,60.29296875,82.6171875,15.29296875,49.306640625,100.72265625,0.0,47.021484375,96.591796875,0.0,60.29296875,82.6171875
802,802,0.0,61.083984375,81.2109375,15.8203125,48.779296875,100.458984375,0.0,46.58203125,96.50390625,0.0,61.083984375,81.2109375
822,822,0.0,61.962890625,79.98046875,16.171875,48.33984375,100.37109375,0.0,46.142578125,96.328125,0.0,61.962890625,79.98046875
842,842,0.0,62.666015625,78.837890625,16.5234375,47.900390625,100.1953125,0.0,45.703125,96.240234375,0.0,62.666015625,78.837890625
862,863,0.0,63.369140625,77.6953125,16.787109375,47.4609375,100.107421875,0.0,45.263671875,95.9765625,0.0,63.369140625,77.6953125
882,883,0.0,63.896484375,76.640625,17.138671875,47.109375,99.931640625,0.0,44.912109375,95.80078125,0.0,63.896484375,76.640625
902,903,0.0,64.3359375,75.5859375,17.314453125,46.7578125,99.66796875,0.0,44.560546875,95.712890625,0.0,64.3359375,75.5859375
921,921,0.0,64.599609375,74.794921875,17.490234375,46.494140625,99.404296875,0.0,44.296875,95.537109375,0.0,64.599609375,74.794921875
942,943,0.0,64.775390625,74.091796875,17.666015625,46.23046875,99.228515625,0.0,44.12109375,95.185546875,0.0,64.775390625,74.091796875
962,963,0.0,65.0390625,73.4765625,17.841796875,45.966796875,98.96484375,0.0,43.857421875,95.009765625,0.0,65.0390625,73.4765625
981,981,0.0,65.126953125,73.125,17.9296875,45.791015625,98.701171875,0.0,43.59375,94.658203125,0.0,65.126953125,73.125
1001,1001,0.0,65.21484375,72.7734375,17.9296875,45.615234375,98.4375,0.0,43.41796875,94.39453125,0.0,65.21484375,72.7734375
1021,1021,0.0,65.21484375,72.685546875,18.017578125,45.263671875,97.998046875,0.0,43.2421875,94.04296875,0.0,65.21484375,72.685546875
