begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,6,0,2108,0,40,1,11300,31,0,7,RL-J1,2.0,0.0,-0.3515625,-0.3515625
24,26,1,7,0,1421,0,16,0,11300,28,0,8,RL-J2,25.0,47.021484375,45.791015625,-1.23046875
43,45,2,8,0,2990,0,0,0,11300,34,0,9,RL-J3,44.0,93.33984375,90.17578125,-3.1640625
64,66,3,9,0,1946,0,-48,0,11300,32,0,10,RR-J1,65.0,0.0,-0.439453125,-0.439453125
81,83,4,10,0,2776,0,-16,0,11300,30,0,11,RR-J2,82.0,45.966796875,45.791015625,-0.17578125
101,103,5,11,0,1021,0,0,0,11300,32,0,12,RR-J3,102.0,90.0,90.087890625,0.087890625
121,123,6,0,0,1923,0,-56,2,11200,31,0,1,FL-J1,122.0,0.0,0.52734375,0.52734375
141,143,7,1,0,1556,0,16,1,11300,30,0,2,FL-J2,142.0,45.966796875,45.791015625,-0.17578125
161,163,8,2,0,2991,0,24,1,11400,32,0,3,FL-J3,162.0,90.0,90.17578125,0.17578125
181,183,9,3,0,2094,0,20,0,11400,32,0,4,FR-J1,182.0,0.439453125,0.439453125,0.0
201,203,10,4,0,2477,200,-56,3,11300,29,0,5,FR-J2,202.0,50.361328125,48.779296875,-1.58203125
221,223,11,5,0,1021,-300,112,2,11400,31,0,6,FR-J3,222.0,96.416015625,93.1640625,-3.251953125
241,243,12,6,0,2108,0,40,1,11300,31,0,7,RL-J1,242.0,0.0,-0.3515625,-0.3515625
261,263,13,7,0,1374,-200,60,2,11300,28,0,8,RL-J2,262.0,51.50390625,49.921875,-1.58203125
281,283,14,8,0,3040,300,-96,1,11300,34,0,9,RL-J3,282.0,96.328125,94.5703125,-1.7578125
301,303,15,9,0,1946,0,-48,1,11300,32,0,10,RR-J1,302.0,0.0,-0.439453125,-0.439453125
321,323,16,10,0,2774,-50,0,0,11300,30,0,11,RR-J2,322.0,45.615234375,45.615234375,0.0
341,343,17,11,0,1021,0,0,0,11300,32,0,12,RR-J3,342.0,90.0,90.087890625,0.087890625
361,363,18,0,0,1923,0,-56,1,11200,31,0,1,FL-J1,362.0,0.0,0.52734375,0.52734375
381,383,19,1,0,1559,50,0,0,11300,30,0,2,FL-J2,382.0,45.52734375,45.52734375,0.0
401,403,20,2,0,2991,0,24,1,11400,32,0,3,FL-J3,402.0,90.0,90.17578125,0.17578125
421,423,21,3,0,2116,200,-84,1,11400,32,0,4,FR-J1,422.0,4.306640625,2.373046875,-1.93359375
441,443,22,4,0,2540,300,-64,3,11300,29,0,5,FR-J2,442.0,56.337890625,54.31640625,-2.021484375
