send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
24,24,0.0,45.966796875,90.0,0.0,47.021484375,91.93359375,0.0,47.021484375,91.93359375,0.0,45.966796875,90.0
42,43,0.0,45.966796875,90.0,0.0,47.8125,93.33984375,0.0,47.8125,93.33984375,0.0,45.966796875,90.0
64,64,0.0,45.966796875,90.0,0.0,48.515625,94.39453125,0.0,48.515625,94.39453125,0.0,45.966796875,90.0
81,81,0.0,45.966796875,90.0,0.0,48.69140625,94.833984375,0.0,48.69140625,94.833984375,0.0,45.966796875,90.0
101,101,0.0,45.966796875,90.0,0.087890625,48.8671875,95.09765625,0.0,48.8671875,95.009765625,0.0,45.966796875,90.0
121,121,0.0,45.966796875,90.0,0.087890625,49.130859375,95.2734375,0.0,49.130859375,95.185546875,0.0,45.966796875,90.0
141,141,0.0,45.966796875,90.0,0.17578125,49.39453125,95.537109375,0.0,49.306640625,95.361328125,0.0,45.966796875,90.0
161,161,0.0,45.87890625,90.0,0.263671875,49.658203125,95.80078125,0.0,49.5703125,95.625,0.0,45.87890625,90.0
181,181,0.0,45.87890625,90.0,0.439453125,50.009765625,95.9765625,0.0,49.921875,95.80078125,0.0,45.87890625,90.0
201,201,0.0,45.87890625,90.0,0.52734375,50.361328125,96.240234375,0.0,50.185546875,95.888671875,0.0,45.87890625,90.0
221,221,0.0,45.791015625,90.0,0.703125,50.80078125,96.416015625,0.0,50.625,95.9765625,0.0,45.791015625,90.0
241,241,0.0,45.791015625,90.0,0.87890625,51.328125,96.591796875,0.0,50.9765625,96.064453125,0.0,45.791015625,90.0
261,261,0.0,45.791015625,90.0,1.23046875,51.591796875,96.767578125,0.0,51.328125,96.240234375,0.0,45.791015625,90.0
281,281,0.0,45.703125,90.0,1.40625,52.03125,97.03125,0.0,51.591796875,96.328125,0.0,45.703125,90.0
301,301,0.0,45.703125,90.0,1.669921875,52.3828125,97.20703125,0.0,51.943359375,96.416015625,0.0,45.703125,90.0
321,321,0.0,45.703125,90.0,2.021484375,52.734375,97.3828125,0.0,52.119140625,96.416015625,0.0,45.703125,90.0
341,341,0.0,45.703125,90.0,2.373046875,53.0859375,97.55859375,0.0,52.3828125,96.50390625,0.0,45.703125,90.0
361,361,0.0,45.703125,90.0,2.8125,53.4375,97.91015625,0.0,52.55859375,96.50390625,0.0,45.703125,90.0
381,381,0.0,45.703125,90.0,3.1640625,53.61328125,98.0859375,0.0,52.734375,96.591796875,0.0,45.703125,90.0
401,401,0.0,45.791015625,90.0,3.603515625,53.876953125,98.26171875,0.0,52.91015625,96.591796875,0.0,45.791015625,90.0
421,421,0.0,45.87890625,90.0,4.130859375,54.140625,98.525390625,0.0,52.998046875,96.591796875,0.0,45.87890625,90.0
441,441,0.0,45.87890625,90.0,4.5703125,54.228515625,98.701171875,0.0,52.998046875,96.6796875,0.0,45.87890625,90.0
461,461,0.0,46.142578125,90.0,5.09765625,54.31640625,98.96484375,0.0,52.998046875,96.6796875,0.0,46.142578125,90.0
481,481,0.0,46.23046875,90.0,5.625,54.404296875,99.228515625,0.0,52.91015625,96.767578125,0.0,46.23046875,90.0
501,501,0.0,46.40625,90.0,6.064453125,54.404296875,99.404296875,0.0,52.822265625,96.767578125,0.0,46.40625,90.0
521,521,0.0,46.58203125,90.0,6.6796875,54.404296875,99.580078125,0.0,52.734375,96.943359375,0.0,46.58203125,90.0
541,541,0.0,46.93359375,90.0,7.20703125,54.31640625,99.84375,0.0,52.55859375,96.943359375,0.0,46.93359375,90.0
561,561,0.0,47.197265625,90.0,7.822265625,54.228515625,100.01953125,0.0,52.3828125,96.943359375,0.0,47.197265625,90.0
581,581,0.0,47.4609375,90.0,8.4375,54.140625,100.1953125,0.0,52.20703125,97.03125,0.0,47.4609375,90.0
601,601,0.0,47.900390625,89.912109375,8.876953125,53.876953125,100.37109375,0.0,51.943359375,97.03125,0.0,47.900390625,89.912109375
621,621,0.0,48.33984375,89.912109375,9.4921875,53.701171875,100.458984375,0.0,51.6796875,97.03125,0.0,48.33984375,89.912109375
641,641,0.0,48.69140625,89.82421875,10.107421875,53.525390625,100.634765625,0.0,51.416015625,97.03125,0.0,48.69140625,89.82421875
662,663,0.0,49.21875,89.82421875,10.634765625,53.26171875,100.72265625,0.0,51.064453125,97.03125,0.0,49.21875,89.82421875
682,683,0.0,49.833984375,89.736328125,11.162109375,53.0859375,100.810546875,0.0,50.888671875,97.03125,0.0,49.833984375,89.736328125
702,703,0.0,50.2734375,89.560546875,11.77734375,52.822265625,100.8984375,0.0,50.625,97.03125,0.0,50.2734375,89.560546875
722,723,0.0,50.888671875,89.384765625,12.3046875,52.55859375,100.8984375,0.0,50.2734375,97.03125,0.0,50.888671875,89.384765625
742,743,0.0,51.50390625,89.208984375,12.83203125,52.294921875,100.8984375,0.0,50.009765625,97.03125,0.0,51.50390625,89.208984375
762,763,0.0,52.119140625,89.12109375,13.271484375,52.03125,100.8984375,0.0,49.658203125,96.943359375,0.0,52.119140625,89.12109375
782,783,0.0,52.734375,88.76953125,13.798828125,51.767578125,100.8984375,0.0,49.482421875,96.943359375,0.0,52.734375,88.76953125
802,803,0.0,53.26171875,88.59375,14.326171875,51.50390625,100.8984375,0.0,49.21875,96.767578125,0.0,53.26171875,88.59375
822,823,0.0,53.876953125,88.330078125,14.677734375,51.240234375,100.8984375,0.0,48.8671875,96.767578125,0.0,53.876953125,88.330078125
842,843,0.0,54.4921875,87.978515625,15.1171875,50.9765625,100.810546875,0.0,48.69140625,96.6796875,0.0,54.4921875,87.978515625
861,861,0.0,55.01953125,87.71484375,15.46875,50.712890625,100.72265625,0.0,48.427734375,96.591796875,0.0,55.01953125,87.71484375
882,883,0.0,55.458984375,87.36328125,15.908203125,50.537109375,100.634765625,0.0,48.1640625,96.591796875,0.0,55.458984375,87.36328125
902,903,0.0,55.8984375,87.1875,16.171875,50.2734375,100.458984375,0.0,47.98828125,96.50390625,0.0,55.8984375,87.1875
922,923,0.0,56.337890625,86.923828125,16.5234375,50.009765625,100.37109375,0.0,47.724609375,96.416015625,0.0,56.337890625,86.923828125
942,943,0.0,56.689453125,86.572265625,16.787109375,49.833984375,100.283203125,0.0,47.4609375,96.328125,0.0,56.689453125,86.572265625
961,961,0.0,57.041015625,86.30859375,16.962890625,49.5703125,100.1953125,0.0,47.373046875,96.240234375,0.0,57.041015625,86.30859375
981,981,0.0,57.3046875,86.1328125,17.2265625,49.39453125,100.01953125,0.0,47.197265625,95.9765625,0.0,57.3046875,86.1328125
1001,1001,0.0,57.48046875,85.869140625,17.40234375,49.21875,99.931640625,0.0,47.021484375,95.888671875,0.0,57.48046875,85.869140625
1021,1021,0.0,57.65625,85.693359375,17.578125,49.130859375,99.66796875,0.0,46.7578125,95.712890625,0.0,57.65625,85.693359375
