begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,2.0,0.0,0.17578125,0.17578125
24,26,1,1,0,1556,0,16,1,11300,30,0,2,FL-J2,25.0,45.966796875,45.791015625,-0.17578125
43,45,2,2,0,2991,0,24,0,11400,32,0,3,FL-J3,44.0,90.0,90.17578125,0.17578125
64,66,3,3,0,2088,0,0,0,11400,32,0,4,FR-J1,65.0,0.0,-0.087890625,-0.087890625
81,83,4,4,0,2446,50,-48,2,11300,29,0,5,FR-J2,82.0,48.69140625,46.0546875,-2.63671875
101,103,5,5,0,1053,0,100,3,11400,32,0,6,FR-J3,102.0,95.09765625,90.3515625,-4.74609375
121,123,6,6,0,2110,0,56,2,11300,30,0,7,RL-J1,122.0,0.0,-0.52734375,-0.52734375
141,143,7,7,0,1402,-300,60,5,11300,28,0,8,RL-J2,142.0,49.306640625,47.4609375,-1.845703125
161,163,8,8,0,3005,250,-112,2,11300,34,0,9,RL-J3,162.0,95.625,91.494140625,-4.130859375
181,183,9,9,0,1952,0,0,0,11300,31,0,10,RR-J1,182.0,0.0,0.087890625,0.087890625
201,203,10,10,0,2776,0,-8,0,11300,30,0,11,RR-J2,202.0,45.87890625,45.791015625,-0.087890625
221,223,11,11,0,1019,0,-32,1,11300,32,0,12,RR-J3,222.0,90.0,90.263671875,0.263671875
241,243,12,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,242.0,0.0,0.17578125,0.17578125
261,263,13,1,0,1556,0,0,0,11300,30,0,2,FL-J2,262.0,45.791015625,45.791015625,0.0
281,283,14,2,0,2991,0,24,0,11400,32,0,3,FL-J3,282.0,90.0,90.17578125,0.17578125
301,303,15,3,0,2097,100,-64,1,11400,32,0,4,FR-J1,302.0,1.669921875,0.703125,-0.966796875
321,323,16,4,0,2504,250,-56,3,11300,29,0,5,FR-J2,322.0,52.734375,51.15234375,-1.58203125
341,343,17,5,0,989,-250,100,1,11400,31,0,6,FR-J3,342.0,97.55859375,95.9765625,-1.58203125
361,363,18,6,0,2110,0,56,1,11300,30,0,7,RL-J1,362.0,0.0,-0.52734375,-0.52734375
381,383,19,7,0,1351,-200,40,1,11300,28,0,8,RL-J2,382.0,52.734375,51.943359375,-0.791015625
401,407,20,8,0,3058,50,-44,1,11400,34,0,9,RL-J3,404.0,96.591796875,96.15234375,-0.439453125
421,423,21,9,0,1952,0,0,0,11300,32,0,10,RR-J1,422.0,0.0,0.087890625,0.087890625
441,443,22,10,0,2774,0,-24,0,11300,30,0,11,RR-J2,442.0,45.87890625,45.615234375,-0.263671875
461,463,23,11,0,1019,0,-32,1,11300,32,0,12,RR-J3,462.0,90.0,90.263671875,0.263671875
481,483,24,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,482.0,0.0,0.17578125,0.17578125
501,503,25,1,0,1555,-50,32,0,11300,30,0,2,FL-J2,502.0,46.40625,45.87890625,-0.52734375
521,523,26,2,0,2991,0,24,1,11400,32,0,3,FL-J3,522.0,90.0,90.17578125,0.17578125
541,543,27,3,0,2143,250,-92,1,11400,32,0,4,FR-J1,542.0,7.20703125,4.74609375,-2.4609375
561,563,28,4,0,2539,0,-8,0,11300,29,0,5,FR-J2,562.0,54.228515625,54.228515625,0.0
581,583,29,5,0,952,-150,72,1,11400,31,0,6,FR-J3,582.0,100.1953125,99.228515625,-0.966796875
601,603,30,6,0,2110,0,56,1,11300,30,0,7,RL-J1,602.0,0.0,-0.52734375,-0.52734375
621,623,31,7,0,1348,100,-4,0,11300,28,0,8,RL-J2,622.0,51.6796875,52.20703125,0.52734375
641,643,32,8,0,3064,0,-40,1,11300,34,0,9,RL-J3,642.0,97.03125,96.6796875,-0.3515625
663,665,33,9,0,1952,0,0,0,11300,31,0,10,RR-J1,664.0,0.0,0.087890625,0.087890625
683,685,34,10,0,2801,200,-60,3,11300,30,0,11,RR-J2,684.0,49.833984375,47.98828125,-1.845703125
703,705,35,11,0,1022,50,-24,0,11300,32,0,12,RR-J3,704.0,89.560546875,90.0,0.439453125
723,725,36,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,724.0,0.0,0.17578125,0.17578125
743,745,37,1,0,1516,-250,60,5,11300,30,0,2,FL-J2,744.0,51.50390625,49.306640625,-2.197265625
763,765,38,2,0,2986,-150,56,2,11400,32,0,3,FL-J3,764.0,89.12109375,89.736328125,0.615234375
783,785,39,3,0,2213,300,-104,1,11400,32,0,4,FR-J1,784.0,13.798828125,10.8984375,-2.900390625
803,805,40,4,0,2515,-150,16,0,11300,29,0,5,FR-J2,804.0,51.50390625,52.119140625,0.615234375
823,825,41,5,0,936,0,32,0,11400,31,0,6,FR-J3,824.0,100.8984375,100.634765625,-0.263671875
843,845,42,6,0,2110,0,56,2,11300,30,0,7,RL-J1,844.0,0.0,-0.52734375,-0.52734375
861,863,43,7,0,1382,200,-24,1,11300,28,0,8,RL-J2,862.0,48.427734375,49.21875,0.791015625
883,885,44,8,0,3064,0,0,0,11300,34,0,9,RL-J3,884.0,96.591796875,96.6796875,0.087890625
903,905,45,9,0,1952,0,0,0,11300,31,0,10,RR-J1,904.0,0.0,0.087890625,0.087890625
923,925,46,10,0,2867,300,-72,4,11300,30,0,11,RR-J2,924.0,56.337890625,53.7890625,-2.548828125
943,945,47,11,0,1046,100,-72,1,11300,32,0,12,RR-J3,944.0,86.572265625,87.890625,1.318359375
962,964,48,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,963.0,0.0,0.17578125,0.17578125
981,984,49,1,0,1447,-300,72,5,11300,30,0,2,FL-J2,982.5,57.3046875,55.37109375,-1.93359375
1001,1003,50,2,0,2954,-150,60,1,11400,32,0,3,FL-J3,1002.0,85.869140625,86.923828125,1.0546875
1021,1023,51,3,0,2275,200,-72,1,11400,32,0,4,FR-J1,1022.0,17.578125,16.34765625,-1.23046875
1041,1043,52,4,0,2482,-150,8,0,11300,29,0,5,FR-J2,1042.0,48.8671875,49.21875,0.3515625
1061,1063,53,5,0,940,50,-64,1,11400,31,0,6,FR-J3,1062.0,99.31640625,100.283203125,0.966796875
1081,1083,54,6,0,2110,0,56,1,11300,30,0,7,RL-J1,1082.0,0.0,-0.52734375,-0.52734375
1101,1103,55,7,0,1413,100,0,0,11300,28,0,8,RL-J2,1102.0,46.23046875,46.494140625,0.263671875
1121,1123,56,8,0,3051,-100,48,0,11300,34,0,9,RL-J3,1122.0,94.5703125,95.537109375,0.966796875
1141,1143,57,9,0,1952,0,0,0,11300,31,0,10,RR-J1,1142.0,0.0,0.087890625,0.087890625
1161,1163,58,10,0,2915,50,-24,1,11300,30,0,11,RR-J2,1162.0,58.271484375,58.0078125,-0.263671875
1181,1183,59,11,0,1075,100,-28,0,11300,32,0,12,RR-J3,1182.0,85.078125,85.341796875,0.263671875
1203,1205,60,0,0,1927,0,-24,0,11200,31,0,1,FL-J1,1204.0,0.0,0.17578125,0.17578125
1221,1223,61,1,0,1416,0,32,2,11300,30,0,2,FL-J2,1222.0,60.8203125,58.095703125,-2.724609375
1241,1243,62,2,0,2936,0,-20,1,11400,32,0,3,FL-J3,1242.0,89.47265625,85.341796875,-4.130859375
1262,1264,63,3,0,2291,0,-32,0,11400,32,0,4,FR-J1,1263.0,18.017578125,17.75390625,-0.263671875
1281,1283,64,4,0,2449,-250,32,0,11300,29,0,5,FR-J2,1282.0,45.703125,46.318359375,0.615234375
1301,1303,65,5,0,982,200,-136,2,11400,31,0,6,FR-J3,1302.0,93.779296875,96.591796875,2.8125
1321,1324,66,6,0,2110,0,48,1,11200,30,0,7,RL-J1,1322.5,-0.087890625,-0.52734375,-0.439453125
1342,1344,67,7,0,1447,100,16,0,11300,28,0,8,RL-J2,1343.0,43.681640625,43.505859375,-0.17578125
1362,1364,68,8,0,2997,-250,68,1,11300,34,0,9,RL-J3,1363.0,90.087890625,90.791015625,0.703125
1382,1384,69,9,0,1952,0,36,1,11300,31,0,10,RR-J1,1383.0,-0.17578125,0.087890625,0.263671875
1402,1404,70,10,0,2952,200,-20,1,11300,30,0,11,RR-J2,1403.0,61.259765625,61.259765625,0.0
1422,1424,71,11,0,1037,-350,116,2,11300,32,0,12,RR-J3,1423.0,92.8125,88.681640625,-4.130859375
1443,1445,72,0,0,1927,0,56,1,11200,31,0,1,FL-J1,1444.0,0.703125,0.17578125,-0.52734375
