send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
24,24,0.0,45.966796875,90.0,0.0,47.4609375,92.63671875,0.0,47.373046875,92.63671875,0.0,45.966796875,90.0
44,44,0.0,45.966796875,90.0,0.263671875,48.603515625,94.658203125,0.0,48.515625,94.5703125,0.0,45.966796875,90.0
64,64,0.0,45.966796875,90.0,0.791015625,49.658203125,96.591796875,0.0,49.39453125,96.064453125,0.0,45.966796875,90.0
81,81,0.0,45.966796875,90.0,1.7578125,50.09765625,97.3828125,0.0,49.5703125,96.50390625,0.0,45.966796875,90.0
101,101,0.0,45.966796875,90.0,3.076171875,50.712890625,98.26171875,0.0,49.833984375,96.767578125,0.0,45.966796875,90.0
121,121,0.0,45.966796875,90.0,4.921875,51.240234375,99.140625,0.0,49.921875,97.03125,0.0,45.966796875,90.0
141,141,0.0,45.966796875,90.0,6.943359375,51.591796875,99.931640625,0.0,50.009765625,97.119140625,0.0,45.966796875,90.0
161,161,0.0,46.142578125,90.0,8.96484375,51.943359375,100.458984375,0.0,50.009765625,97.119140625,0.0,46.142578125,90.0
181,181,0.0,46.23046875,90.0,11.162109375,52.119140625,100.810546875,0.0,49.921875,97.119140625,0.0,46.23046875,90.0
201,201,0.0,46.494140625,90.0,13.271484375,52.119140625,100.8984375,0.0,49.833984375,96.943359375,0.0,46.494140625,90.0
221,221,0.0,46.93359375,90.0,15.029296875,52.03125,100.810546875,0.0,49.5703125,96.6796875,0.0,46.93359375,90.0
242,243,0.0,47.373046875,90.0,16.435546875,51.6796875,100.458984375,0.0,49.306640625,96.416015625,0.0,47.373046875,90.0
262,263,0.0,48.076171875,89.912109375,17.40234375,51.328125,100.01953125,0.0,48.8671875,95.9765625,0.0,48.076171875,89.912109375
282,283,0.0,48.8671875,89.82421875,17.9296875,50.712890625,99.228515625,0.0,48.427734375,95.2734375,0.0,48.8671875,89.82421875
302,303,0.0,49.5703125,89.736328125,18.017578125,49.658203125,97.822265625,0.0,47.4609375,93.779296875,0.0,49.5703125,89.736328125
324,324,0.0,52.91015625,94.04296875,18.017578125,47.4609375,93.8671875,0.0,45.263671875,90.0,0.0,52.91015625,94.04296875
342,343,0.087890625,54.31640625,95.009765625,17.9296875,47.373046875,94.04296875,-0.087890625,45.17578125,90.087890625,-0.087890625,54.31640625,95.009765625
362,363,0.52734375,55.1953125,95.712890625,17.490234375,47.373046875,94.04296875,-0.52734375,45.263671875,90.263671875,-0.439453125,55.1953125,95.712890625
381,381,1.23046875,55.458984375,96.50390625,16.787109375,47.63671875,94.130859375,-1.142578125,45.615234375,90.615234375,-0.966796875,55.458984375,96.416015625
402,403,2.197265625,55.1953125,97.3828125,15.908203125,47.98828125,94.130859375,-2.109375,46.23046875,91.142578125,-1.93359375,55.107421875,97.294921875
422,423,3.33984375,54.404296875,98.26171875,14.765625,48.779296875,94.21875,-3.1640625,47.28515625,91.58203125,-3.1640625,54.31640625,98.173828125
442,443,4.482421875,53.173828125,98.96484375,13.7109375,50.09765625,94.130859375,-4.306640625,48.8671875,92.021484375,-4.658203125,53.173828125,99.140625
464,464,5.537109375,51.943359375,99.404296875,12.83203125,52.294921875,93.779296875,-5.185546875,51.328125,92.109375,-6.416015625,52.119140625,99.66796875
484,484,5.9765625,50.625,99.4921875,12.3046875,55.37109375,92.900390625,-5.625,54.404296875,91.40625,-8.525390625,50.9765625,100.1953125
504,504,6.50390625,49.482421875,99.31640625,11.77734375,58.53515625,91.318359375,-6.064453125,57.568359375,90.0,-10.01953125,50.009765625,100.1953125
524,525,6.943359375,48.515625,98.876953125,11.337890625,61.083984375,89.296875,-6.50390625,60.29296875,87.978515625,-10.986328125,49.04296875,99.84375
544,544,7.03125,47.4609375,98.173828125,11.162109375,62.841796875,87.36328125,-6.591796875,61.962890625,86.220703125,-11.513671875,47.98828125,99.228515625
562,563,6.943359375,46.40625,96.6796875,11.162109375,63.720703125,86.30859375,-6.50390625,62.841796875,84.990234375,-11.689453125,47.021484375,97.734375
584,584,6.591796875,44.12109375,92.724609375,11.689453125,67.32421875,89.912109375,-6.591796875,66.26953125,88.59375,-11.513671875,44.736328125,93.779296875
602,603,7.03125,44.208984375,92.8125,11.42578125,68.115234375,90.87890625,-7.119140625,67.32421875,89.82421875,-11.07421875,44.736328125,93.69140625
624,624,7.294921875,44.736328125,92.98828125,11.07421875,67.5,92.8125,-7.3828125,66.884765625,91.7578125,-10.810546875,45.087890625,93.69140625
644,645,7.734375,45.703125,93.1640625,10.810546875,65.478515625,95.537109375,-7.91015625,65.126953125,94.833984375,-10.37109375,45.966796875,93.69140625
664,664,8.173828125,47.28515625,93.427734375,10.283203125,62.314453125,97.998046875,-8.525390625,61.962890625,97.55859375,-9.84375,47.63671875,93.69140625
684,685,8.7890625,49.833984375,93.427734375,9.580078125,58.359375,99.66796875,-9.228515625,58.271484375,99.580078125,-9.228515625,49.921875,93.515625
704,705,9.66796875,53.4375,93.076171875,8.61328125,54.580078125,100.1953125,-10.283203125,54.931640625,100.458984375,-8.173828125,53.0859375,92.724609375
726,726,10.986328125,57.65625,91.58203125,7.20703125,51.50390625,99.931640625,-11.689453125,52.119140625,100.810546875,-6.767578125,57.12890625,90.615234375
745,746,12.216796875,61.962890625,88.59375,5.9765625,49.130859375,99.31640625,-12.919921875,49.921875,100.72265625,-5.625,60.8203125,86.923828125
764,764,12.3046875,65.21484375,84.375,5.9765625,47.28515625,98.7890625,-12.919921875,48.076171875,100.1953125,-5.537109375,63.896484375,82.6171875
784,784,12.392578125,66.97265625,80.595703125,5.888671875,45.966796875,98.0859375,-12.919921875,46.7578125,99.4921875,-5.537109375,65.830078125,78.92578125
804,805,12.48046875,67.763671875,78.486328125,5.80078125,45.0,97.119140625,-12.919921875,45.791015625,98.525390625,-5.361328125,66.533203125,76.728515625
825,826,12.83203125,70.13671875,80.68359375,5.625,42.36328125,92.109375,-12.48046875,43.2421875,93.603515625,-5.537109375,68.818359375,79.013671875
842,843,12.65625,71.630859375,83.056640625,5.80078125,42.5390625,92.28515625,-12.216796875,43.330078125,93.603515625,-5.888671875,70.400390625,81.474609375
864,864,12.12890625,71.3671875,85.869140625,6.416015625,43.06640625,92.4609375,-11.6015625,43.681640625,93.603515625,-6.50390625,70.3125,84.638671875
883,884,11.513671875,69.697265625,90.263671875,6.943359375,44.208984375,92.8125,-11.07421875,44.736328125,93.69140625,-7.119140625,68.818359375,89.208984375
905,906,10.8984375,66.357421875,94.921875,7.55859375,45.966796875,93.1640625,-10.37109375,46.40625,93.779296875,-7.822265625,65.830078125,94.21875
924,924,10.107421875,61.875,98.26171875,8.26171875,48.603515625,93.427734375,-9.66796875,48.69140625,93.69140625,-8.61328125,61.69921875,97.998046875
946,946,9.228515625,57.216796875,99.931640625,9.228515625,52.03125,93.1640625,-8.701171875,52.03125,93.076171875,-9.66796875,57.3046875,100.01953125
964,964,7.822265625,53.173828125,100.107421875,10.458984375,56.42578125,92.197265625,-7.294921875,55.8984375,91.40625,-11.07421875,53.61328125,100.810546875
986,986,6.240234375,50.009765625,99.4921875,12.041015625,60.99609375,89.47265625,-5.80078125,59.94140625,87.978515625,-12.65625,50.80078125,100.810546875
1003,1004,5.712890625,47.8125,98.876953125,12.48046875,64.6875,85.341796875,-5.2734375,63.28125,83.3203125,-13.18359375,48.69140625,100.458984375
1024,1024,5.712890625,46.318359375,98.26171875,12.568359375,66.97265625,80.771484375,-5.2734375,65.56640625,79.013671875,-13.18359375,47.109375,99.931640625
1044,1044,5.712890625,45.17578125,97.470703125,12.568359375,68.02734375,77.783203125,-5.2734375,66.708984375,76.025390625,-13.095703125,45.966796875,99.140625
1062,1063,5.625,44.296875,96.064453125,12.65625,68.203125,76.81640625,-5.2734375,66.97265625,75.05859375,-13.0078125,45.087890625,97.55859375
1084,1084,5.361328125,42.1875,92.109375,13.095703125,71.54296875,81.298828125,-5.361328125,70.13671875,79.62890625,-12.568359375,43.06640625,93.603515625
