begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
1,3,0,0,0,1923,0,-56,2,11200,32,0,1,FL-J1,2.0,0.0,0.52734375,0.52734375
24,26,1,1,0,1556,0,16,0,11300,31,0,2,FL-J2,25.0,45.966796875,45.791015625,-0.17578125
44,46,2,2,0,2991,0,24,1,11400,33,0,3,FL-J3,45.0,90.0,90.17578125,0.17578125
64,66,3,3,0,2094,0,40,0,11400,33,0,4,FR-J1,65.0,0.791015625,0.439453125,-0.3515625
81,83,4,4,0,2446,50,-48,2,11300,30,0,5,FR-J2,82.0,50.09765625,46.0546875,-4.04296875
101,103,5,5,0,1054,0,104,2,11400,32,0,6,FR-J3,102.0,98.26171875,90.263671875,-7.998046875
121,123,6,6,0,2108,0,40,1,11200,32,0,7,RL-J1,122.0,0.0,-0.3515625,-0.3515625
141,143,7,7,0,1402,-250,64,3,11300,29,0,8,RL-J2,142.0,50.009765625,47.4609375,-2.548828125
161,163,8,8,0,3005,300,-112,1,11300,35,0,9,RL-J3,162.0,97.119140625,91.494140625,-5.625
181,183,9,9,0,1946,0,-48,1,11300,33,0,10,RR-J1,182.0,0.0,-0.439453125,-0.439453125
201,203,10,10,0,2776,0,-32,1,11300,31,0,11,RR-J2,202.0,46.494140625,45.791015625,-0.703125
221,223,11,11,0,1021,0,0,0,11300,33,0,12,RR-J3,222.0,90.0,90.087890625,0.087890625
243,245,12,0,0,1923,0,-56,1,11200,32,0,1,FL-J1,244.0,0.0,0.52734375,0.52734375
263,265,13,1,0,1549,-100,56,3,11300,31,0,2,FL-J2,264.0,48.076171875,46.40625,-1.669921875
283,285,14,2,0,2991,0,44,1,11400,33,0,3,FL-J3,284.0,89.82421875,90.17578125,0.3515625
303,305,15,3,0,2143,300,-104,1,11400,33,0,4,FR-J1,304.0,18.017578125,4.74609375,-13.271484375
324,326,16,4,0,2510,200,-24,1,11300,30,0,5,FR-J2,325.0,47.4609375,51.6796875,4.21875
343,345,17,5,0,986,-300,116,1,11400,32,0,6,FR-J3,344.0,94.04296875,96.240234375,2.197265625
363,365,18,6,0,2108,0,28,1,11200,32,0,7,RL-J1,364.0,-0.52734375,-0.3515625,0.17578125
381,383,19,7,0,1396,250,-48,2,11300,29,0,8,RL-J2,382.0,45.615234375,47.98828125,2.373046875
403,405,20,8,0,3056,50,60,2,11300,35,0,9,RL-J3,404.0,91.142578125,95.9765625,4.833984375
423,425,21,9,0,1946,0,52,1,11300,33,0,10,RR-J1,424.0,-3.1640625,-0.439453125,2.724609375
443,445,22,10,0,2831,300,-72,4,11200,31,0,11,RR-J2,444.0,53.173828125,50.625,-2.548828125
464,466,23,11,0,1006,-250,116,1,11300,33,0,12,RR-J3,465.0,99.66796875,91.40625,-8.26171875
484,486,24,0,0,1912,-250,96,1,11200,32,0,1,FL-J1,485.0,5.9765625,1.494140625,-4.482421875
505,507,25,1,0,1483,-250,56,3,11300,31,0,2,FL-J2,506.0,49.482421875,52.20703125,2.724609375
525,527,26,2,0,3021,300,-120,3,11400,33,0,3,FL-J3,526.0,98.876953125,92.8125,-6.064453125
544,546,27,3,0,2215,300,-80,0,11300,33,0,4,FR-J1,545.0,11.162109375,11.07421875,-0.087890625
563,565,28,4,0,2476,0,-48,2,11300,30,0,5,FR-J2,564.0,63.720703125,48.69140625,-15.029296875
584,586,29,5,0,1002,300,-108,1,11400,60,0,6,FR-J3,585.0,89.912109375,94.833984375,4.921875
603,605,30,6,0,2154,300,-104,1,11200,32,0,7,RL-J1,604.0,-7.119140625,-4.39453125,2.724609375
624,626,31,7,0,1400,-300,72,5,11300,29,0,8,RL-J2,625.0,66.884765625,47.63671875,-19.248046875
645,647,32,8,0,2992,-300,84,0,11300,35,0,9,RL-J3,646.0,94.833984375,90.3515625,-4.482421875
665,667,33,9,0,1881,-300,104,0,11300,33,0,10,RR-J1,666.0,-9.84375,-6.15234375,3.69140625
685,687,34,10,0,2833,-300,48,1,11300,31,0,11,RR-J2,686.0,49.921875,50.80078125,0.87890625
705,707,35,11,0,948,-150,-28,0,11300,33,0,12,RR-J3,706.0,92.724609375,96.50390625,3.779296875
726,728,36,0,0,1844,-250,100,2,11200,32,0,1,FL-J1,727.0,10.986328125,7.470703125,-3.515625
746,748,37,1,0,1512,250,-24,0,11300,31,0,2,FL-J2,747.0,61.962890625,49.658203125,-12.3046875
764,766,38,2,0,3054,-100,108,3,11400,33,0,3,FL-J3,765.0,84.375,95.712890625,11.337890625
784,786,39,3,0,2198,-300,128,2,11300,33,0,4,FR-J1,785.0,5.888671875,9.580078125,3.69140625
805,807,40,4,0,2539,200,-24,0,11300,30,0,5,FR-J2,806.0,45.0,54.228515625,9.228515625
826,828,41,5,0,1028,-250,112,1,11400,32,0,6,FR-J3,827.0,92.109375,92.548828125,0.439453125
843,845,42,6,0,2222,300,-124,2,11200,37,0,7,RL-J1,844.0,-12.216796875,-10.37109375,1.845703125
864,866,43,7,0,1350,0,-24,0,11300,29,0,8,RL-J2,865.0,43.681640625,52.03125,8.349609375
884,886,44,8,0,3012,250,-104,1,11300,41,0,9,RL-J3,885.0,93.69140625,92.109375,-1.58203125
906,908,45,9,0,1858,250,-120,2,11300,33,0,10,RR-J1,907.0,-7.822265625,-8.173828125,-0.3515625
925,927,46,10,0,2841,300,-72,4,11300,31,0,11,RR-J2,926.0,61.69921875,51.50390625,-10.1953125
946,948,47,11,0,1002,300,-92,1,11300,33,0,12,RR-J3,947.0,100.01953125,91.7578125,-8.26171875
965,967,48,0,0,1787,-50,-24,0,11200,32,0,1,FL-J1,966.0,7.822265625,12.48046875,4.658203125
986,988,49,1,0,1471,-300,52,3,11300,31,0,2,FL-J2,987.0,50.009765625,53.26171875,3.251953125
1004,1006,50,2,0,2995,-150,-28,1,11400,33,0,3,FL-J3,1005.0,98.876953125,90.52734375,-8.349609375
1024,1026,51,3,0,2162,100,-112,2,11300,33,0,4,FR-J1,1025.0,12.568359375,6.416015625,-6.15234375
1044,1047,52,4,0,2496,-150,-16,0,11300,30,0,5,FR-J2,1045.5,68.02734375,50.44921875,-17.578125
1063,1065,53,5,0,1026,250,-96,1,11400,32,0,6,FR-J3,1064.0,76.81640625,92.724609375,15.908203125
1084,1086,54,6,0,2220,-300,144,4,11200,33,0,7,RL-J1,1085.0,-5.361328125,-10.1953125,-4.833984375
1104,1106,55,7,0,1380,-150,60,5,11300,29,0,8,RL-J2,1105.0,70.6640625,49.39453125,-21.26953125
1125,1127,56,8,0,2999,-250,120,1,11300,34,0,9,RL-J3,1126.0,86.484375,90.966796875,4.482421875
1146,1148,57,9,0,1841,-300,100,0,11300,33,0,10,RR-J1,1147.0,-10.72265625,-9.66796875,1.0546875
1166,1168,58,10,0,2857,-250,48,1,11200,31,0,11,RR-J2,1167.0,47.373046875,52.91015625,5.537109375
1186,1188,59,11,0,987,-200,68,1,11300,33,0,12,RR-J3,1187.0,93.515625,93.076171875,-0.439453125
1205,1207,60,0,0,1839,250,-96,1,11200,32,0,1,FL-J1,1206.0,9.931640625,7.91015625,-2.021484375
1226,1228,61,1,0,1491,300,-48,2,11300,31,0,2,FL-J2,1227.0,58.7109375,51.50390625,-7.20703125
1246,1248,62,2,0,3025,0,24,0,11400,33,0,3,FL-J3,1247.0,87.626953125,93.1640625,5.537109375
1264,1266,63,3,0,2219,0,28,1,11300,33,0,4,FR-J1,1265.0,5.712890625,11.42578125,5.712890625
1284,1286,64,4,0,2549,200,-32,1,11300,30,0,5,FR-J2,1285.0,45.703125,55.107421875,9.404296875
1304,1306,65,5,0,1073,0,96,3,11400,32,0,6,FR-J3,1305.0,97.03125,88.59375,-8.4375
1326,1328,66,6,0,2191,200,-112,2,11200,32,0,7,RL-J1,1327.0,-12.568359375,-7.646484375,4.921875
1343,1345,67,7,0,1323,-50,-16,0,11300,29,0,8,RL-J2,1344.0,43.06640625,54.404296875,11.337890625
1364,1366,68,8,0,2982,250,-116,3,11300,34,0,9,RL-J3,1365.0,93.603515625,89.47265625,-4.130859375
1385,1387,69,9,0,1847,300,-128,2,11300,33,0,10,RR-J1,1386.0,-7.119140625,-9.140625,-2.021484375
1406,1408,70,10,0,2842,300,-76,3,11200,31,0,11,RR-J2,1407.0,65.91796875,51.591796875,-14.326171875
1425,1427,71,11,0,1023,300,-96,1,11300,33,0,12,RR-J3,1426.0,97.998046875,89.912109375,-8.0859375
1446,1448,72,0,0,1810,-250,80,0,11200,32,0,1,FL-J1,1447.0,9.228515625,10.458984375,1.23046875
1465,1467,73,1,0,1472,-300,72,5,11300,31,0,2,FL-J2,1466.0,53.173828125,53.173828125,0.0
1486,1488,74,2,0,2974,-200,20,0,11400,33,0,3,FL-J3,1487.0,99.4921875,88.681640625,-10.810546875
1504,1506,75,3,0,2174,-100,0,0,11400,33,0,4,FR-J1,1505.0,12.48046875,7.470703125,-5.009765625
