send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
21,22,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
42,42,0.0,45.966796875,90.0,0.0,46.23046875,90.263671875,0.0,46.23046875,90.263671875,0.0,45.966796875,90.0
61,62,0.0,45.966796875,90.0,0.087890625,46.494140625,90.966796875,0.0,46.494140625,90.87890625,0.0,45.966796875,90.0
80,80,0.0,45.966796875,90.0,0.263671875,47.109375,91.93359375,0.0,47.021484375,91.669921875,0.0,45.966796875,90.0
100,100,0.0,45.966796875,90.0,0.52734375,47.8125,93.076171875,0.0,47.724609375,92.8125,0.0,45.966796875,90.0
121,122,0.0,45.966796875,90.0,0.87890625,48.69140625,94.482421875,0.0,48.427734375,94.04296875,0.0,45.966796875,90.0
141,142,0.0,45.966796875,90.0,1.318359375,49.482421875,95.80078125,0.0,49.130859375,95.185546875,0.0,45.966796875,90.0
161,162,0.0,45.966796875,90.0,1.93359375,50.2734375,97.03125,0.0,49.833984375,96.064453125,0.0,45.966796875,90.0
180,180,0.0,45.966796875,90.0,2.4609375,50.888671875,97.998046875,0.0,50.185546875,96.6796875,0.0,45.966796875,90.0
200,200,0.0,45.966796875,90.0,3.33984375,51.416015625,98.61328125,0.0,50.537109375,97.03125,0.0,45.966796875,90.0
220,220,0.0,45.966796875,90.0,4.21875,51.767578125,98.96484375,0.0,50.625,97.119140625,0.0,45.966796875,90.0
240,240,0.0,45.966796875,90.0,5.185546875,52.03125,99.404296875,0.0,50.712890625,97.119140625,0.0,45.966796875,90.0
260,260,0.0,46.142578125,90.0,6.328125,52.294921875,99.66796875,0.0,50.80078125,97.119140625,0.0,46.142578125,90.0
280,280,0.0,46.318359375,90.0,7.3828125,52.470703125,100.01953125,0.0,50.80078125,97.119140625,0.0,46.318359375,90.0
300,300,0.0,46.58203125,90.0,8.61328125,52.55859375,100.37109375,0.0,50.712890625,97.119140625,0.0,46.58203125,90.0
320,320,0.0,47.021484375,90.0,9.84375,52.55859375,100.634765625,0.0,50.625,97.119140625,0.0,47.021484375,90.0
341,342,0.0,47.63671875,90.0,10.986328125,52.470703125,100.810546875,0.0,50.361328125,97.119140625,0.0,47.63671875,90.0
361,362,0.0,48.427734375,89.912109375,12.12890625,52.294921875,100.986328125,0.0,50.09765625,97.119140625,0.0,48.427734375,89.912109375
381,382,0.0,49.39453125,89.736328125,13.271484375,52.119140625,101.07421875,0.0,49.833984375,97.119140625,0.0,49.39453125,89.736328125
401,402,0.0,50.712890625,89.47265625,14.326171875,51.6796875,101.07421875,0.0,49.39453125,97.119140625,0.0,50.712890625,89.47265625
423,423,0.0,52.294921875,89.033203125,15.205078125,51.240234375,100.8984375,0.0,48.8671875,96.943359375,0.0,52.294921875,89.033203125
443,443,0.0,53.876953125,88.330078125,16.083984375,50.361328125,100.1953125,0.0,48.076171875,96.240234375,0.0,53.876953125,88.330078125
463,463,0.0,55.72265625,87.275390625,16.69921875,49.306640625,99.140625,0.0,47.021484375,95.009765625,0.0,55.72265625,87.275390625
483,484,0.0,57.3046875,86.1328125,17.314453125,47.98828125,97.55859375,0.0,45.791015625,93.603515625,0.0,57.3046875,86.1328125
503,503,0.0,58.53515625,84.90234375,17.578125,46.7578125,95.9765625,0.0,44.560546875,92.021484375,0.0,58.53515625,84.90234375
521,522,0.0,59.4140625,83.759765625,17.9296875,45.87890625,94.833984375,0.0,43.681640625,90.791015625,0.0,59.4140625,83.759765625
541,542,0.0,60.1171875,82.79296875,18.017578125,45.17578125,94.04296875,0.0,43.06640625,90.087890625,0.0,60.1171875,82.79296875
561,561,0.0,60.732421875,82.001953125,18.017578125,44.912109375,93.69140625,0.0,42.802734375,89.82421875,0.0,60.732421875,82.001953125
579,580,0.0,61.171875,81.2109375,18.017578125,44.736328125,93.69140625,0.0,42.626953125,89.82421875,0.0,61.171875,81.2109375
601,601,0.0,61.787109375,80.771484375,18.017578125,44.560546875,93.69140625,0.0,42.36328125,89.82421875,0.0,61.787109375,80.771484375
621,621,0.087890625,62.578125,81.123046875,17.9296875,44.47265625,93.69140625,-0.087890625,42.36328125,89.82421875,0.0,62.578125,81.123046875
641,641,0.17578125,63.45703125,82.177734375,17.841796875,44.47265625,93.69140625,-0.17578125,42.36328125,89.912109375,-0.087890625,63.369140625,82.08984375
661,661,0.439453125,64.3359375,83.935546875,17.578125,44.560546875,93.779296875,-0.439453125,42.626953125,90.0,-0.263671875,64.16015625,83.759765625
681,681,0.703125,64.86328125,85.95703125,17.314453125,44.912109375,93.779296875,-0.703125,42.890625,90.17578125,-0.439453125,64.775390625,85.869140625
701,701,1.142578125,65.126953125,88.41796875,16.875,45.263671875,93.8671875,-0.966796875,43.41796875,90.439453125,-0.703125,65.0390625,88.2421875
723,723,1.494140625,64.775390625,90.615234375,16.5234375,45.791015625,94.04296875,-1.40625,43.857421875,90.703125,-0.966796875,64.6875,90.439453125
743,743,2.021484375,63.984375,92.63671875,16.083984375,46.40625,94.130859375,-1.93359375,44.736328125,90.966796875,-1.40625,63.80859375,92.28515625
763,764,2.4609375,62.841796875,94.21875,15.556640625,47.197265625,94.130859375,-2.373046875,45.52734375,91.23046875,-1.93359375,62.578125,94.04296875
783,784,2.98828125,61.259765625,95.625,15.205078125,48.076171875,94.21875,-2.8125,46.494140625,91.494140625,-2.373046875,61.171875,95.361328125
803,804,3.427734375,59.765625,96.767578125,14.677734375,49.21875,94.21875,-3.33984375,47.724609375,91.669921875,-2.98828125,59.677734375,96.591796875
823,824,3.8671875,58.18359375,97.734375,14.326171875,50.361328125,94.130859375,-3.69140625,49.04296875,91.7578125,-3.603515625,58.095703125,97.55859375
843,844,4.306640625,56.6015625,98.26171875,13.88671875,51.767578125,93.8671875,-4.130859375,50.537109375,91.669921875,-4.39453125,56.6015625,98.4375
