begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
0,2,0,0,0,1923,0,-56,2,11200,32,0,1,FL-J1,1.0,0.0,0.52734375,0.52734375
22,24,1,1,0,1556,0,16,1,11300,31,0,2,FL-J2,23.0,45.966796875,45.791015625,-0.17578125
42,44,2,2,0,2991,0,24,1,11400,34,0,3,FL-J3,43.0,90.0,90.17578125,0.17578125
62,64,3,3,0,2094,0,48,1,11300,34,0,4,FR-J1,63.0,0.087890625,0.439453125,0.3515625
80,82,4,4,0,2444,0,-28,2,11300,31,0,5,FR-J2,81.0,47.109375,45.87890625,-1.23046875
100,102,5,5,0,1055,0,72,1,11400,32,0,6,FR-J3,101.0,93.076171875,90.17578125,-2.900390625
122,124,6,6,0,2110,0,56,2,11200,32,0,7,RL-J1,123.0,0.0,-0.52734375,-0.52734375
142,144,7,7,0,1409,-200,52,3,11300,30,0,8,RL-J2,143.0,49.130859375,46.845703125,-2.28515625
162,164,8,8,0,3000,250,-116,2,11300,35,0,9,RL-J3,163.0,96.064453125,91.0546875,-5.009765625
180,182,9,9,0,1946,0,-48,1,11300,33,0,10,RR-J1,181.0,0.0,-0.439453125,-0.439453125
200,202,10,10,0,2776,0,-16,0,11200,32,0,11,RR-J2,201.0,45.966796875,45.791015625,-0.17578125
221,223,11,11,0,1021,0,0,0,11300,33,0,12,RR-J3,222.0,90.0,90.087890625,0.087890625
240,242,12,0,0,1923,0,-56,1,11200,32,0,1,FL-J1,241.0,0.0,0.52734375,0.52734375
260,262,13,1,0,1556,0,28,0,11300,31,0,2,FL-J2,261.0,46.142578125,45.791015625,-0.3515625
280,282,14,2,0,2991,0,24,1,11300,34,0,3,FL-J3,281.0,90.0,90.17578125,0.17578125
300,302,15,3,0,2126,350,-96,1,11300,34,0,4,FR-J1,301.0,8.61328125,3.251953125,-5.361328125
320,322,16,4,0,2506,300,-56,2,11300,31,0,5,FR-J2,321.0,52.55859375,51.328125,-1.23046875
342,344,17,5,0,993,-250,128,2,11400,32,0,6,FR-J3,343.0,100.810546875,95.625,-5.185546875
362,364,18,6,0,2110,0,56,2,11200,32,0,7,RL-J1,363.0,0.0,-0.52734375,-0.52734375
382,384,19,7,0,1367,0,-28,0,11300,30,0,8,RL-J2,383.0,49.833984375,50.537109375,0.703125
402,404,20,8,0,3063,150,-44,0,11300,35,0,9,RL-J3,403.0,97.119140625,96.591796875,-0.52734375
423,425,21,9,0,1946,0,-48,1,11300,33,0,10,RR-J1,424.0,0.0,-0.439453125,-0.439453125
444,446,22,10,0,2804,300,-76,3,11200,32,0,11,RR-J2,445.0,53.876953125,48.251953125,-5.625
464,466,23,11,0,1025,50,-76,1,11200,34,0,12,RR-J3,465.0,87.275390625,89.736328125,2.4609375
484,486,24,0,0,1923,0,-56,2,11200,32,0,1,FL-J1,485.0,0.0,0.52734375,0.52734375
503,505,25,1,0,1509,-300,60,4,11300,31,0,2,FL-J2,504.0,58.53515625,49.921875,-8.61328125
522,524,26,2,0,2973,-200,108,2,11400,34,0,3,FL-J3,523.0,83.759765625,88.59375,4.833984375
542,544,27,3,0,2197,300,-112,1,11300,34,0,4,FR-J1,543.0,18.017578125,9.4921875,-8.525390625
561,564,28,4,0,2482,-300,48,0,11300,31,0,5,FR-J2,562.5,44.912109375,49.21875,4.306640625
580,582,29,5,0,938,-50,-44,1,11400,32,0,6,FR-J3,581.0,93.69140625,100.458984375,6.767578125
601,603,30,6,0,2110,0,56,2,11200,32,0,7,RL-J1,602.0,0.0,-0.52734375,-0.52734375
621,623,31,7,0,1424,300,-60,2,11300,30,0,8,RL-J2,622.0,42.36328125,45.52734375,3.1640625
641,643,32,8,0,3030,-300,112,1,11300,35,0,9,RL-J3,642.0,89.912109375,93.69140625,3.779296875
661,663,33,9,0,1946,0,-28,1,11300,33,0,10,RR-J1,662.0,-0.263671875,-0.439453125,-0.17578125
681,683,34,10,0,2875,300,-76,3,11200,32,0,11,RR-J2,682.0,64.775390625,54.4921875,-10.283203125
701,703,35,11,0,1089,300,-80,0,11200,33,0,12,RR-J3,702.0,88.2421875,84.111328125,-4.130859375
723,725,36,0,0,1923,0,44,0,11200,32,0,1,FL-J1,724.0,1.494140625,0.52734375,-0.966796875
744,746,37,1,0,1438,-300,76,3,11300,31,0,2,FL-J2,745.0,63.984375,56.162109375,-7.822265625
764,766,38,2,0,2910,-150,20,0,11400,34,0,3,FL-J3,765.0,94.21875,83.056640625,-11.162109375
784,786,39,3,0,2269,250,-64,0,11300,34,0,4,FR-J1,785.0,15.205078125,15.8203125,0.615234375
