send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
21,22,0.0,45.966796875,90.0,0.0,45.966796875,90.087890625,0.0,45.966796875,90.087890625,0.0,45.966796875,90.0
41,42,0.0,45.966796875,90.0,0.0,46.23046875,90.439453125,0.0,46.23046875,90.439453125,0.0,45.966796875,90.0
61,62,0.0,45.966796875,90.0,0.087890625,46.7578125,91.40625,0.0,46.669921875,91.318359375,0.0,45.966796875,90.0
80,80,0.0,45.966796875,90.0,0.263671875,47.4609375,92.63671875,0.0,47.373046875,92.4609375,0.0,45.966796875,90.0
101,102,0.0,45.966796875,90.0,0.52734375,48.427734375,94.130859375,0.0,48.1640625,93.779296875,0.0,45.966796875,90.0
121,122,0.0,45.966796875,90.0,0.87890625,49.306640625,95.625,0.0,49.04296875,95.09765625,0.0,45.966796875,90.0
141,142,0.0,45.966796875,90.0,1.318359375,50.09765625,96.943359375,0.0,49.833984375,96.240234375,0.0,45.966796875,90.0
161,162,0.0,45.966796875,90.0,1.93359375,50.80078125,97.822265625,0.0,50.2734375,96.767578125,0.0,45.966796875,90.0
180,180,0.0,45.966796875,90.0,2.4609375,51.328125,98.26171875,0.0,50.625,97.119140625,0.0,45.966796875,90.0
200,200,0.0,45.966796875,90.0,3.33984375,51.767578125,98.61328125,0.0,50.888671875,97.119140625,0.0,45.966796875,90.0
220,220,0.0,45.966796875,90.0,4.21875,52.20703125,98.96484375,0.0,50.9765625,97.119140625,0.0,45.966796875,90.0
240,240,0.0,45.966796875,90.0,5.185546875,52.470703125,99.31640625,0.0,51.064453125,97.03125,0.0,45.966796875,90.0
260,260,0.0,46.142578125,90.0,6.328125,52.734375,99.66796875,0.0,51.064453125,97.03125,0.0,46.142578125,90.0
280,280,0.0,46.318359375,90.0,7.3828125,52.734375,100.01953125,0.0,50.9765625,97.119140625,0.0,46.318359375,90.0
