begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
0,2,0,4,0,2443,0,-16,0,10900,30,0,5,FR-J2,1.0,45.966796875,45.791015625,-0.17578125
2,4,0,5,0,1055,0,-24,0,10900,32,0,6,FR-J3,3.0,90.0,90.17578125,0.17578125
22,24,1,6,0,2110,0,56,1,10900,32,0,7,RL-J1,23.0,0.0,-0.52734375,-0.52734375
24,26,1,7,0,1421,0,16,0,10900,30,0,8,RL-J2,25.0,45.966796875,45.791015625,-0.17578125
42,44,2,8,0,2989,0,0,0,10900,34,0,9,RL-J3,43.0,90.439453125,90.087890625,-0.3515625
44,46,2,9,0,1946,0,-48,1,10900,33,0,10,RR-J1,45.0,0.0,-0.439453125,-0.439453125
62,64,3,10,0,2777,0,-8,0,10800,31,0,11,RR-J2,63.0,45.966796875,45.87890625,-0.087890625
64,66,3,11,0,1019,0,-32,1,10800,33,0,12,RR-J3,65.0,90.0,90.263671875,0.263671875
81,83,4,0,0,1921,0,-72,2,10800,32,0,1,FL-J1,82.0,0.0,0.703125,0.703125
83,85,4,1,0,1556,0,16,0,10900,31,0,2,FL-J2,84.0,45.966796875,45.791015625,-0.17578125
102,104,5,2,0,2991,0,24,1,10900,33,0,3,FL-J3,103.0,90.0,90.17578125,0.17578125
104,106,5,3,0,2094,0,20,0,10900,34,0,4,FR-J1,105.0,0.52734375,0.439453125,-0.087890625
122,124,6,4,0,2458,350,-104,6,10900,30,0,5,FR-J2,123.0,49.306640625,47.109375,-2.197265625
124,126,6,5,0,1051,-50,156,4,10900,32,0,6,FR-J3,125.0,95.625,90.52734375,-5.09765625
142,144,7,6,0,2110,0,56,2,10800,32,0,7,RL-J1,143.0,0.0,-0.52734375,-0.52734375
144,146,7,7,0,1397,-400,92,6,10900,30,0,8,RL-J2,145.0,49.833984375,47.900390625,-1.93359375
162,164,8,8,0,3009,350,-188,4,10800,34,0,9,RL-J3,163.0,96.767578125,91.845703125,-4.921875
164,166,8,9,0,1946,0,-48,2,10900,33,0,10,RR-J1,165.0,0.0,-0.439453125,-0.439453125
180,182,9,10,0,2777,0,-8,0,10800,31,0,11,RR-J2,181.0,45.966796875,45.87890625,-0.087890625
182,184,9,11,0,1019,0,-32,0,10800,33,0,12,RR-J3,183.0,90.0,90.263671875,0.263671875
200,202,10,0,0,1921,0,-72,2,10800,32,0,1,FL-J1,201.0,0.0,0.703125,0.703125
202,204,10,1,0,1556,0,16,0,10900,31,0,2,FL-J2,203.0,45.966796875,45.791015625,-0.17578125
221,223,11,2,0,2991,0,24,1,11000,33,0,3,FL-J3,222.0,90.0,90.17578125,0.17578125
223,225,11,3,0,2106,250,-108,1,10900,34,0,4,FR-J1,224.0,4.21875,1.494140625,-2.724609375
240,242,12,4,0,2508,400,-68,3,10900,30,0,5,FR-J2,241.0,52.470703125,51.50390625,-0.966796875
242,244,12,5,0,995,-500,208,3,11000,32,0,6,FR-J3,243.0,99.31640625,95.44921875,-3.8671875
261,263,13,6,0,2110,0,56,1,10900,32,0,7,RL-J1,262.0,0.0,-0.52734375,-0.52734375
263,265,13,7,0,1363,-50,16,0,10900,30,0,8,RL-J2,264.0,51.064453125,50.888671875,-0.17578125
281,283,14,8,0,3058,300,-76,0,10900,35,0,9,RL-J3,282.0,97.119140625,96.15234375,-0.966796875
283,285,14,9,0,1946,0,-48,1,10900,33,0,10,RR-J1,284.0,0.0,-0.439453125,-0.439453125
301,303,15,10,0,2777,0,-40,1,10800,31,0,11,RR-J2,302.0,46.58203125,45.87890625,-0.703125
303,305,15,11,0,1019,0,-32,1,10800,33,0,12,RR-J3,304.0,90.0,90.263671875,0.263671875
321,323,16,0,0,1921,0,-72,2,10800,32,0,1,FL-J1,322.0,0.0,0.703125,0.703125
323,325,16,1,0,1552,-150,48,2,10900,31,0,2,FL-J2,324.0,47.021484375,46.142578125,-0.87890625
342,344,17,2,0,2991,0,24,1,11000,33,0,3,FL-J3,343.0,90.0,90.17578125,0.17578125
344,346,17,3,0,2153,500,-180,2,10900,34,0,4,FR-J1,345.0,10.986328125,5.625,-5.361328125
362,364,18,4,0,2517,-150,8,0,10900,30,0,5,FR-J2,363.0,52.03125,52.294921875,0.263671875
364,366,18,5,0,948,-300,108,2,10900,32,0,6,FR-J3,365.0,100.986328125,99.580078125,-1.40625
382,384,19,6,0,2110,0,56,1,10800,32,0,7,RL-J1,383.0,0.0,-0.52734375,-0.52734375
384,386,19,7,0,1372,200,-40,1,10900,30,0,8,RL-J2,385.0,49.39453125,50.09765625,0.703125
402,404,20,8,0,3065,0,-40,1,10800,34,0,9,RL-J3,403.0,97.119140625,96.767578125,-0.3515625
404,406,20,9,0,1946,0,-48,1,10900,33,0,10,RR-J1,405.0,0.0,-0.439453125,-0.439453125
423,425,21,10,0,2811,400,-128,7,10800,31,0,11,RR-J2,424.0,52.294921875,48.8671875,-3.427734375
425,427,21,11,0,1021,100,-64,0,10800,33,0,12,RR-J3,426.0,89.033203125,90.087890625,1.0546875
443,445,22,0,0,1921,0,-72,2,10800,32,0,1,FL-J1,444.0,0.0,0.703125,0.703125
445,447,22,1,0,1507,-600,160,17,10800,31,0,2,FL-J2,446.0,53.876953125,50.09765625,-3.779296875
464,466,23,2,0,2985,-150,92,1,10900,33,0,3,FL-J3,465.0,87.275390625,89.6484375,2.373046875
466,468,23,3,0,2222,600,-196,1,10900,34,0,4,FR-J1,467.0,16.69921875,11.689453125,-5.009765625
484,486,24,4,0,2494,-300,60,1,10900,30,0,5,FR-J2,485.0,48.427734375,50.2734375,1.845703125
486,488,24,5,0,935,0,-24,0,10900,32,0,6,FR-J3,487.0,98.61328125,100.72265625,2.109375
504,506,25,6,0,2110,0,56,1,10800,32,0,7,RL-J1,505.0,0.0,-0.52734375,-0.52734375
