send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,0,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
18,19,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
38,39,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
58,59,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
78,79,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
98,99,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
118,119,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
138,139,8.876953125,56.337890625,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-10.01953125,56.42578125,100.1953125
160,160,8.701171875,56.162109375,100.01953125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-9.84375,56.42578125,100.1953125
180,180,7.998046875,55.72265625,99.931640625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-8.876953125,55.8984375,100.107421875
201,202,6.416015625,54.66796875,99.4921875,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-7.20703125,54.931640625,99.84375
221,222,4.39453125,53.26171875,98.96484375,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-5.009765625,53.4375,99.228515625
241,242,2.373046875,51.767578125,98.173828125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-2.724609375,51.943359375,98.4375
261,262,0.87890625,50.712890625,97.55859375,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-0.966796875,50.712890625,97.55859375
280,280,0.087890625,50.009765625,97.20703125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,-0.17578125,50.009765625,97.20703125
300,300,0.0,49.921875,97.119140625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.921875,97.119140625
318,319,0.0,49.921875,97.119140625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.921875,97.119140625
338,339,0.0,49.921875,97.119140625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.921875,97.119140625
360,360,0.0,49.921875,97.03125,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.921875,97.03125
380,380,0.0,49.658203125,96.6796875,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.658203125,96.6796875
400,400,0.0,49.306640625,95.9765625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,49.306640625,95.9765625
420,420,0.0,48.69140625,94.921875,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,48.69140625,94.921875
441,442,0.0,47.98828125,93.603515625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,47.98828125,93.603515625
461,462,0.0,47.28515625,92.28515625,9.4921875,52.91015625,93.076171875,-8.4375,52.734375,92.900390625,0.0,47.28515625,92.28515625
