begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
0,2,0,10,0,2918,-700,116,4,10900,32,0,11,RR-J2,1.0,56.42578125,58.271484375,1.845703125
19,21,1,11,0,947,-600,192,3,10900,33,0,12,RR-J3,20.0,100.1953125,96.591796875,-3.603515625
39,41,2,0,0,1819,100,-76,1,10800,32,0,1,FL-J1,40.0,8.876953125,9.66796875,0.791015625
59,61,3,1,0,1437,300,8,1,10900,31,0,2,FL-J2,60.0,56.337890625,56.25,-0.087890625
79,81,4,2,0,3092,350,-80,3,11000,34,0,3,FL-J3,80.0,100.01953125,99.052734375,-0.966796875
99,101,5,3,0,2195,0,-24,1,11000,34,0,4,FR-J1,100.0,9.4921875,9.31640625,-0.17578125
119,121,6,4,0,2523,0,-8,0,10900,31,0,5,FR-J2,120.0,52.91015625,52.822265625,-0.087890625
139,141,7,5,0,1021,0,0,0,11000,32,0,6,FR-J3,140.0,93.076171875,93.1640625,0.087890625
160,162,8,6,0,2204,0,40,0,10900,32,0,7,RL-J1,161.0,-8.4375,-8.7890625,-0.3515625
180,182,9,7,0,1343,0,8,0,11000,30,0,8,RL-J2,181.0,52.734375,52.646484375,-0.087890625
202,204,10,8,0,3022,0,0,0,10900,35,0,9,RL-J3,203.0,92.900390625,92.98828125,0.087890625
222,224,11,9,0,1838,0,-88,3,10900,33,0,10,RR-J1,223.0,-5.009765625,-9.931640625,-4.921875
242,244,12,10,0,2883,-250,124,6,10900,32,0,11,RR-J2,243.0,51.943359375,55.1953125,3.251953125
262,264,13,11,0,909,0,-84,2,10800,34,0,12,RR-J3,263.0,97.55859375,99.931640625,2.373046875
280,282,14,0,0,1840,300,-200,6,10800,32,0,1,FL-J1,281.0,0.087890625,7.822265625,7.734375
300,302,15,1,0,1491,750,-116,4,10900,31,0,2,FL-J2,301.0,49.921875,51.50390625,1.58203125
319,321,16,2,0,3085,-300,104,2,11000,33,0,3,FL-J3,320.0,97.119140625,98.4375,1.318359375
339,341,17,3,0,2195,0,-24,0,11000,34,0,4,FR-J1,340.0,9.4921875,9.31640625,-0.17578125
360,362,18,4,0,2523,0,-8,0,10900,31,0,5,FR-J2,361.0,52.91015625,52.822265625,-0.087890625
380,382,19,5,0,1021,0,0,0,11000,32,0,6,FR-J3,381.0,93.076171875,93.1640625,0.087890625
400,402,20,6,0,2204,0,40,1,10900,32,0,7,RL-J1,401.0,-8.4375,-8.7890625,-0.3515625
420,422,21,7,0,1344,0,16,0,10900,30,0,8,RL-J2,421.0,52.734375,52.55859375,-0.17578125
442,444,22,8,0,3022,0,0,0,10900,35,0,9,RL-J3,443.0,92.900390625,92.98828125,0.087890625
462,464,23,9,0,1940,350,-84,1,10900,33,0,10,RR-J1,463.0,0.0,-0.966796875,-0.966796875
480,482,24,10,0,2802,-350,60,3,10900,32,0,11,RR-J2,481.0,46.669921875,48.076171875,1.40625
500,502,25,11,0,961,350,-188,3,10800,34,0,12,RR-J3,501.0,90.439453125,95.361328125,4.921875
520,522,26,0,0,1923,50,-52,1,10800,32,0,1,FL-J1,521.0,0.0,0.52734375,0.52734375
540,542,27,1,0,1550,300,-32,0,10900,31,0,2,FL-J2,541.0,45.966796875,46.318359375,0.3515625
559,561,28,2,0,3020,-450,164,1,11000,34,0,3,FL-J3,560.0,90.0,92.724609375,2.724609375
579,581,29,3,0,2195,0,-24,0,11000,34,0,4,FR-J1,580.0,9.4921875,9.31640625,-0.17578125
599,601,30,4,0,2523,0,-8,0,10900,31,0,5,FR-J2,600.0,52.91015625,52.822265625,-0.087890625
619,621,31,5,0,1021,0,0,0,11000,32,0,6,FR-J3,620.0,93.076171875,93.1640625,0.087890625
639,641,32,6,0,2204,0,40,1,10900,32,0,7,RL-J1,640.0,-8.4375,-8.7890625,-0.3515625
659,661,33,7,0,1344,0,16,0,11000,30,0,8,RL-J2,660.0,52.734375,52.55859375,-0.17578125
679,681,34,8,0,3022,0,0,0,10900,35,0,9,RL-J3,680.0,92.900390625,92.98828125,0.087890625
699,701,35,9,0,1946,0,-48,1,10900,33,0,10,RR-J1,700.0,0.0,-0.439453125,-0.439453125
719,721,36,10,0,2777,0,-8,0,10900,32,0,11,RR-J2,720.0,45.966796875,45.87890625,-0.087890625
739,741,37,11,0,1019,0,-32,0,10900,34,0,12,RR-J3,740.0,90.0,90.263671875,0.263671875
759,761,38,0,0,1923,0,-56,1,10800,32,0,1,FL-J1,760.0,0.0,0.52734375,0.52734375
779,781,39,1,0,1555,0,8,0,10900,31,0,2,FL-J2,780.0,45.966796875,45.87890625,-0.087890625
800,802,40,2,0,2991,0,24,1,11000,33,0,3,FL-J3,801.0,90.0,90.17578125,0.17578125
820,822,41,3,0,2195,0,-24,0,11000,34,0,4,FR-J1,821.0,9.4921875,9.31640625,-0.17578125
842,844,42,4,0,2522,0,-48,3,10900,31,0,5,FR-J2,843.0,53.96484375,52.734375,-1.23046875
862,864,43,5,0,1021,0,80,2,11000,32,0,6,FR-J3,863.0,96.591796875,93.1640625,-3.427734375
882,884,44,6,0,2204,0,40,1,10900,32,0,7,RL-J1,883.0,-8.4375,-8.7890625,-0.3515625
902,904,45,7,0,1325,-400,120,8,10900,30,0,8,RL-J2,903.0,56.42578125,54.228515625,-2.197265625
920,922,46,8,0,3033,250,-168,4,10800,35,0,9,RL-J3,921.0,99.66796875,93.955078125,-5.712890625
940,942,47,9,0,1946,0,-48,1,10900,33,0,10,RR-J1,941.0,0.0,-0.439453125,-0.439453125
960,962,48,10,0,2777,0,-8,0,10900,32,0,11,RR-J2,961.0,45.966796875,45.87890625,-0.087890625
980,982,49,11,0,1019,0,-32,1,10800,34,0,12,RR-J3,981.0,90.0,90.263671875,0.263671875
1002,1004,50,0,0,1923,0,-56,1,10800,32,0,1,FL-J1,1003.0,0.0,0.52734375,0.52734375
1022,1024,51,1,0,1555,0,8,1,10900,31,0,2,FL-J2,1023.0,45.966796875,45.87890625,-0.087890625
1042,1044,52,2,0,2991,0,24,0,11000,34,0,3,FL-J3,1043.0,90.0,90.17578125,0.17578125
1062,1064,53,3,0,2188,-100,160,4,11000,34,0,4,FR-J1,1063.0,0.966796875,8.701171875,7.734375
1082,1084,54,4,0,2525,-700,152,5,10900,31,0,5,FR-J2,1083.0,50.009765625,52.998046875,2.98828125
1100,1102,55,5,0,948,-100,-40,0,11000,32,0,6,FR-J3,1101.0,97.119140625,99.580078125,2.4609375
1119,1121,56,6,0,2168,-500,244,6,10900,32,0,7,RL-J1,1120.0,0.0,-5.625,-5.625
1139,1141,57,7,0,1373,500,-8,0,10900,30,0,8,RL-J2,1140.0,49.921875,50.009765625,0.087890625
1160,1162,58,8,0,3085,-200,112,0,10900,35,0,9,RL-J3,1161.0,97.03125,98.525390625,1.494140625
1180,1182,59,9,0,1946,0,-48,1,11000,33,0,10,RR-J1,1181.0,0.0,-0.439453125,-0.439453125
1200,1202,60,10,0,2777,0,-8,0,10900,32,0,11,RR-J2,1201.0,45.966796875,45.87890625,-0.087890625
1220,1222,61,11,0,1019,0,-32,0,10800,34,0,12,RR-J3,1221.0,90.0,90.263671875,0.263671875
1242,1244,62,0,0,1924,0,-48,1,10800,32,0,1,FL-J1,1243.0,0.0,0.439453125,0.439453125
1262,1264,63,1,0,1555,0,8,1,10900,31,0,2,FL-J2,1263.0,45.966796875,45.87890625,-0.087890625
1280,1282,64,2,0,2991,0,24,1,11000,34,0,3,FL-J3,1281.0,90.0,90.17578125,0.17578125
