leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RL,2.62,2.64,0.02,8.029889898551266,286.82991248816427,5.7365982497632855,0.9724822438719649,0.9724822438719649
RR,2.92,3.1,0.18,10.608266492259768,863.634863220122,98.74130563228138,0.42574552903202934,0.6043002165320295
FL,3.14,3.16,0.02,8.01835129171226,309.5652304045022,6.191304608090044,0.6801990498068706,0.6801990498068706
FL,3.22,3.26,0.04,15.772458151114499,224.92797046004677,8.066079636862764,0.8037975061896221,0.8322971213820356
RR,3.24,3.3,0.06,6.775900485079415,248.46091651852274,6.9741265741628435,0.8322971213820356,0.879414705133714
FL,3.32,3.34,0.02,5.561445494577546,176.7297330936726,3.534594661873452,0.926250642633714,0.926250642633714
RL,3.56,3.64,0.08,6.022920290340223,642.0344231793258,16.96019103826118,0.2744663179877178,0.3189842928412332
RL,3.66,3.7,0.04,4.407760214081762,612.9070969110268,21.834677656477353,0.34648429284123305,0.36183429250744714
RL,3.78,3.8,0.02,2.4873513540463357,508.9835741178186,10.179671482356373,0.44856788525608904,0.44856788525608904
RL,3.82,3.84,0.02,3.073044664585408,482.2616766035017,9.645233532070035,0.4925413239958656,0.4925413239958656
RL,3.86,4.0,0.14,6.8588608361602,770.4428451218525,68.71007881220837,0.5429147661688698,0.7281765116217505
FR,3.98,4.0,0.02,6.109276270554625,528.6407100761465,10.572814201522931,0.7281765116217505,0.7281765116217505
FR,4.06,4.1,0.04,16.150796777762228,209.995867847372,7.967241611097656,0.8455788553717507,0.8742702616217508
RL,4.06,4.1,0.04,3.1176429976957536,211.50807191849486,6.435442133497794,0.8455788553717507,0.8742702616217508
RL,4.12,4.14,0.02,8.329462587441236,68.93727815056482,1.3787455630112964,0.9268530739310161,0.9268530739310161
RR,4.36,4.38,0.02,5.294206616158356,42.46419773062744,0.8492839546125488,0.22630153546360887,0.22630153546360887
RR,4.44,4.54,0.1,9.597198033119332,653.2697436857352,50.46530446703912,0.34776090989140407,0.4069538773062602
FL,4.76,4.78,0.02,7.696287160973449,265.4431428619673,5.308862857239347,0.6721808446410076,0.6721808446410076
FL,4.84,4.88,0.04,15.477924393312437,291.0691577272373,9.77116465687103,0.8033058727743998,0.8319972790243999
RR,4.88,4.92,0.04,8.203222872954623,143.05408981940735,3.842537822666106,0.8606886852744,0.8893800915243999
FL,4.92,4.94,0.02,6.263797757469813,224.7626025266988,4.495252050533976,0.9132714975836649,0.9132714975836649
RR,4.96,5.04,0.08,8.260431541471956,126.69712383191901,7.2499572567615616,0.9487496222021954,0.9979097784521951
FL,5.02,5.04,0.02,8.568120720590432,32.80207423789473,0.6560414847578946,0.9979097784521951,0.9979097784521951
RL,5.22,5.36,0.14,6.748877157461916,351.8928463624379,26.701254773699862,0.2326504207613842,0.36349026451138466
RL,5.38,5.6,0.22,6.991045288547619,834.2946738261479,134.58763009777357,0.4094472957613846,0.6906242729189773
FR,5.6,5.62,0.02,11.368660491965432,272.06406199919905,5.441281239983981,0.7201945854189773,0.7201945854189773
FR,5.66,5.72,0.06,16.519211347823596,229.83643089941168,11.82877007203328,0.8089055229189772,0.8562148977282422
RL,5.7,5.74,0.04,5.504839846846541,92.06872058099715,2.4952757045067044,0.8562148977282422,0.8787539602282421
FR,5.78,5.8,0.02,5.521429350247606,164.9776839508308,3.299553679016616,0.9463711477282419,0.9463711477282419
RR,6.0,6.02,0.02,7.159981636254306,37.49571701668172,0.7499143403336345,0.28070088872937093,0.28070088872937093
RR,6.06,6.12,0.06,8.156006499977092,424.84583751939755,20.28975625979536,0.33391809711483855,0.3579024721148385
RR,6.14,6.22,0.08,4.806745940099618,774.1892745055745,43.71432003002619,0.3810079408648386,0.4156661439898386
RR,6.3,6.36,0.06,3.9170491236881286,396.4813149728285,22.02237469900447,0.49742981085804816,0.5413352764609232
RR,6.42,6.46,0.04,5.460340238210324,547.3460637662304,20.331865827029105,0.6483462179663553,0.6790989554884805
FL,6.46,6.48,0.02,7.3603318580471555,396.4019310186782,7.928038620373565,0.7114516938689126,0.7114516938689126
FL,6.54,6.58,0.04,15.809475121375172,207.58209711666916,7.7488702685654065,0.8372255266669169,0.8641591204169168
RR,6.54,6.56,0.02,3.721929674091637,185.06237897315893,3.7012475794631787,0.8372255266669169,0.8372255266669169
RR,6.58,6.64,0.06,8.289852901262257,224.49005587236286,6.188733814601751,0.8910927141669167,0.9331286514761818
FL,6.64,6.66,0.02,5.299034980585686,137.71319713656422,2.7542639427312845,0.953030995226182,0.953030995226182
RL,6.88,7.04,0.16,7.648302253443874,425.8720589079664,38.00850818964693,0.2574591578009502,0.39206541428593544
RL,7.06,7.18,0.12,6.957635023243544,811.8093194361794,69.15787032304927,0.434033385610856,0.5669533289435282
RL,7.2,7.24,0.04,7.493692274160958,559.6874665156068,20.50786759343176,0.6313213122847452,0.6659053052428141
FR,7.26,7.28,0.02,11.963969442280186,287.75202175197376,5.755040435039475,0.7281560863020791,0.7281560863020791
FR,7.34,7.38,0.04,15.957190314672841,222.20473665003215,7.988268470630521,0.8306170238020791,0.8514322579863443
RL,7.38,7.4,0.02,3.829230374335021,42.760058526899,0.8552011705379801,0.8713346017363444,0.8713346017363444
RR,7.68,7.72,0.04,5.315173696910052,101.88243898857611,2.584365438318545,0.25626981148747374,0.27617216239003106
