leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RL,2.62,2.64,0.02,8.029889898551266,286.82991248816427,5.7365982497632855,0.9724822438719649,0.9724822438719649
RR,2.92,3.08,0.16,10.624880448727874,872.7852213386979,103.60273708913698,0.42574552903202934,0.5822006071570294
RR,3.12,3.14,0.02,6.7771937691309505,519.9907003894967,10.399814007789935,0.6532994378569501,0.6532994378569501
FL,3.14,3.16,0.02,7.559586782749639,341.43272690098485,6.8286545380196975,0.6801990498068706,0.6801990498068706
FL,3.22,3.26,0.04,15.89538247766228,217.82087348091522,7.824631261918509,0.803583828306474,0.831869765615739
RR,3.26,3.3,0.04,7.14017229816014,65.00160858495845,2.0430055970451484,0.8553557027342693,0.8787736714842693
RR,3.36,3.38,0.02,5.9667519602265555,158.04527059153338,3.160905411830668,0.9740455473425764,0.9740455473425764
RL,3.56,3.74,0.18,5.900396420662388,689.8455705965201,73.14534417602789,0.27382528433827336,0.3993639613154307
RL,3.8,3.82,0.02,3.271748855716604,518.4160823337329,10.368321646674659,0.4830522442820444,0.4830522442820444
RL,3.88,3.98,0.1,6.612053381740261,632.5064540238112,59.857954881903524,0.5920928812983408,0.7259565711977856
FR,3.96,3.98,0.02,6.524191753310746,534.5916015870963,10.691832031741926,0.7259565711977856,0.7259565711977856
FR,4.04,4.08,0.04,15.884336215604787,219.21567013397473,8.355029905653137,0.8451507116320507,0.8747210241320507
RL,4.04,4.08,0.04,3.3160023871687945,220.2143418671082,6.7176527927521645,0.8451507116320507,0.8747210241320507
RL,4.1,4.12,0.02,7.699331672387839,66.48808533629202,1.3297617067258403,0.9338616491320506,0.9338616491320506
FR,4.14,4.16,0.02,6.836776919978325,124.812580711914,2.49625161423828,0.9820499301913157,0.9820499301913157
RR,4.34,4.38,0.04,6.0711340679952075,79.99186190123517,2.0334403623147264,0.24061321983364947,0.2610229850771797
RR,4.4,4.48,0.08,7.464732565334081,468.1729885398399,28.91605770430114,0.30170657882717977,0.3587768913271798
RR,4.5,4.56,0.06,6.920768395011533,683.5710544392992,33.78876617136249,0.39682376632717986,0.4364706421854867
RR,4.64,4.72,0.08,7.427945125328559,845.0521102582042,47.28446064863512,0.5635878468516244,0.6590581799509896
FL,4.74,4.76,0.02,9.193031626216161,441.0815616992341,8.821631233984682,0.7190777112009896,0.7190777112009896
FL,4.82,4.88,0.06,16.3364644404252,258.41205621934233,11.964166165945695,0.8298882580759899,0.8837554455759897
RR,4.86,4.92,0.06,8.406714105238652,127.39086697314741,3.6870723331476016,0.8837554455759897,0.9392226339342966
FL,4.94,4.96,0.02,5.231854536661851,123.01278885317338,2.4602557770634674,0.9913320089342967,0.9913320089342967
RL,5.14,5.2,0.06,6.398574536884925,98.06062962372567,4.50231956149339,0.2662788988116158,0.30115976104763886
RL,5.22,5.28,0.06,7.043260686193879,391.94260901087006,21.438162956772903,0.3348121047976389,0.37226171383885287
RL,5.34,5.52,0.18,7.159430389282263,726.4354968544443,114.78089518264038,0.4531554664137736,0.6885430110457316
FR,5.52,5.54,0.02,5.344677842061202,699.9149138001824,13.998298276003649,0.7238262141707317,0.7238262141707317
FR,5.6,5.66,0.06,16.36192706153343,261.8599339411739,12.55207159343988,0.8364285577299968,0.8911746514799967
RL,5.64,5.7,0.06,7.686234604052484,68.41306406693585,2.4264508445468063,0.8911746514799967,0.942878557539262
FR,5.72,5.74,0.02,7.950997026350002,63.55530522931551,1.2711061045863101,0.985319963789262,0.985319963789262
RR,5.92,5.94,0.02,6.198900091072661,54.5056747364012,1.090113494728024,0.2373473204138652,0.2373473204138652
RR,5.98,6.02,0.04,7.879857190936736,531.6461325635279,13.03519890072547,0.3199398983481303,0.33947075734166043
RR,6.04,6.22,0.18,7.419570397763167,865.0786305455925,106.07408527803346,0.37312310109166047,0.5413324810030833
FL,6.32,6.34,0.02,12.924359064826394,160.28122952063816,3.2056245904127634,0.7309887577059642,0.7309887577059642
FL,6.38,6.44,0.06,16.270491666973214,282.6013861502784,13.034180657340558,0.8153391481402295,0.8709641481402295
RR,6.42,6.46,0.04,6.536065641742074,99.87326672082737,2.7373631899275743,0.8709641481402295,0.8987766481402295
RL,6.7,6.72,0.02,5.251755190933021,36.855973074152956,0.7371194614830592,0.2185790062907118,0.2185790062907118
RL,6.74,6.76,0.02,5.397479065937256,22.09946652798335,0.441989330559667,0.27771963129071175,0.27771963129071175
RL,6.78,6.82,0.04,8.530724812076325,361.8955467004283,10.725233247606972,0.322460255718507,0.33972588071850707
RL,6.84,6.92,0.08,6.738353155491052,880.0338054050161,56.22974947623981,0.3742571307185072,0.42693291196850747
FR,7.12,7.14,0.02,12.840501055226396,158.6547835582474,3.173095671164948,0.7244505084517383,0.7244505084517383
FR,7.18,7.24,0.06,16.257101560566078,277.8125939855753,12.839914882883527,0.8144798053267384,0.8744993365767384
RL,7.22,7.26,0.04,6.875984323491912,109.44747774722276,2.9977427501690537,0.8744993365767384,0.8997091020110035
FR,7.3,7.32,0.02,8.09909653035441,90.16451195718328,1.8032902391436656,0.9512364448073292,0.9512364448073292
RL,7.36,7.38,0.02,5.5740150147938685,74.31710536256426,1.4863421072512852,0.9993598819735434,0.9993598819735434
RR,7.56,7.72,0.16,6.5631457051079005,417.5004160796481,36.318725192020295,0.24505286941555982,0.3710618532660388
RR,7.76,7.88,0.12,7.04472729707106,733.1685094775983,63.95450312631526,0.4356927121642018,0.5701907719138051
RR,7.94,7.96,0.02,7.407946049418018,556.6372854615552,11.132745709231104,0.7039985955717944,0.7039985955717944
FL,7.96,7.98,0.02,11.69585433865013,278.8768271499276,5.577536542998551,0.7336028922560596,0.7336028922560596
FL,8.04,8.08,0.04,15.793536845876382,227.8035389175711,8.296789527404913,0.8418107045653247,0.8652286733153247
RR,8.06,8.1,0.04,4.683895015753863,94.3345931986317,2.525600676740314,0.8652286733153247,0.8886466420653247
FL,8.14,8.16,0.02,5.595867477425932,158.0361405765831,3.160722811531662,0.9589005483153248,0.9589005483153248
RL,8.34,8.36,0.02,7.435671300537475,27.627238189391008,0.5525447637878201,0.2618802798750781,0.2618802798750781
RL,8.4,8.5,0.1,8.249836659302312,532.4586793071089,41.868510611329796,0.3129342044356249,0.3607451416018388
RL,8.54,8.62,0.08,5.367341334121654,609.579591724532,37.192862207388686,0.40980334172276467,0.4725185752871415
RL,8.7,8.78,0.08,7.2627781692947595,828.0776215462213,52.143842231704184,0.6084248424532792,0.7091686130526444
FR,8.78,8.8,0.02,13.072796142356507,257.74297733407866,5.154859546681573,0.7395498705866717,0.7395498705866717
FR,8.86,8.92,0.06,16.14834992675984,325.50315786625316,14.096667374832501,0.8437686205866719,0.8974779964449788
RL,8.88,8.94,0.06,7.620642990631437,100.38393855356642,3.1450250867327614,0.869823308086672,0.9203326846125508
FR,8.98,9.0,0.02,4.212736391490092,158.5853193331255,3.1717063866625104,0.9826764346125507,0.9826764346125507
RR,9.18,9.2,0.02,7.617368582352204,22.92555248318146,0.4585110496636292,0.24808896551159854,0.24808896551159854
RR,9.24,9.28,0.04,8.750049295830095,716.5124530577434,16.786302063273062,0.33923273811367993,0.36001399526623734
RR,9.3,9.36,0.06,8.089958902186638,916.392523921488,45.38300959568709,0.39062415847805987,0.4198819709780599
