leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RL,2.56,2.58,0.02,9.478541569633908,229.86592573983012,4.597318514796602,0.9156906559310407,0.9156906559310407
FR,2.58,2.6,0.02,8.158349224268024,282.1016907433807,5.642033814867614,0.9556906559310407,0.9556906559310407
RR,2.88,2.9,0.02,9.016825020970993,803.988440191844,16.07976880383688,0.4914472963653058,0.4914472963653058
RR,2.98,3.02,0.04,7.8950613092551425,1101.7454426157915,43.44594159618275,0.5962664367995709,0.6161687805495708
FL,3.16,3.24,0.08,14.625926484829774,266.81069053218954,14.058233897133888,0.8089875485740154,0.9070946004233806
FL,3.28,3.3,0.02,6.892585232743433,140.81463123031384,2.8162926246062767,0.9829594590506998,0.9829594590506998
RL,3.5,3.52,0.02,2.431183626687288,51.248330549700604,1.024966610994012,0.27876534245829276,0.27876534245829276
RL,3.54,3.58,0.04,6.6489569053918425,261.29134828049575,8.27865545097254,0.334863779767558,0.360479014142558
RL,3.62,3.68,0.06,7.808720290386684,645.4697971056393,35.645053462501124,0.43732471726755806,0.4885551860175581
RL,3.8,3.82,0.02,7.597351083030495,641.202327043826,12.824046540876521,0.7014399602256269,0.7014399602256269
FR,3.86,3.88,0.02,13.259039119129978,183.99615839278377,3.6799231678556756,0.789271991475627,0.789271991475627
FR,3.92,3.98,0.06,15.586427547707125,180.1527575660335,9.798054227155767,0.8700727727256268,0.9239399602256266
RR,4.24,4.26,0.02,4.129920906333285,135.59919920995617,2.7119839841991236,0.3268141915641274,0.3268141915641274
RR,4.32,4.4,0.08,4.480063388282233,664.7112014978429,43.01226454470121,0.40290794156412746,0.4695782592139688
RR,4.46,4.54,0.08,7.225414013366092,725.6495346617355,47.05013213663575,0.5808720280967203,0.6811423637710061
RR,4.58,4.6,0.02,6.896934439758253,565.6434899371554,11.312869798743108,0.7705064346633401,0.7705064346633401
FL,4.62,4.64,0.02,12.952960399650618,235.34242786807792,4.706848557361559,0.8252525284133401,0.8252525284133401
FL,4.68,4.76,0.08,14.506089620227822,93.17137369940518,7.316602206726861,0.90737166903834,0.9942908122382605
FR,5.22,5.24,0.02,3.559980941130143,206.73601913624972,4.1347203827249945,0.5538509812198134,0.5538509812198134
FR,5.28,5.34,0.06,10.71186495431652,486.6075370190665,18.512566901144126,0.6255908241115065,0.6814173903308363
FR,5.38,5.42,0.04,10.05449976536082,497.49328908337895,19.729340103194858,0.7762904443583936,0.8089369287333936
FR,5.44,5.46,0.02,9.464593655874083,479.7952678900794,9.595905357801588,0.8659142722926589,0.8659142722926589
FR,5.48,5.52,0.04,9.162755682647465,283.56567237526036,7.42271382304889,0.9136291160426591,0.9374865379176591
RL,5.52,5.56,0.04,5.6650681624303765,58.09896719398758,1.8374870864525497,0.9613439597926592,0.9852013816676592
FR,5.54,5.56,0.02,7.209901157595121,44.392184139140554,0.8878436827828111,0.9852013816676592,0.9852013816676592
RR,5.74,5.76,0.02,2.96623546103034,61.61502043914426,1.2323004087828853,0.305375646575496,0.305375646575496
RR,5.78,5.82,0.04,7.42098674292823,285.644103258617,9.327816907007472,0.35789050482134566,0.37694793365816825
RR,5.86,5.88,0.02,6.42853727288943,615.1700521058572,12.303401042117144,0.42478973053316826,0.42478973053316826
FL,6.16,6.18,0.02,13.873848973857182,143.67640624846194,2.873528124969239,0.8235495354972338,0.8235495354972338
FL,6.22,6.28,0.06,15.332475014931163,184.47506385442315,9.969817431729428,0.9148971917472335,0.9678854729972337
RL,6.54,6.56,0.02,3.733564850891253,212.29690995370328,4.2459381990740654,0.3480878283820603,0.3480878283820603
RL,6.6,6.64,0.04,4.616512541341368,544.5066759137501,20.332098931079422,0.41174993775706037,0.4329706408820604
RL,6.68,6.74,0.06,5.955492372514042,702.6691963004993,33.756815739416524,0.4995511104903674,0.5508714272819017
RL,6.78,6.84,0.06,7.24805796950868,684.8112383868598,32.767512028569605,0.6398519089065051,0.7071722342811084
FR,6.9,6.92,0.02,13.182893677908064,184.07653568524816,3.681530713704963,0.8283597495398973,0.8283597495398973
FR,6.96,7.04,0.08,14.102279590544613,108.45619362280407,8.250542669463472,0.9091605307898971,0.9928796722732038
FL,7.22,7.28,0.06,3.2467648763635704,548.2361229056689,18.69878922242762,0.3119976570449321,0.35443906329493213
FL,7.54,7.58,0.04,10.178303982093919,546.5204932297161,14.627992725606724,0.6849031498275249,0.7180449535689801
FL,7.66,7.68,0.02,9.819096398535315,174.0497289999459,3.480994579998918,0.8833726956687418,0.8833726956687418
FL,7.72,7.76,0.04,10.69506819901251,125.9965553848016,4.835080541853618,0.966844179853007,0.994656679853007
RR,7.72,7.74,0.02,2.704165645159548,65.13500865961957,1.3027001731923915,0.966844179853007,0.966844179853007
RL,7.98,8.0,0.02,4.4953018820894295,192.64472994045332,3.8528945988090664,0.3563738753638712,0.3563738753638712
RL,8.04,8.1,0.06,4.240616552966777,672.5237512478508,37.92552845222337,0.40431762479166666,0.4344543435416668
RL,8.16,8.18,0.02,2.9412822063222084,434.96836244887027,8.699367248977406,0.5043277790389507,0.5043277790389507
FR,8.4,8.42,0.02,14.636304667384406,142.40252209701686,2.848050441940337,0.853218417390391,0.853218417390391
FR,8.46,8.5,0.04,13.950464338438039,108.0517051807025,4.143745240928238,0.949839511140391,0.982046542390391
FL,8.7,8.72,0.02,3.1838520436101385,287.3276899260007,5.746553798520014,0.33029538176874773,0.33029538176874773
FL,9.02,9.04,0.02,5.808336003973722,173.44777390457284,3.468955478091457,0.5859227170787302,0.5859227170787302
FL,9.06,9.14,0.08,10.479949249604786,562.3046823616498,37.267792847169304,0.6399914707980601,0.7266946067653146
FL,9.18,9.2,0.02,9.056089888597057,476.1479802295137,9.522959604590273,0.7969485130153147,0.7969485130153147
FL,9.24,9.34,0.1,8.44757362983051,346.46643832924326,15.736053854819808,0.8688024201236217,0.984874307139918
RR,9.24,9.26,0.02,4.941303613839731,211.0093920278547,4.220187840557093,0.8688024201236217,0.8688024201236217
RR,9.3,9.34,0.04,6.396255102907531,45.84468877560915,1.5415334066548199,0.9534563340983837,0.984874307139918
RL,9.5,9.52,0.02,2.349485285803855,196.54872895619945,3.930974579123989,0.29588489673952756,0.29588489673952756
RL,9.56,9.62,0.06,6.821353390353282,435.88796915143536,24.049115742551546,0.3623876299701183,0.39428216122011817
RL,9.7,9.82,0.12,4.447568189084951,636.409235403951,63.78808833417557,0.47881848834376006,0.5985548260055034
RL,9.88,9.9,0.02,4.477248110552374,706.9523078837905,14.139046157675809,0.7231439115844218,0.7231439115844218
FR,9.94,9.96,0.02,13.87665932048511,162.42256243720558,3.2484512487441117,0.8197650053344219,0.8197650053344219
FR,10.0,10.06,0.06,15.27056933622129,160.89111753043218,8.498116807000551,0.9155071928344218,0.9790423490844218
FL,10.28,10.3,0.02,2.777935907530511,361.4537413806571,7.229074827613142,0.3486697008452859,0.3486697008452859
RR,10.3,10.32,0.02,2.611875584460759,415.05798934885036,8.301159786977006,0.3655298569045513,0.3655298569045513
FL,10.66,10.68,0.02,5.528180249367118,461.2515636266071,9.225031272532142,0.7053564300380197,0.7053564300380197
FL,10.72,10.76,0.04,16.394925332871136,236.94799915632683,8.577939760797276,0.8055029263339486,0.8381494107089487
RR,10.8,10.82,0.02,5.7203794214882615,222.8770259888118,4.457540519776236,0.9312888636432137,0.9312888636432137
FL,10.82,10.84,0.02,8.250550665308024,213.05802598981992,4.261160519796398,0.9543353476367438,0.9543353476367438
RL,11.16,11.3,0.14,9.502937346998028,593.9991780951691,45.87491175071263,0.2851439430556739,0.480615053399607
RL,11.34,11.4,0.06,6.629510713344889,1134.5077236707941,60.55025197111088,0.5426213028274023,0.5833048965774021
FR,11.48,11.5,0.02,5.492560258834866,462.6919609766515,9.253839219533031,0.7090138938270054,0.7090138938270054
FR,11.56,11.62,0.06,15.076932189098665,219.39806063800214,9.871520504725005,0.8358463337264499,0.9002603962264499
RL,11.66,11.68,0.02,6.398724074057056,48.42316543359071,0.9684633086718143,0.99688148997645,0.99688148997645
FL,11.84,11.86,0.02,1.0065048120972537,134.7984921963468,2.695969843926936,0.29945493243555643,0.29945493243555643
RR,11.88,11.96,0.08,4.729515276158452,567.4138930215756,31.317921514337453,0.34507446311335177,0.37953110240320775
RR,12.18,12.2,0.02,2.521577790239347,377.6863937771854,7.553727875543708,0.5479764010749304,0.5479764010749304
RR,12.22,12.24,0.02,4.294387508122388,391.88939169141076,7.837787833828216,0.5976506187758885,0.5976506187758885
RR,12.3,12.32,0.02,6.57257142343254,457.8172742908018,9.156345485816036,0.7161990644774878,0.7161990644774878
FL,12.38,12.4,0.02,15.206874277470039,200.094037932652,4.00188075865304,0.8419510176024878,0.8419510176024878
FL,12.44,12.48,0.04,14.148646706415352,102.17698650485457,3.916594630273239,0.935935392602488,0.9688635184607948
FR,12.68,12.72,0.04,3.4188520769990856,457.17969644525107,13.01048186106733,0.3280768062911472,0.3460416509948214
FR,12.98,13.0,0.02,4.043031662047094,357.183589910576,7.14367179821152,0.5802533640704592,0.5802533640704592
FR,13.04,13.1,0.06,11.113260761675654,480.2866101834192,26.299196207018348,0.6685564985118351,0.73542525909762
FR,13.12,13.16,0.04,9.40266664418074,702.7309070636719,23.486806985297083,0.7897658839068851,0.8097361960254152
FR,13.18,13.34,0.16,8.719374044518514,318.81079816686105,20.956037003638887,0.8416307272754151,0.9772615887961824
RL,13.2,13.22,0.02,5.006051197000118,121.12494776214267,2.4224989552428533,0.857577992900415,0.857577992900415
RL,13.26,13.34,0.08,7.421878231937178,33.58294287535273,2.292099047535395,0.9102197887740571,0.9772615887961824
RR,13.52,13.54,0.02,2.7331420832294637,142.3282334299225,2.8465646685984503,0.30052179120401923,0.30052179120401923
RR,13.58,13.7,0.12,6.872136634027492,703.0778599389805,75.74939171723696,0.38284483693461,0.4609592892966705
