begin,end,command,joint,status,raw,speed_raw,load_raw,current_raw,voltage_mv,temperature_c,hardware_error,servo_id,joint_name,time_ms,target_deg,actual_deg,error_deg
0,2,0,0,0,1932,0,32,0,11100,36,0,1,FL-J1,1.0,0.0,-0.263671875,-0.263671875
2,4,0,1,0,1558,0,32,2,11300,35,0,2,FL-J2,3.0,45.966796875,45.615234375,-0.3515625
22,24,1,2,0,3003,0,120,7,11300,39,0,3,FL-J3,23.0,90.0,91.23046875,1.23046875
24,26,1,3,0,2084,0,-48,1,11300,37,0,4,FR-J1,25.0,0.0,-0.439453125,-0.439453125
42,44,2,4,0,2445,0,0,0,11300,34,0,5,FR-J2,43.0,46.142578125,45.966796875,-0.17578125
44,46,2,5,0,1036,0,-168,14,11400,40,0,6,FR-J3,45.0,90.17578125,91.845703125,1.669921875
62,64,3,6,0,2102,0,-24,0,11200,37,0,7,RL-J1,63.0,0.0,0.17578125,0.17578125
64,66,3,7,0,1424,0,64,6,11200,34,0,8,RL-J2,65.0,46.40625,45.52734375,-0.87890625
81,83,4,8,0,3017,0,204,16,11200,45,0,9,RL-J3,82.0,91.318359375,92.548828125,1.23046875
83,85,4,9,0,1948,0,-32,1,11300,37,0,10,RR-J1,84.0,0.0,-0.263671875,-0.263671875
101,103,5,10,0,2774,0,-32,2,11200,36,0,11,RR-J2,102.0,45.966796875,45.615234375,-0.3515625
103,105,5,11,0,996,0,-216,18,11200,42,0,12,RR-J3,104.0,90.0,92.28515625,2.28515625
122,124,6,0,0,1932,0,32,0,11200,36,0,1,FL-J1,123.0,0.0,-0.263671875,-0.263671875
124,126,6,1,0,1558,0,32,2,11300,35,0,2,FL-J2,125.0,45.966796875,45.615234375,-0.3515625
142,144,7,2,0,3003,0,120,6,11300,39,0,3,FL-J3,143.0,90.0,91.23046875,1.23046875
144,146,7,3,0,2084,0,-68,2,11300,37,0,4,FR-J1,145.0,0.263671875,-0.439453125,-0.703125
162,164,8,4,0,2463,250,-116,7,11300,34,0,5,FR-J2,163.0,49.658203125,47.548828125,-2.109375
164,166,8,5,0,1029,-200,68,0,11400,41,0,6,FR-J3,165.0,95.9765625,92.4609375,-3.515625
182,184,9,6,0,2103,0,20,0,11200,37,0,7,RL-J1,183.0,0.0,0.087890625,0.087890625
184,186,9,7,0,1400,-350,176,25,11100,34,0,8,RL-J2,185.0,50.361328125,47.63671875,-2.724609375
202,204,10,8,0,3032,300,-88,0,11300,45,0,9,RL-J3,203.0,97.91015625,93.8671875,-4.04296875
204,206,10,9,0,1952,100,20,0,11300,37,0,10,RR-J1,205.0,0.0,0.087890625,0.087890625
221,223,11,10,0,2776,0,-8,0,11200,36,0,11,RR-J2,222.0,45.87890625,45.791015625,-0.087890625
223,225,11,11,0,995,0,-224,19,11200,43,0,12,RR-J3,224.0,90.0,92.373046875,2.373046875
241,243,12,0,0,1934,50,52,1,11200,36,0,1,FL-J1,242.0,0.0,-0.439453125,-0.439453125
243,245,12,1,0,1552,-50,-24,1,11300,35,0,2,FL-J2,244.0,45.87890625,46.142578125,0.263671875
261,263,13,2,0,3004,0,128,7,11300,39,0,3,FL-J3,262.0,90.0,91.318359375,1.318359375
263,265,13,3,0,2098,50,-40,0,11300,37,0,4,FR-J1,264.0,1.494140625,0.791015625,-0.703125
281,283,14,4,0,2510,400,-108,7,11300,34,0,5,FR-J2,282.0,52.998046875,51.6796875,-1.318359375
283,285,14,5,0,977,-550,144,0,11400,41,0,6,FR-J3,284.0,100.1953125,97.03125,-3.1640625
301,303,15,6,0,2110,50,56,2,11200,37,0,7,RL-J1,302.0,0.0,-0.52734375,-0.52734375
303,305,15,7,0,1351,-300,56,3,11300,34,0,8,RL-J2,304.0,52.734375,51.943359375,-0.791015625
321,323,16,8,0,3075,200,-144,1,11300,45,0,9,RL-J3,322.0,99.31640625,97.646484375,-1.669921875
323,325,16,9,0,1956,50,48,1,11300,37,0,10,RR-J1,324.0,0.0,0.439453125,0.439453125
341,343,17,10,0,2777,0,-24,0,11200,36,0,11,RR-J2,342.0,46.23046875,45.87890625,-0.3515625
343,345,17,11,0,994,0,-236,21,11200,43,0,12,RR-J3,344.0,90.0,92.4609375,2.4609375
361,363,18,0,0,1936,0,64,2,11200,36,0,1,FL-J1,362.0,0.0,-0.615234375,-0.615234375
363,365,18,1,0,1548,0,-16,1,11300,35,0,2,FL-J2,364.0,46.318359375,46.494140625,0.17578125
381,383,19,2,0,3005,0,136,8,11300,39,0,3,FL-J3,382.0,90.0,91.40625,1.40625
383,385,19,3,0,2114,200,-84,2,11300,37,0,4,FR-J1,384.0,3.8671875,2.197265625,-1.669921875
401,403,20,4,0,2530,100,-64,4,11300,34,0,5,FR-J2,402.0,54.228515625,53.4375,-0.791015625
403,405,20,5,0,937,-150,48,0,11400,41,0,6,FR-J3,404.0,101.162109375,100.546875,-0.615234375
421,423,21,6,0,2109,0,48,1,11200,37,0,7,RL-J1,422.0,0.0,-0.439453125,-0.439453125
423,425,21,7,0,1340,0,16,0,11300,34,0,8,RL-J2,424.0,53.0859375,52.91015625,-0.17578125
441,443,22,8,0,3089,0,-48,1,11300,45,0,9,RL-J3,442.0,99.31640625,98.876953125,-0.439453125
443,445,22,9,0,1958,0,64,2,11300,37,0,10,RR-J1,444.0,0.0,0.615234375,0.615234375
461,463,23,10,0,2782,150,-80,6,11200,80,0,11,RR-J2,462.0,47.4609375,46.318359375,-1.142578125
463,465,23,10,0,2782,150,-80,7,11200,36,0,11,RR-J2,464.0,47.4609375,46.318359375,-1.142578125
481,483,24,11,0,992,0,-248,23,11200,43,0,12,RR-J3,482.0,89.912109375,92.63671875,2.724609375
483,485,24,0,0,1938,0,80,3,11200,36,0,1,FL-J1,484.0,0.0,-0.791015625,-0.791015625
501,503,25,1,0,1539,-50,52,2,11300,35,0,2,FL-J2,502.0,48.076171875,47.28515625,-0.791015625
503,505,25,2,0,3006,50,152,13,11300,39,0,3,FL-J3,504.0,89.912109375,91.494140625,1.58203125
