send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0,1,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
22,23,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0,0.0,45.966796875,90.0
42,43,0.0,45.966796875,90.0,0.0,46.23046875,90.263671875,0.0,46.23046875,90.263671875,0.0,45.966796875,90.0
62,63,0.0,45.966796875,90.0,0.087890625,46.494140625,90.966796875,0.0,46.494140625,90.87890625,0.0,45.966796875,90.0
81,81,0.0,45.966796875,90.0,0.263671875,47.109375,91.93359375,0.0,47.021484375,91.669921875,0.0,45.966796875,90.0
101,101,0.0,45.966796875,90.0,0.52734375,47.8125,93.076171875,0.0,47.724609375,92.8125,0.0,45.966796875,90.0
122,123,0.0,45.966796875,90.0,0.87890625,48.69140625,94.482421875,0.0,48.427734375,94.04296875,0.0,45.966796875,90.0
142,143,0.0,45.966796875,90.0,1.318359375,49.482421875,95.80078125,0.0,49.130859375,95.185546875,0.0,45.966796875,90.0
162,163,0.0,45.966796875,90.0,1.93359375,50.2734375,97.03125,0.0,49.833984375,96.064453125,0.0,45.966796875,90.0
181,181,0.0,45.966796875,90.0,2.4609375,50.888671875,97.998046875,0.0,50.185546875,96.6796875,0.0,45.966796875,90.0
201,201,0.0,45.966796875,90.0,3.33984375,51.416015625,98.61328125,0.0,50.537109375,97.03125,0.0,45.966796875,90.0
221,221,0.0,45.966796875,90.0,4.21875,51.767578125,98.96484375,0.0,50.625,97.119140625,0.0,45.966796875,90.0
241,241,0.0,45.966796875,90.0,5.185546875,52.03125,99.404296875,0.0,50.712890625,97.119140625,0.0,45.966796875,90.0
261,261,0.0,46.142578125,90.0,6.328125,52.294921875,99.66796875,0.0,50.80078125,97.119140625,0.0,46.142578125,90.0
281,281,0.0,46.318359375,90.0,7.3828125,52.470703125,100.01953125,0.0,50.80078125,97.119140625,0.0,46.318359375,90.0
301,301,0.0,46.58203125,90.0,8.61328125,52.55859375,100.37109375,0.0,50.712890625,97.119140625,0.0,46.58203125,90.0
321,321,0.0,47.021484375,90.0,9.84375,52.55859375,100.634765625,0.0,50.625,97.119140625,0.0,47.021484375,90.0
342,343,0.0,47.63671875,90.0,10.986328125,52.470703125,100.810546875,0.0,50.361328125,97.119140625,0.0,47.63671875,90.0
362,363,0.0,48.427734375,89.912109375,12.12890625,52.294921875,100.986328125,0.0,50.09765625,97.119140625,0.0,48.427734375,89.912109375
382,383,0.0,49.39453125,89.736328125,13.271484375,52.119140625,101.07421875,0.0,49.833984375,97.119140625,0.0,49.39453125,89.736328125
402,403,0.0,50.712890625,89.47265625,14.326171875,51.6796875,101.07421875,0.0,49.39453125,97.119140625,0.0,50.712890625,89.47265625
424,424,0.0,52.294921875,89.033203125,15.205078125,51.240234375,100.8984375,0.0,48.8671875,96.943359375,0.0,52.294921875,89.033203125
444,444,0.0,53.876953125,88.330078125,16.083984375,50.361328125,100.1953125,0.0,48.076171875,96.240234375,0.0,53.876953125,88.330078125
464,464,0.0,55.72265625,87.275390625,16.69921875,49.306640625,99.140625,0.0,47.021484375,95.009765625,0.0,55.72265625,87.275390625
484,485,0.0,57.3046875,86.1328125,17.314453125,47.98828125,97.55859375,0.0,45.791015625,93.603515625,0.0,57.3046875,86.1328125
504,504,0.0,58.53515625,84.90234375,17.578125,46.7578125,95.9765625,0.0,44.560546875,92.021484375,0.0,58.53515625,84.90234375
522,523,0.0,59.4140625,83.759765625,17.9296875,45.87890625,94.833984375,0.0,43.681640625,90.791015625,0.0,59.4140625,83.759765625
542,543,0.0,60.1171875,82.79296875,18.017578125,45.17578125,94.04296875,0.0,43.06640625,90.087890625,0.0,60.1171875,82.79296875
562,563,0.0,60.732421875,81.9140625,18.017578125,44.912109375,93.69140625,0.0,42.71484375,89.82421875,0.0,60.732421875,81.9140625
580,581,0.0,61.259765625,81.123046875,18.017578125,44.736328125,93.69140625,0.0,42.626953125,89.82421875,0.0,61.259765625,81.123046875
602,602,0.0,61.875,80.771484375,18.017578125,44.560546875,93.69140625,0.0,42.36328125,89.82421875,0.0,61.875,80.771484375
622,622,0.087890625,62.841796875,81.2109375,17.9296875,44.47265625,93.69140625,-0.087890625,42.36328125,89.82421875,-0.087890625,62.841796875,81.2109375
642,642,0.263671875,63.720703125,82.529296875,17.666015625,44.47265625,93.69140625,-0.263671875,42.36328125,89.912109375,-0.17578125,63.720703125,82.529296875
662,662,0.52734375,64.51171875,84.462890625,17.490234375,44.736328125,93.779296875,-0.52734375,42.71484375,90.087890625,-0.263671875,64.51171875,84.375
682,682,0.87890625,65.126953125,87.099609375,17.138671875,45.0,93.779296875,-0.87890625,43.06640625,90.263671875,-0.615234375,64.86328125,86.923828125
704,704,1.318359375,65.0390625,89.736328125,16.69921875,45.52734375,93.8671875,-1.318359375,43.681640625,90.615234375,-0.87890625,64.86328125,89.47265625
724,724,1.7578125,64.3359375,92.109375,16.171875,46.23046875,94.04296875,-1.7578125,44.47265625,90.87890625,-1.318359375,64.072265625,91.93359375
744,745,2.373046875,63.017578125,94.130859375,15.732421875,47.109375,94.130859375,-2.28515625,45.439453125,91.23046875,-1.7578125,62.841796875,93.779296875
764,765,2.98828125,61.259765625,95.712890625,15.1171875,48.1640625,94.21875,-2.900390625,46.58203125,91.494140625,-2.373046875,61.083984375,95.361328125
784,784,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
798,799,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
818,819,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
838,839,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
858,859,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
878,879,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
898,899,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
918,919,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
938,939,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
958,959,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
978,979,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
998,999,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
1018,1019,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
1039,1040,3.515625,59.326171875,97.03125,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
1061,1061,3.603515625,59.326171875,97.119140625,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
1081,1081,3.603515625,59.326171875,97.119140625,14.58984375,49.39453125,94.21875,-3.427734375,47.98828125,91.669921875,-3.076171875,59.23828125,96.943359375
1101,1101,3.603515625,59.23828125,97.119140625,14.58984375,49.482421875,94.21875,-3.427734375,47.98828125,91.669921875,-3.1640625,59.0625,96.943359375
1121,1121,3.603515625,59.23828125,97.119140625,14.58984375,49.482421875,94.21875,-3.427734375,48.076171875,91.669921875,-3.1640625,59.0625,96.943359375
1141,1142,3.603515625,59.0625,97.119140625,14.501953125,49.482421875,94.21875,-3.427734375,48.076171875,91.669921875,-3.1640625,58.974609375,97.03125
1161,1161,3.603515625,59.0625,97.20703125,14.501953125,49.5703125,94.21875,-3.427734375,48.076171875,91.669921875,-3.1640625,58.974609375,97.03125
1181,1182,3.603515625,58.974609375,97.20703125,14.501953125,49.5703125,94.21875,-3.515625,48.1640625,91.669921875,-3.1640625,58.88671875,97.03125
1201,1202,3.603515625,58.974609375,97.20703125,14.501953125,49.658203125,94.130859375,-3.515625,48.33984375,91.669921875,-3.33984375,58.88671875,97.119140625
1221,1222,3.69140625,58.88671875,97.294921875,14.501953125,49.658203125,94.130859375,-3.515625,48.33984375,91.669921875,-3.33984375,58.798828125,97.119140625
1241,1242,3.69140625,58.798828125,97.294921875,14.4140625,49.833984375,94.130859375,-3.515625,48.427734375,91.669921875,-3.33984375,58.7109375,97.20703125
1261,1262,3.69140625,58.7109375,97.3828125,14.4140625,49.921875,94.130859375,-3.603515625,48.515625,91.669921875,-3.427734375,58.623046875,97.20703125
1281,1282,3.779296875,58.623046875,97.3828125,14.4140625,49.921875,94.130859375,-3.603515625,48.515625,91.669921875,-3.427734375,58.53515625,97.294921875
1301,1302,3.779296875,58.53515625,97.470703125,14.4140625,50.009765625,94.130859375,-3.603515625,48.603515625,91.7578125,-3.515625,58.359375,97.3828125
1321,1322,3.779296875,58.359375,97.55859375,14.326171875,50.09765625,94.130859375,-3.603515625,48.69140625,91.7578125,-3.515625,58.271484375,97.3828125
1341,1342,3.779296875,58.271484375,97.55859375,14.326171875,50.185546875,94.130859375,-3.69140625,48.779296875,91.7578125,-3.603515625,58.18359375,97.470703125
1361,1362,3.8671875,58.095703125,97.734375,14.326171875,50.2734375,94.130859375,-3.69140625,49.04296875,91.7578125,-3.603515625,58.095703125,97.55859375
1381,1382,3.8671875,58.0078125,97.734375,14.23828125,50.361328125,94.130859375,-3.69140625,49.130859375,91.7578125,-3.69140625,57.919921875,97.734375
1401,1402,4.04296875,57.919921875,97.822265625,14.23828125,50.625,94.130859375,-3.779296875,49.21875,91.7578125,-3.779296875,57.83203125,97.734375
1421,1422,4.04296875,57.65625,97.91015625,14.23828125,50.712890625,94.130859375,-3.779296875,49.39453125,91.7578125,-3.779296875,57.65625,97.822265625
1441,1442,4.04296875,57.48046875,97.998046875,14.0625,50.80078125,94.04296875,-3.8671875,49.482421875,91.7578125,-3.8671875,57.48046875,97.91015625
1461,1462,4.130859375,57.392578125,97.998046875,14.0625,50.9765625,94.04296875,-3.8671875,49.658203125,91.7578125,-4.04296875,57.3046875,97.998046875
1481,1482,4.130859375,57.216796875,98.0859375,13.974609375,51.240234375,94.04296875,-3.8671875,49.833984375,91.7578125,-4.130859375,57.216796875,98.0859375
1501,1502,4.21875,57.041015625,98.173828125,13.974609375,51.328125,94.04296875,-4.04296875,50.009765625,91.7578125,-4.21875,57.041015625,98.173828125
1521,1522,4.21875,56.77734375,98.26171875,13.88671875,51.50390625,94.04296875,-4.04296875,50.185546875,91.7578125,-4.306640625,56.77734375,98.26171875
1541,1541,4.306640625,56.6015625,98.26171875,13.88671875,51.6796875,93.8671875,-4.130859375,50.361328125,91.7578125,-4.39453125,56.6015625,98.4375
1561,1562,4.306640625,56.42578125,98.4375,13.88671875,51.943359375,93.8671875,-4.130859375,50.625,91.669921875,-4.482421875,56.513671875,98.525390625
1581,1582,4.39453125,56.162109375,98.525390625,13.798828125,52.119140625,93.8671875,-4.130859375,50.80078125,91.669921875,-4.5703125,56.337890625,98.61328125
1601,1602,4.39453125,55.986328125,98.525390625,13.798828125,52.294921875,93.779296875,-4.21875,50.9765625,91.669921875,-4.658203125,56.07421875,98.701171875
1621,1622,4.482421875,55.810546875,98.61328125,13.7109375,52.470703125,93.779296875,-4.21875,51.328125,91.669921875,-4.833984375,55.810546875,98.7890625
1641,1642,4.482421875,55.458984375,98.701171875,13.7109375,52.822265625,93.69140625,-4.306640625,51.50390625,91.58203125,-5.009765625,55.634765625,98.7890625
1661,1662,4.482421875,55.283203125,98.701171875,13.623046875,52.998046875,93.69140625,-4.306640625,51.767578125,91.58203125,-5.09765625,55.37109375,98.876953125
1681,1682,4.5703125,55.107421875,98.7890625,13.623046875,53.26171875,93.603515625,-4.39453125,52.03125,91.58203125,-5.185546875,55.1953125,98.96484375
1701,1702,4.5703125,54.84375,98.876953125,13.623046875,53.61328125,93.603515625,-4.39453125,52.294921875,91.494140625,-5.361328125,55.01953125,99.140625
1721,1722,4.658203125,54.580078125,98.876953125,13.53515625,53.876953125,93.515625,-4.39453125,52.55859375,91.40625,-5.625,54.84375,99.228515625
1741,1742,4.658203125,54.31640625,98.96484375,13.53515625,54.228515625,93.427734375,-4.482421875,52.91015625,91.40625,-5.712890625,54.4921875,99.31640625
1761,1762,4.658203125,54.140625,98.96484375,13.359375,54.4921875,93.33984375,-4.482421875,53.173828125,91.318359375,-5.888671875,54.31640625,99.404296875
1781,1782,4.833984375,53.7890625,99.140625,13.359375,54.84375,93.1640625,-4.482421875,53.61328125,91.23046875,-6.064453125,54.140625,99.4921875
1801,1802,4.833984375,53.525390625,99.140625,13.359375,55.1953125,93.076171875,-4.482421875,53.876953125,91.142578125,-6.328125,53.7890625,99.580078125
1821,1822,4.833984375,53.26171875,99.140625,13.359375,55.458984375,92.98828125,-4.5703125,54.31640625,90.87890625,-6.50390625,53.61328125,99.66796875
1841,1842,4.833984375,52.998046875,99.228515625,13.271484375,55.8984375,92.8125,-4.5703125,54.580078125,90.791015625,-6.6796875,53.4375,99.84375
1861,1862,4.921875,52.734375,99.228515625,13.271484375,56.337890625,92.724609375,-4.5703125,55.01953125,90.703125,-6.943359375,53.0859375,99.931640625
1881,1882,4.921875,52.470703125,99.228515625,13.271484375,56.689453125,92.4609375,-4.5703125,55.37109375,90.52734375,-7.119140625,52.91015625,100.01953125
1901,1902,4.921875,52.20703125,99.228515625,13.271484375,57.12890625,92.28515625,-4.5703125,55.810546875,90.263671875,-7.3828125,52.734375,100.01953125
1923,1923,4.921875,51.943359375,99.228515625,13.271484375,57.48046875,92.109375,-4.5703125,56.162109375,90.087890625,-7.55859375,52.3828125,100.107421875
1943,1943,4.921875,51.6796875,99.31640625,13.271484375,57.919921875,91.93359375,-4.5703125,56.6015625,89.82421875,-7.91015625,52.20703125,100.1953125
1961,1962,4.833984375,51.416015625,99.31640625,13.271484375,58.359375,91.58203125,-4.482421875,57.041015625,89.560546875,-8.0859375,52.03125,100.283203125
1983,1983,4.833984375,51.064453125,99.228515625,13.359375,58.798828125,91.40625,-4.482421875,57.392578125,89.296875,-8.4375,51.6796875,100.283203125
2003,2003,4.833984375,50.80078125,99.228515625,13.359375,59.326171875,91.142578125,-4.482421875,57.83203125,89.033203125,-8.701171875,51.50390625,100.37109375
2023,2023,4.833984375,50.625,99.228515625,13.359375,59.677734375,90.791015625,-4.39453125,58.271484375,88.59375,-8.96484375,51.328125,100.458984375
2043,2043,4.658203125,50.2734375,99.228515625,13.53515625,60.205078125,90.52734375,-4.39453125,58.7109375,88.2421875,-9.31640625,51.064453125,100.458984375
2063,2063,4.658203125,50.09765625,99.228515625,13.53515625,60.556640625,90.087890625,-4.306640625,59.0625,87.802734375,-9.580078125,50.80078125,100.634765625
2083,2083,4.5703125,49.833984375,99.228515625,13.623046875,61.083984375,89.736328125,-4.306640625,59.501953125,87.36328125,-9.931640625,50.625,100.634765625
2103,2103,4.482421875,49.482421875,99.140625,13.623046875,61.611328125,89.296875,-4.21875,59.94140625,86.923828125,-10.1953125,50.361328125,100.72265625
2123,2123,4.482421875,49.306640625,99.140625,13.623046875,61.962890625,88.857421875,-4.21875,60.380859375,86.396484375,-10.458984375,50.185546875,100.72265625
2142,2143,4.5703125,49.130859375,99.140625,13.623046875,62.40234375,88.41796875,-4.306640625,60.8203125,85.95703125,-10.72265625,50.009765625,100.72265625
2162,2163,4.658203125,48.779296875,99.140625,13.53515625,62.9296875,87.890625,-4.306640625,61.171875,85.517578125,-10.810546875,49.658203125,100.72265625
2182,2183,4.658203125,48.603515625,98.96484375,13.359375,63.28125,87.36328125,-4.39453125,61.611328125,84.990234375,-10.986328125,49.482421875,100.634765625
2202,2203,4.833984375,48.33984375,98.876953125,13.359375,63.720703125,86.8359375,-4.39453125,62.138671875,84.375,-11.162109375,49.21875,100.634765625
2222,2223,4.921875,48.076171875,98.7890625,13.271484375,64.072265625,86.30859375,-4.482421875,62.490234375,83.935546875,-11.337890625,49.04296875,100.37109375
2242,2243,4.921875,47.8125,98.701171875,13.18359375,64.51171875,85.693359375,-4.5703125,62.9296875,83.3203125,-11.513671875,48.69140625,100.283203125
2262,2263,5.009765625,47.4609375,98.525390625,13.18359375,64.86328125,85.078125,-4.5703125,63.28125,82.79296875,-11.6015625,48.427734375,100.107421875
2282,2283,5.09765625,47.197265625,98.26171875,13.095703125,65.302734375,84.462890625,-4.658203125,63.6328125,82.177734375,-11.689453125,48.076171875,99.931640625
2302,2303,5.09765625,46.93359375,98.0859375,13.095703125,65.56640625,83.935546875,-4.658203125,63.984375,81.73828125,-11.865234375,47.8125,99.66796875
2321,2322,5.185546875,46.58203125,97.822265625,13.0078125,65.91796875,83.3203125,-4.833984375,64.423828125,81.123046875,-12.041015625,47.4609375,99.404296875
2343,2343,5.185546875,46.318359375,97.470703125,13.0078125,66.181640625,82.705078125,-4.833984375,64.6875,80.595703125,-12.12890625,47.109375,98.96484375
2363,2363,5.185546875,45.87890625,97.119140625,12.919921875,66.533203125,82.08984375,-4.921875,65.0390625,79.98046875,-12.216796875,46.7578125,98.701171875
2382,2383,5.2734375,45.615234375,96.6796875,12.919921875,66.708984375,81.474609375,-4.921875,65.302734375,79.541015625,-12.216796875,46.40625,98.26171875
2403,2403,5.2734375,45.17578125,96.328125,12.919921875,66.97265625,80.859375,-5.009765625,65.478515625,78.92578125,-12.3046875,46.142578125,97.91015625
2423,2423,5.2734375,44.912109375,95.888671875,12.83203125,67.236328125,80.419921875,-5.009765625,65.830078125,78.3984375,-12.392578125,45.791015625,97.470703125
2443,2443,5.361328125,44.560546875,95.537109375,12.83203125,67.412109375,79.8046875,-5.09765625,66.005859375,77.87109375,-12.392578125,45.439453125,97.03125
2463,2463,5.361328125,44.208984375,95.009765625,12.83203125,67.5,79.365234375,-5.09765625,66.181640625,77.51953125,-12.48046875,45.087890625,96.591796875
2481,2482,5.361328125,43.857421875,94.5703125,12.83203125,67.67578125,78.92578125,-5.09765625,66.26953125,76.9921875,-12.48046875,44.82421875,96.240234375
2501,2501,5.361328125,43.59375,94.21875,12.65625,67.763671875,78.486328125,-5.185546875,66.533203125,76.640625,-12.48046875,44.47265625,95.712890625
2521,2521,5.361328125,43.330078125,93.779296875,12.65625,67.939453125,78.134765625,-5.185546875,66.62109375,76.2890625,-12.568359375,44.208984375,95.2734375
2541,2542,5.361328125,43.06640625,93.427734375,12.65625,68.02734375,77.783203125,-5.185546875,66.708984375,76.025390625,-12.568359375,43.857421875,95.009765625
2561,2562,5.361328125,42.890625,93.076171875,12.65625,68.115234375,77.51953125,-5.185546875,66.796875,75.673828125,-12.568359375,43.681640625,94.5703125
2581,2581,5.361328125,42.71484375,92.8125,12.65625,68.115234375,77.34375,-5.185546875,66.796875,75.498046875,-12.568359375,43.505859375,94.306640625
2601,2602,5.361328125,42.5390625,92.4609375,12.65625,68.203125,77.080078125,-5.2734375,66.884765625,75.322265625,-12.568359375,43.330078125,94.130859375
