linear,local_phase,leg,j1,j2,j3,x_mm,y_mm,z_mm,extra_z_mm,extra_xy_error_mm,option_ok,servo_ok
-1,0.000000,0,0.750000,63.592041,85.631454,129.990204,95.226227,84.317558,0.000000,0.000000,1,1
-1,0.000000,1,0.750000,63.592041,85.631454,129.990204,-95.226227,84.317558,0.000000,0.000000,1,1
-1,0.000000,2,0.750000,63.592041,85.631454,-269.009857,95.226212,84.317589,0.000000,0.000000,1,1
-1,0.000000,3,0.750000,63.592041,85.631454,-269.009857,-95.226219,84.317589,0.000000,0.000000,1,1
-1,0.001000,0,0.750000,63.571434,85.657028,130.130524,95.227524,84.310944,0.000000,0.000000,1,1
-1,0.001000,1,0.750000,63.571442,85.657028,130.130524,-95.227524,84.310944,0.000000,0.000000,1,1
-1,0.001000,2,0.750000,63.571442,85.657028,-268.869507,95.227516,84.310936,0.000000,0.000000,1,1
-1,0.001000,3,0.750000,63.571434,85.657028,-268.869507,-95.227524,84.310936,0.000000,0.000000,1,1
-1,0.002000,0,0.750000,63.550793,85.682556,130.270966,95.228821,84.304359,0.000000,0.000000,1,1
-1,0.002000,1,0.750000,63.550793,85.682556,130.270966,-95.228821,84.304359,0.000000,0.000000,1,1
-1,0.002000,2,0.750000,63.550793,85.682556,-268.729034,95.228813,84.304298,0.000000,0.000000,1,1
-1,0.002000,3,0.750000,63.550793,85.682556,-268.729034,-95.228821,84.304298,0.000000,0.000000,1,1
-1,0.003000,0,0.750000,63.530106,85.708038,130.411423,95.230141,84.297737,0.000000,0.000000,1,1
-1,0.003000,1,0.750000,63.530106,85.708038,130.411423,-95.230141,84.297737,0.000000,0.000000,1,1
-1,0.003000,2,0.750000,63.530106,85.708038,-268.588562,95.230133,84.297661,0.000000,0.000000,1,1
-1,0.003000,3,0.750000,63.530106,85.708038,-268.588562,-95.230141,84.297661,0.000000,0.000000,1,1
-1,0.004000,0,0.750000,63.509373,85.733459,130.551910,95.231438,84.291077,0.000000,0.000000,1,1
-1,0.004000,1,0.750000,63.509373,85.733459,130.551910,-95.231438,84.291077,0.000000,0.000000,1,1
-1,0.004000,2,0.750000,63.509373,85.733459,-268.448151,95.231430,84.291054,0.000000,0.000000,1,1
-1,0.004000,3,0.750000,63.509373,85.733459,-268.448151,-95.231438,84.291054,0.000000,0.000000,1,1
-1,0.005000,0,0.750000,63.488602,85.758835,130.692337,95.232735,84.284561,0.000000,0.000000,1,1
-1,0.005000,1,0.750000,63.488602,85.758835,130.692337,-95.232735,84.284561,0.000000,0.000000,1,1
-1,0.005000,2,0.750000,63.488602,85.758835,-268.307648,95.232719,84.284485,0.000000,0.000000,1,1
-1,0.005000,3,0.750000,63.488602,85.758835,-268.307648,-95.232727,84.284485,0.000000,0.000000,1,1
-1,0.006000,0,0.750000,63.467800,85.784164,130.832825,95.234039,84.277946,0.000000,0.000000,1,1
-1,0.006000,1,0.750000,63.467800,85.784164,130.832825,-95.234039,84.277946,0.000000,0.000000,1,1
-1,0.006000,2,0.750000,63.467800,85.784164,-268.167175,95.234024,84.277931,0.000000,0.000000,1,1
-1,0.006000,3,0.750000,63.467800,85.784164,-268.167175,-95.234032,84.277931,0.000000,0.000000,1,1
-1,0.007000,0,0.750000,63.446953,85.809441,130.973312,95.235344,84.271393,0.000000,0.000000,1,1
-1,0.007000,1,0.750000,63.446953,85.809441,130.973312,-95.235344,84.271393,0.000000,0.000000,1,1
-1,0.007000,2,0.750000,63.446953,85.809441,-268.026703,95.235344,84.271370,0.000000,0.000000,1,1
-1,0.007000,3,0.750000,63.446953,85.809441,-268.026703,-95.235352,84.271370,0.000000,0.000000,1,1
-1,0.008000,0,0.750000,63.426067,85.834671,131.113846,95.236649,84.264870,0.000000,0.000000,1,1
-1,0.008000,1,0.750000,63.426067,85.834671,131.113846,-95.236649,84.264870,0.000000,0.000000,1,1
-1,0.008000,2,0.750000,63.426067,85.834671,-267.886169,95.236633,84.264854,0.000000,0.000000,1,1
-1,0.008000,3,0.750000,63.426067,85.834671,-267.886169,-95.236641,84.264854,0.000000,0.000000,1,1
-1,0.009000,0,0.750000,63.405140,85.859840,131.254318,95.237938,84.258354,0.000000,0.000000,1,1
-1,0.009000,1,0.750000,63.405140,85.859840,131.254318,-95.237938,84.258354,0.000000,0.000000,1,1
-1,0.009000,2,0.750000,63.405140,85.859840,-267.745728,95.237923,84.258316,0.000000,0.000000,1,1
-1,0.009000,3,0.750000,63.405140,85.859840,-267.745728,-95.237930,84.258316,0.000000,0.000000,1,1
-1,0.010000,0,0.750000,63.384171,85.884972,131.394836,95.239243,84.251892,0.000000,0.000000,1,1
-1,0.010000,1,0.750000,63.384171,85.884964,131.394806,-95.239243,84.251930,0.000000,0.000000,1,1
-1,0.010000,2,0.750000,63.384171,85.884964,-267.605225,95.239220,84.251823,0.000000,0.000000,1,1
-1,0.010000,3,0.750000,63.384171,85.884972,-267.605194,-95.239235,84.251839,0.000000,0.000000,1,1
-1,0.011000,0,0.750000,63.363159,85.910042,131.535324,95.240540,84.245079,0.000000,0.000000,1,1
-1,0.011000,1,0.750000,63.363159,85.910042,131.535324,-95.240540,84.245079,0.000000,0.000000,1,1
-1,0.011000,2,0.750000,63.363159,85.910042,-267.464630,95.240532,84.245079,0.000000,0.000000,1,1
-1,0.011000,3,0.750000,63.363159,85.910042,-267.464630,-95.240540,84.245079,0.000000,0.000000,1,1
-1,0.012000,0,0.750000,63.342117,85.935074,131.675781,95.241844,84.238220,0.000000,0.000000,1,1
-1,0.012000,1,0.750000,63.342117,85.935074,131.675781,-95.241844,84.238220,0.000000,0.000000,1,1
-1,0.012000,2,0.750000,63.342117,85.935074,-267.324219,95.241829,84.238251,0.000000,0.000000,1,1
-1,0.012000,3,0.750000,63.342117,85.935074,-267.324219,-95.241837,84.238251,0.000000,0.000000,1,1
-1,0.013000,0,0.750000,63.321026,85.960052,131.816376,95.243149,84.231499,0.000000,0.000000,1,1
-1,0.013000,1,0.750000,63.321026,85.960052,131.816376,-95.243149,84.231499,0.000000,0.000000,1,1
-1,0.013000,2,0.750000,63.321026,85.960052,-267.183685,95.243134,84.231506,0.000000,0.000000,1,1
-1,0.013000,3,0.750000,63.321026,85.960052,-267.183685,-95.243141,84.231506,0.000000,0.000000,1,1
-1,0.014000,0,0.750000,63.299900,85.984978,131.956894,95.244446,84.224808,0.000000,0.000000,1,1
-1,0.014000,1,0.750000,63.299900,85.984978,131.956894,-95.244446,84.224808,0.000000,0.000000,1,1
-1,0.014000,2,0.750000,63.299900,85.984978,-267.043121,95.244438,84.224754,0.000000,0.000000,1,1
-1,0.014000,3,0.750000,63.299900,85.984978,-267.043121,-95.244446,84.224754,0.000000,0.000000,1,1
-1,0.015000,0,0.750000,63.278732,86.009857,132.097458,95.245750,84.217979,0.000000,0.000000,1,1
-1,0.015000,1,0.750000,63.278725,86.009850,132.097458,-95.245750,84.217972,0.000000,0.000000,1,1
-1,0.015000,2,0.750000,63.278725,86.009850,-266.902588,95.245743,84.217987,0.000000,0.000000,1,1
-1,0.015000,3,0.750000,63.278732,86.009857,-266.902588,-95.245750,84.218018,0.000000,0.000000,1,1
-1,0.016000,0,0.750000,63.257519,86.034676,132.237976,95.247047,84.211311,0.000000,0.000000,1,1
-1,0.016000,1,0.750000,63.257519,86.034676,132.237976,-95.247047,84.211311,0.000000,0.000000,1,1
-1,0.016000,2,0.750000,63.257519,86.034676,-266.762054,95.247040,84.211288,0.000000,0.000000,1,1
-1,0.016000,3,0.750000,63.257519,86.034676,-266.762054,-95.247047,84.211288,0.000000,0.000000,1,1
-1,0.017000,0,0.750000,63.236267,86.059448,132.378525,95.248344,84.204575,0.000000,0.000000,1,1
-1,0.017000,1,0.750000,63.236267,86.059448,132.378525,-95.248344,84.204575,0.000000,0.000000,1,1
-1,0.017000,2,0.750000,63.236267,86.059448,-266.621460,95.248337,84.204567,0.000000,0.000000,1,1
-1,0.017000,3,0.750000,63.236267,86.059448,-266.621460,-95.248344,84.204567,0.000000,0.000000,1,1
-1,0.018000,0,0.750000,63.214985,86.084183,132.519119,95.249641,84.197914,0.000000,0.000000,1,1
-1,0.018000,1,0.750000,63.214985,86.084183,132.519119,-95.249641,84.197914,0.000000,0.000000,1,1
-1,0.018000,2,0.750000,63.214985,86.084183,-266.480927,95.249641,84.197876,0.000000,0.000000,1,1
-1,0.018000,3,0.750000,63.214985,86.084183,-266.480927,-95.249649,84.197876,0.000000,0.000000,1,1
-1,0.019000,0,0.750000,63.193657,86.108856,132.659653,95.250946,84.191216,0.000000,0.000000,1,1
-1,0.019000,1,0.750000,63.193657,86.108856,132.659653,-95.250946,84.191216,0.000000,0.000000,1,1
-1,0.019000,2,0.750000,63.193657,86.108856,-266.340363,95.250931,84.191185,0.000000,0.000000,1,1
-1,0.019000,3,0.750000,63.193657,86.108856,-266.340363,-95.250938,84.191185,0.000000,0.000000,1,1
-1,0.020000,0,0.750000,63.172291,86.133484,132.800232,95.252243,84.184547,0.000000,0.000000,1,1
-1,0.020000,1,0.750000,63.172291,86.133484,132.800232,-95.252243,84.184547,0.000000,0.000000,1,1
-1,0.020000,2,0.750000,63.172291,86.133484,-266.199799,95.252220,84.184547,0.000000,0.000000,1,1
-1,0.020000,3,0.750000,63.172291,86.133484,-266.199799,-95.252228,84.184547,0.000000,0.000000,1,1
-1,0.021000,0,0.750000,63.150879,86.158058,132.940826,95.253548,84.177940,0.000000,0.000000,1,1
-1,0.021000,1,0.750000,63.150879,86.158058,132.940826,-95.253548,84.177940,0.000000,0.000000,1,1
-1,0.021000,2,0.750000,63.150879,86.158058,-266.059204,95.253540,84.177933,0.000000,0.000000,1,1
-1,0.021000,3,0.750000,63.150879,86.158058,-266.059204,-95.253548,84.177933,0.000000,0.000000,1,1
-1,0.022000,0,0.750000,63.129433,86.182587,133.081436,95.254852,84.171288,0.000000,0.000000,1,1
-1,0.022000,1,0.750000,63.129433,86.182587,133.081436,-95.254852,84.171288,0.000000,0.000000,1,1
-1,0.022000,2,0.750000,63.129433,86.182587,-265.918579,95.254845,84.171295,0.000000,0.000000,1,1
-1,0.022000,3,0.750000,63.129433,86.182587,-265.918579,-95.254852,84.171295,0.000000,0.000000,1,1
-1,0.023000,0,0.750000,63.107944,86.207054,133.222046,95.256165,84.164703,0.000000,0.000000,1,1
-1,0.023000,1,0.750000,63.107944,86.207054,133.222046,-95.256165,84.164703,0.000000,0.000000,1,1
-1,0.023000,2,0.750000,63.107944,86.207054,-265.778015,95.256142,84.164665,0.000000,0.000000,1,1
-1,0.023000,3,0.750000,63.107944,86.207054,-265.778015,-95.256149,84.164665,0.000000,0.000000,1,1
-1,0.024000,0,0.750000,63.086414,86.231491,133.362732,95.257469,84.158150,0.000000,0.000000,1,1
-1,0.024000,1,0.750000,63.086414,86.231491,133.362732,-95.257469,84.158150,0.000000,0.000000,1,1
-1,0.024000,2,0.750000,63.086414,86.231491,-265.637299,95.257454,84.158104,0.000000,0.000000,1,1
-1,0.024000,3,0.750000,63.086414,86.231491,-265.637299,-95.257462,84.158104,0.000000,0.000000,1,1
